Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,940,940000,63.78,25.75,15.68,15677.64,100%
read,read,3974,3974000,60.37,22.32,66.26,66259.28,100%
read,read,15241,15241000,62.95,24.92,254.17,254166.8,100%
read,read,24857,24857000,77.18,39.16,414.54,414537.42,100%
read,read,28342,28342000,135.32,97.19,472.87,472865.28,100%
read,read,29276,29276000,261.85,223.64,488.76,488761.48,100%
read,read,928,59392000,64.59,26.63,15.47,990328.82,100%
read,read,3893,249152000,61.52,23.47,64.91,4154264.16,100%
read,read,15080,965120000,63.56,25.46,251.49,16095243.16,100%
read,read,25254,1616256000,75.95,37.65,421.2,26956884.76,100%
read,read,28930,1851520000,132.55,93.98,482.78,30897682.64,100%
read,read,28798,1843072000,266.11,227.4,480.96,30781755.25,100%
read,read,1864,1908736000,32.17,24.57,31.07,31812266.67,100%
read,read,8008,8200192000,29.96,22.77,133.49,136690921.05,100%
read,read,23609,24175616000,40.64,33.41,393.6,403042274.09,100%
read,read,23920,24494080000,80.21,71,398.9,408470222.73,100%
read,read,22616,23158784000,169.55,158.71,377.44,386501913.74,100%
read,read,21984,22511616000,348.26,336.92,367.53,376350463.43,100%
read,read,250,4096000000,239.92,30.58,4.17,68282599.27,100%
read,read,1071,17547264000,223.3,43.13,17.91,293450489.12,100%
read,read,2423,39698432000,394.26,127.73,40.58,664857499.2,100%
read,read,3023,49528832000,628.91,271.27,50.88,833620174.53,100%
read,read,3611,59162624000,1055.42,597.79,60.64,993503297.46,100%
read,read,3862,63275008000,1948.95,1386.73,65.68,1076099831.43,100%
read,read,122,7995392000,488.37,27.95,2.05,134184643.79,100%
read,read,461,30212096000,518.64,53.17,7.71,505404947.56,100%
read,read,896,58720256000,1061.8,275.36,15.07,987454994.5,100%
read,read,923,60489728000,2053.39,886.61,15.58,1021233850.75,100%
read,read,940,61603840000,3952.32,2252.98,16.2,1061368137.28,100%
read,read,949,62193664000,7564.38,5457.38,16.92,1108634383.2,100%
