Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,read,read,read,read,read,read,read,Min-Version,Version,Max-Version
00:35:34,2368,151552000,137.01,99.38,467.03,29890219.96,100%,0,0,0
00:35:39,2263,144832000,131.77,93.07,447.69,28652176.82,100%,1,1,1
00:35:44,1483,94912000,133.37,94.65,330.5,21152296.56,100%,2,2,2
00:35:49,1675,107200000,132.95,94.29,518.17,33162851,100%,3,3,3
00:35:54,1953,124992000,132.31,93.61,536.61,34342866.27,100%,4,4,4
00:35:59,2386,152704000,134.05,95.4,566.75,36272050.01,100%,5,5,5
00:36:04,2428,155392000,134.04,95.31,484.81,31027831.96,100%,6,6,6
00:36:09,2497,159808000,129.92,91.28,492.57,31524532.75,100%,7,7,7
00:36:14,2455,157120000,131.96,93.33,484.91,31034221.67,100%,8,8,8
00:36:19,2490,159360000,130.66,92.04,489.75,31344178.66,100%,9,9,9
00:36:24,2429,155456000,133.35,94.73,479.88,30712468.99,100%,10,10,10
00:36:29,2125,136000000,130.5,91.89,490.38,31384325.57,100%,11,11,11
