Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,read,read,read,read,read,read,read,Min-Version,Version,Max-Version
00:39:46,2003,2051072000,40.12,33.09,398.63,408194735.13,100%,0,0,0
00:39:51,1981,2028544000,40.5,33.12,394.99,404472351.38,100%,1,1,1
00:39:56,1984,2031616000,40.46,33.22,395.36,404846565.31,100%,2,2,2
00:40:01,1969,2016256000,40.99,33.82,390.3,399670982.25,100%,3,3,3
00:40:06,1997,2044928000,40.24,33.06,397.45,406991852.57,100%,4,4,4
00:40:11,1833,1876992000,41.07,33.76,365.13,373897856.97,100%,5,5,5
00:40:16,1687,1727488000,41.67,34.44,360.48,369130784.77,100%,6,6,6
00:40:21,1883,1928192000,39.97,32.6,423.14,433292572.2,100%,7,7,7
00:40:26,1730,1771520000,40.6,33.4,369.95,378832369.05,100%,8,8,8
00:40:31,1967,2014208000,40.82,33.4,440.58,451152123.62,100%,9,9,9
00:40:36,1847,1891328000,40.77,33.61,367.87,376697805.32,100%,10,10,10
00:40:41,1888,1933312000,40.42,33.31,420.62,430709831.3,100%,11,11,11
