Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,92,1507328000,642.45,264.73,1.56,25501251.95,100%
read,read,104,1703936000,571.02,236.37,1.75,28692070.66,100%
read,read,90,1474560000,656.99,265.41,1.52,24935064.94,100%
read,read,91,1490944000,652.33,251.14,1.53,25114865.66,100%
read,read,94,1540096000,637.32,284.13,1.57,25705539.7,100%
read,read,95,1556480000,624.48,285.23,1.6,26236051.65,100%
read,read,92,1507328000,651.97,260.77,1.53,25129253.29,100%
read,read,96,1572864000,616.61,263.82,1.62,26569995.1,100%
read,read,98,1605632000,607.9,276.74,1.64,26950082.25,100%
read,read,97,1589248000,610.38,258.48,1.64,26841778.14,100%
read,read,91,1490944000,651.62,306.41,1.53,25143242.61,100%
read,read,97,1589248000,609.01,248.49,1.64,26901298.31,100%
read,read,99,1622016000,602.02,259.84,1.66,27214120.33,100%
read,read,95,1556480000,622.42,266.07,1.61,26322571.92,100%
read,read,94,1540096000,631.31,238.35,1.58,25951571.32,100%
read,read,97,1589248000,609.21,277.48,1.64,26893104.32,100%
read,read,97,1589248000,617.74,284.54,1.62,26521060.01,100%
read,read,93,1523712000,637.57,276.26,1.57,25694974.7,100%
read,read,88,1441792000,674.07,308.05,1.48,24304917.31,100%
read,read,95,1556480000,623.01,284.24,1.61,26296333.84,100%
read,read,91,1490944000,652.38,266.71,1.53,25113173.54,100%
read,read,97,1589248000,612.11,253.56,1.63,26765380.53,100%
read,read,93,1523712000,635.94,273.16,1.57,25763619.76,100%
read,read,101,1654784000,587.57,239.97,1.7,27883665.28,100%
read,read,94,1540096000,631.39,292.4,1.58,25947199.06,100%
read,read,96,1572864000,623.51,293.75,1.6,26276148.95,100%
read,read,91,1490944000,658.4,260.66,1.52,24884319.45,100%
read,read,91,1490944000,650.12,278.59,1.54,25199763.37,100%
read,read,94,1540096000,633.62,268.81,1.58,25857022.93,100%
read,read,95,1556480000,630.46,276.36,1.59,25985508.7,100%
read,read,93,1523712000,636.57,288.48,1.57,25735335.35,100%
read,read,92,1507328000,647.82,301.32,1.54,25289889.6,100%
