Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,776,776000,77.23,39.18,12.95,12945.85,100%
read,read,777,777000,77.15,39.17,12.96,12959.94,100%
read,read,774,774000,77.45,39.45,12.91,12909.9,100%
read,read,773,773000,77.56,39.47,12.89,12891.71,100%
read,read,778,778000,77.08,39.15,12.97,12971.42,100%
read,read,777,777000,77.16,39.11,12.96,12958.64,100%
read,read,780,780000,76.86,38.91,13.01,13008.67,100%
read,read,776,776000,77.24,39.19,12.94,12944.77,100%
read,read,777,777000,77.18,39.2,12.95,12953.67,100%
read,read,776,776000,77.24,39.17,12.94,12943.9,100%
read,read,778,778000,77.07,39.06,12.97,12973.8,100%
read,read,775,775000,77.34,39.38,12.93,12928.09,100%
read,read,774,774000,77.43,39.45,12.91,12912.27,100%
read,read,779,779000,76.96,39.09,12.99,12990.48,100%
read,read,775,775000,77.33,39.29,12.93,12929.16,100%
read,read,777,777000,77.17,39.11,12.96,12955.4,100%
read,read,778,778000,77.08,39.01,12.97,12969.69,100%
read,read,776,776000,77.23,39.2,12.95,12946.93,100%
read,read,779,779000,76.98,38.94,12.99,12986.58,100%
read,read,778,778000,77.06,39.06,12.98,12975.1,100%
read,read,777,777000,77.18,39.07,12.96,12955.61,100%
read,read,778,778000,77.06,39.05,12.98,12975.97,100%
read,read,778,778000,77.09,39.05,12.97,12969.04,100%
read,read,777,777000,77.17,39.18,12.96,12957.56,100%
read,read,778,778000,77.04,38.98,12.98,12978.56,100%
read,read,775,775000,77.38,39.34,12.92,12921.62,100%
read,read,776,776000,77.29,39.3,12.94,12935.7,100%
read,read,779,779000,76.95,38.92,12.99,12993.73,100%
read,read,777,777000,77.17,39.06,12.96,12955.18,100%
read,read,777,777000,77.16,39.18,12.96,12958.64,100%
read,read,776,776000,77.23,39.17,12.95,12946.28,100%
read,read,776,776000,77.31,39.31,12.93,12933.55,100%
