Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,862,862000,69.55,31.55,14.38,14377.21,100%
read,read,3699,3699000,64.84,26.86,61.69,61688.54,100%
read,read,14104,14104000,68.02,30.02,235.23,235228.36,100%
read,read,22072,22072000,86.9,48.9,368.21,368206.76,100%
read,read,24794,24794000,154.65,116.59,413.78,413783.08,100%
read,read,24364,24364000,314.47,276.45,407.01,407009.18,100%
read,read,844,54016000,71.03,32.95,14.08,900822.17,100%
read,read,3707,237248000,64.63,26.59,61.81,3955945.77,100%
read,read,14151,905664000,67.76,29.69,235.94,15100193.27,100%
read,read,22098,1414272000,86.79,48.54,368.59,23589516.76,100%
read,read,24864,1591296000,154.24,115.79,414.87,26551448.26,100%
read,read,26311,1683904000,291.21,252.59,439.51,28128600.49,100%
read,read,1569,1606656000,38.22,28.58,26.15,26782510.13,100%
read,read,7021,7189504000,34.16,26.59,117.05,119860522.17,100%
read,read,19691,20163584000,48.73,41.16,328.29,336165957.42,100%
read,read,21797,22320128000,88.01,79.73,363.54,372269529.77,100%
read,read,21668,22188032000,176.93,166.06,361.68,370365254.29,100%
read,read,21204,21712896000,361.05,349.33,354.5,363013044.29,100%
read,read,259,4243456000,231.32,42.53,4.32,70818691.59,100%
read,read,1175,19251200000,203.76,38.78,19.63,321613520.08,100%
read,read,2799,45858816000,341.75,104.99,46.81,767012622.51,100%
read,read,3613,59195392000,528.85,223.92,60.51,991365167.56,100%
read,read,3868,63373312000,983.81,601.32,65.05,1065805805.43,100%
read,read,3986,65306624000,1894.74,1453.98,67.55,1106816176.7,100%
read,read,117,7667712000,512.53,49.37,1.95,127859129.56,100%
read,read,490,32112640000,487.94,47.32,8.2,537207089.64,100%
read,read,1003,65732608000,944.91,233.73,16.93,1109716523.85,100%
read,read,1024,67108864000,1852.17,841.53,17.27,1132092196.34,100%
read,read,1040,68157440000,3588.85,2241.28,17.83,1168794553.58,100%
read,read,1026,67239936000,7046.23,5489.7,18.17,1190707080.29,100%
