Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,read,read,read,read,read,read,read,Min-Version,Version,Max-Version
23:59:04,2038,130432000,159.35,122.04,401.56,25700059.07,100%,0,0,0
23:59:09,1121,71744000,153.96,115.42,220.82,14132449.68,100%,1,1,1
23:59:14,1393,89152000,154.03,115.43,465.67,29803157.38,100%,2,2,2
23:59:19,1991,127424000,151.12,112.58,536.57,34340746.23,100%,3,3,3
23:59:24,1898,121472000,157.02,118.49,407.47,26078143.2,100%,4,4,4
23:59:29,2118,135552000,152.92,114.41,450.97,28862280.82,100%,5,5,5
23:59:34,2120,135680000,152.9,114.34,418.53,26785901.95,100%,6,6,6
23:59:39,2114,135296000,151.13,112.51,416.8,26675233.45,100%,7,7,7
23:59:44,2051,131264000,156.05,117.51,410.05,26243234.24,100%,8,8,8
23:59:49,2108,134912000,154.77,116.19,419.94,26875867.01,100%,9,9,9
23:59:54,2111,135104000,153.83,115.23,416.01,26624650.83,100%,10,10,10
23:59:59,1833,117312000,146.53,108.02,436.7,27949054.54,100%,11,11,11
