Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,64,4194304000,923.8,235.38,1.08,70938402.73,100%
read,read,64,4194304000,925.19,213.38,1.08,70829390.21,100%
read,read,63,4128768000,936.05,240.7,1.07,70009970.5,100%
read,read,63,4128768000,938.32,222.06,1.07,69844165.51,100%
read,read,62,4063232000,950.82,210.48,1.05,68923243.94,100%
read,read,65,4259840000,906.98,237.4,1.1,72255788.31,100%
read,read,62,4063232000,960.98,248.95,1.04,68193340.49,100%
read,read,63,4128768000,946.56,204.79,1.06,69233973.34,100%
read,read,61,3997696000,968.28,291.41,1.03,67681847.42,100%
read,read,62,4063232000,959.56,237.69,1.04,68296500.49,100%
read,read,59,3866624000,1008.75,279.46,0.99,64966715.39,100%
read,read,61,3997696000,965.87,237.56,1.04,67848407.19,100%
read,read,64,4194304000,927.28,211.72,1.08,70673047.11,100%
read,read,64,4194304000,921.59,207.14,1.09,71109182.15,100%
read,read,61,3997696000,974.66,247.75,1.03,67237890.2,100%
read,read,65,4259840000,914.35,220.38,1.09,71674658.86,100%
