Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,read,read,read,read,read,read,read,Min-Version,Version,Max-Version
00:16:32,32,2097152000,946.97,164.16,6.33,414878954.96,100%,0,0,0
00:16:37,57,3735552000,1076.61,254.91,10.22,669539249.13,100%,1,1,1
00:16:42,87,5701632000,965.66,241.86,20.45,1340316056.4,100%,2,2,2
00:16:47,96,6291456000,905.99,215.72,18.68,1224500610.28,100%,3,3,3
00:16:52,89,5832704000,985.66,231.37,16.24,1064525739.63,100%,4,4,4
00:16:57,95,6225920000,919.29,221.02,17.42,1141791258.88,100%,5,5,5
00:17:02,94,6160384000,928.9,254.12,17.23,1129053431.58,100%,6,6,6
00:17:07,94,6160384000,944.19,223.68,16.94,1110381189.91,100%,7,7,7
00:17:12,80,5242880000,893.58,197.54,14.57,954550481.5,100%,8,8,8
00:17:17,66,4325376000,936.38,256.97,14.97,980752774.83,100%,9,9,9
00:17:22,91,5963776000,958.74,244.12,20.28,1328748545.29,100%,10,10,10
00:17:27,75,4915200000,963.31,266.08,15.52,1017004114.17,100%,11,11,11
00:17:32,26,1703936000,990.92,299.69,9.72,636824927.15,100%,12,12,12
