Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,691,691000,86.74,48.74,11.53,11528.19,100%
read,read,690,690000,86.83,48.8,11.51,11514.59,100%
read,read,694,694000,86.36,48.33,11.58,11578.24,100%
read,read,689,689000,87,48.98,11.49,11492.91,100%
read,read,690,690000,86.86,48.86,11.51,11511.9,100%
read,read,690,690000,86.92,48.98,11.5,11504.99,100%
read,read,690,690000,86.88,48.89,11.51,11509.59,100%
read,read,690,690000,86.82,48.78,11.52,11516.7,100%
read,read,689,689000,87.03,49,11.49,11489.27,100%
read,read,692,692000,86.65,48.69,11.54,11538.53,100%
read,read,691,691000,86.75,48.7,11.53,11526.46,100%
read,read,689,689000,87.02,49.08,11.49,11489.46,100%
read,read,684,684000,87.6,49.73,11.42,11415.22,100%
read,read,693,693000,86.5,48.48,11.56,11559.25,100%
read,read,689,689000,86.97,48.98,11.5,11497.9,100%
read,read,691,691000,86.79,48.76,11.52,11520.7,100%
read,read,689,689000,87.05,49.09,11.49,11487.35,100%
read,read,690,690000,86.87,48.91,11.51,11510.94,100%
read,read,687,687000,87.32,49.27,11.45,11450.95,100%
read,read,690,690000,86.94,48.89,11.5,11500.19,100%
read,read,686,686000,87.44,49.41,11.44,11435.81,100%
read,read,690,690000,86.85,48.86,11.51,11514.01,100%
read,read,690,690000,86.89,48.86,11.51,11507.86,100%
read,read,691,691000,86.71,48.75,11.53,11532.24,100%
read,read,687,687000,87.2,49.15,11.47,11467.78,100%
read,read,692,692000,86.62,48.52,11.54,11544.3,100%
read,read,690,690000,86.84,48.9,11.51,11514.01,100%
read,read,689,689000,86.96,48.94,11.5,11499.62,100%
read,read,690,690000,86.84,48.86,11.52,11515.55,100%
read,read,689,689000,86.96,49.02,11.5,11498.86,100%
read,read,690,690000,86.83,48.85,11.52,11516.31,100%
read,read,690,690000,86.82,48.76,11.52,11517.08,100%
