Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,1683,1683000,178.17,140.13,5.61,5612.43,100%
read,read,1683,1683000,178.21,140.17,5.61,5611.16,100%
read,read,1684,1684000,178.11,140.05,5.61,5614.27,100%
read,read,1684,1684000,178.12,140.03,5.61,5613.82,100%
read,read,1683,1683000,178.2,140.12,5.61,5611.46,100%
read,read,1683,1683000,178.22,140.14,5.61,5610.88,100%
read,read,1682,1682000,178.26,140.17,5.61,5609.56,100%
read,read,1682,1682000,178.29,140.21,5.61,5608.52,100%
read,read,1681,1681000,178.41,140.35,5.6,5604.88,100%
read,read,1683,1683000,178.19,140.13,5.61,5611.48,100%
read,read,1684,1684000,178.11,140,5.61,5614.14,100%
read,read,1684,1684000,178.12,139.98,5.61,5614.03,100%
read,read,1683,1683000,178.21,140.16,5.61,5610.99,100%
read,read,1682,1682000,178.29,140.18,5.61,5608.48,100%
read,read,1681,1681000,178.42,140.29,5.6,5604.4,100%
read,read,1682,1682000,178.28,140.16,5.61,5608.78,100%
read,read,1681,1681000,178.36,140.27,5.61,5606.38,100%
read,read,1683,1683000,178.21,140.18,5.61,5611.25,100%
read,read,1682,1682000,178.31,140.25,5.61,5607.92,100%
read,read,1681,1681000,178.42,140.31,5.6,5604.59,100%
read,read,1682,1682000,178.3,140.32,5.61,5608.22,100%
read,read,1681,1681000,178.39,140.25,5.61,5605.76,100%
read,read,1683,1683000,178.22,140.13,5.61,5610.88,100%
read,read,1681,1681000,178.41,140.31,5.6,5604.73,100%
read,read,1681,1681000,178.38,140.29,5.61,5605.63,100%
read,read,1682,1682000,178.3,140.27,5.61,5608.31,100%
read,read,1680,1680000,178.49,140.44,5.6,5602.22,100%
read,read,1680,1680000,178.49,140.45,5.6,5602.45,100%
read,read,1681,1681000,178.41,140.29,5.6,5604.83,100%
read,read,1682,1682000,178.28,140.24,5.61,5608.89,100%
read,read,1682,1682000,178.33,140.28,5.61,5607.34,100%
read,read,1682,1682000,178.27,140.23,5.61,5609.12,100%
read,read,1682,1682000,178.32,140.28,5.61,5607.56,100%
read,read,1681,1681000,178.41,140.39,5.6,5604.9,100%
read,read,1682,1682000,178.25,140.22,5.61,5609.66,100%
read,read,1681,1681000,178.43,140.35,5.6,5604.47,100%
read,read,1681,1681000,178.44,140.33,5.6,5604.1,100%
read,read,1682,1682000,178.34,140.27,5.61,5607.06,100%
read,read,1680,1680000,178.48,140.4,5.6,5602.78,100%
read,read,1681,1681000,178.43,140.34,5.6,5604.25,100%
read,read,1680,1680000,178.5,140.39,5.6,5602.04,100%
read,read,1682,1682000,178.31,140.28,5.61,5607.88,100%
read,read,1683,1683000,178.23,140.2,5.61,5610.54,100%
read,read,1683,1683000,178.19,140.1,5.61,5611.66,100%
read,read,1684,1684000,178.13,140.08,5.61,5613.65,100%
read,read,1683,1683000,178.24,140.16,5.61,5610.39,100%
read,read,1682,1682000,178.29,140.2,5.61,5608.55,100%
read,read,1684,1684000,178.13,140.12,5.61,5613.58,100%
read,read,1683,1683000,178.24,140.14,5.61,5610.32,100%
read,read,1683,1683000,178.24,140.22,5.61,5610.09,100%
read,read,1681,1681000,178.36,140.29,5.61,5606.34,100%
read,read,1682,1682000,178.31,140.29,5.61,5608.03,100%
read,read,1682,1682000,178.29,140.21,5.61,5608.7,100%
read,read,1683,1683000,178.24,140.18,5.61,5610.32,100%
read,read,1681,1681000,178.36,140.25,5.61,5606.42,100%
read,read,1681,1681000,178.4,140.33,5.61,5605.22,100%
read,read,1683,1683000,178.21,140.13,5.61,5610.99,100%
read,read,1681,1681000,178.43,140.29,5.6,5603.95,100%
read,read,1680,1680000,178.5,140.42,5.6,5601.89,100%
read,read,1682,1682000,178.3,140.17,5.61,5608.33,100%
read,read,1683,1683000,178.2,140.08,5.61,5611.37,100%
read,read,1683,1683000,178.22,140.08,5.61,5610.92,100%
read,read,1683,1683000,178.23,140.19,5.61,5610.47,100%
read,read,1684,1684000,178.11,140.06,5.61,5614.33,100%
read,read,1683,1683000,178.19,140.19,5.61,5611.66,100%
read,read,1682,1682000,178.33,140.27,5.61,5607.13,100%
read,read,1681,1681000,178.4,140.28,5.61,5605.3,100%
read,read,1681,1681000,178.39,140.28,5.61,5605.59,100%
read,read,1681,1681000,178.36,140.32,5.61,5606.29,100%
read,read,1683,1683000,178.17,140.15,5.61,5612.66,100%
read,read,1682,1682000,178.34,140.21,5.61,5607.08,100%
read,read,1682,1682000,178.29,140.2,5.61,5608.65,100%
read,read,1683,1683000,178.23,140.1,5.61,5610.41,100%
read,read,1683,1683000,178.15,140.05,5.61,5613.03,100%
read,read,1681,1681000,178.39,140.25,5.61,5605.61,100%
read,read,1682,1682000,178.31,140.21,5.61,5607.83,100%
read,read,1684,1684000,178.13,140.02,5.61,5613.89,100%
read,read,1682,1682000,178.33,140.26,5.61,5607.45,100%
read,read,1683,1683000,178.18,140.1,5.61,5611.98,100%
read,read,1682,1682000,178.33,140.22,5.61,5607.45,100%
read,read,1683,1683000,178.2,140.1,5.61,5611.53,100%
read,read,1682,1682000,178.35,140.27,5.61,5606.78,100%
read,read,1680,1680000,178.51,140.43,5.6,5601.76,100%
read,read,1684,1684000,178.05,139.99,5.62,5616.22,100%
read,read,1682,1682000,178.26,140.18,5.61,5609.62,100%
read,read,1682,1682000,178.3,140.19,5.61,5608.27,100%
read,read,1683,1683000,178.21,140.13,5.61,5611.16,100%
read,read,1682,1682000,178.29,140.21,5.61,5608.57,100%
read,read,1683,1683000,178.22,140.11,5.61,5611.01,100%
read,read,1681,1681000,178.42,140.32,5.6,5604.49,100%
read,read,1683,1683000,178.17,140.14,5.61,5612.28,100%
read,read,1685,1685000,178.03,139.94,5.62,5616.78,100%
read,read,1684,1684000,178.11,140.03,5.61,5614.44,100%
read,read,1681,1681000,178.37,140.25,5.61,5606.08,100%
read,read,1683,1683000,178.2,140.13,5.61,5611.33,100%
read,read,1683,1683000,178.18,140.09,5.61,5612.08,100%
read,read,1684,1684000,178.09,140.03,5.61,5614.96,100%
read,read,1683,1683000,178.21,140.12,5.61,5610.95,100%
read,read,1684,1684000,178.12,140.05,5.61,5614.06,100%
read,read,1684,1684000,178.09,140.01,5.62,5615.04,100%
read,read,1682,1682000,178.32,140.24,5.61,5607.69,100%
read,read,1682,1682000,178.32,140.24,5.61,5607.92,100%
read,read,1682,1682000,178.29,140.18,5.61,5608.74,100%
read,read,1682,1682000,178.27,140.15,5.61,5609.12,100%
read,read,1682,1682000,178.28,140.19,5.61,5608.95,100%
read,read,1683,1683000,178.24,140.17,5.61,5610.36,100%
read,read,1682,1682000,178.26,140.14,5.61,5609.66,100%
read,read,1685,1685000,178.02,139.96,5.62,5617.19,100%
read,read,1681,1681000,178.38,140.32,5.61,5605.65,100%
read,read,1682,1682000,178.3,140.2,5.61,5608.16,100%
read,read,1682,1682000,178.32,140.26,5.61,5607.79,100%
read,read,1684,1684000,178.13,140.05,5.61,5613.71,100%
read,read,1682,1682000,178.27,140.21,5.61,5609.36,100%
read,read,1683,1683000,178.24,140.15,5.61,5610.15,100%
read,read,1681,1681000,178.38,140.3,5.61,5605.73,100%
read,read,1683,1683000,178.21,140.1,5.61,5610.97,100%
read,read,1682,1682000,178.28,140.21,5.61,5609.13,100%
read,read,1681,1681000,178.39,140.3,5.61,5605.43,100%
read,read,1680,1680000,178.55,140.46,5.6,5600.6,100%
read,read,1683,1683000,178.2,140.14,5.61,5611.42,100%
read,read,1682,1682000,178.32,140.26,5.61,5607.86,100%
read,read,1683,1683000,178.2,140.12,5.61,5611.57,100%
read,read,1680,1680000,178.49,140.43,5.6,5602.17,100%
read,read,1683,1683000,178.19,140.11,5.61,5611.95,100%
read,read,1682,1682000,178.27,140.2,5.61,5609.43,100%
read,read,1682,1682000,178.3,140.21,5.61,5608.46,100%
read,read,1685,1685000,178,139.9,5.62,5617.81,100%
read,read,1681,1681000,178.37,140.37,5.61,5606.04,100%
