Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,read,read,read,read,read,read,read,Min-Version,Version,Max-Version
19:34:57,158,158000,1311.34,1283.11,31.26,31259.33,100%,0,0,0
19:35:02,3950,3950000,1411.77,1383.38,698.53,698527.03,100%,1,1,1
19:35:07,4064,4064000,1481.63,1443.5,718.92,718918.03,100%,2,2,2
19:35:12,4070,4070000,1494.05,1455.92,685.17,685174.83,100%,3,3,3
19:35:17,4096,4096000,1378.31,1340.16,743.16,743157.09,100%,4,4,4
19:35:22,4032,4032000,1499.7,1461.61,675.44,675444.71,100%,5,5,5
19:35:27,2691,2691000,1497.54,1459.39,461,460998.3,100%,6,6,6
19:35:32,2079,2079000,1461.75,1423.63,589.98,589981.85,100%,7,7,7
19:35:37,3590,3590000,1428.29,1390.22,979.96,979959.91,100%,8,8,8
19:35:42,3940,3940000,1343.68,1305.55,827.08,827081.95,100%,9,9,9
19:35:47,4090,4090000,1459.27,1421.19,729.05,729047.38,100%,10,10,10
19:35:52,4094,4094000,1442.78,1404.72,709.96,709962.32,100%,11,11,11
19:35:57,4077,4077000,1453.75,1415.65,702.56,702559.48,100%,12,12,12
19:36:02,3719,3719000,1511.48,1473.52,621.53,621526.47,100%,13,13,13
19:36:07,2056,2056000,1507.49,1469.4,404.15,404151.46,100%,14,14,14
19:36:12,2631,2631000,1470.07,1431.99,787.36,787363.77,100%,15,15,15
19:36:17,3830,3830000,1426.34,1388.21,929.08,929082.63,100%,16,16,16
19:36:22,4074,4074000,1504.02,1465.89,723.39,723394.66,100%,17,17,17
19:36:27,4095,4095000,1438.2,1400.12,713.96,713956.51,100%,18,18,18
19:36:32,4028,4028000,1487.99,1449.89,679.43,679432.65,100%,19,19,19
19:36:37,2924,2924000,1523.93,1485.86,493.29,493290.3,100%,20,20,20
19:36:42,2035,2035000,1532.69,1494.64,522.08,522076.28,100%,21,21,21
19:36:47,3369,3369000,1497.69,1459.64,904.16,904163.4,100%,22,22,22
19:36:52,3958,3958000,1457.1,1418.99,803.87,803869.52,100%,23,23,23
19:36:57,4069,4069000,1459.96,1421.89,719.63,719631.97,100%,24,24,24
19:37:02,4072,4072000,1457.8,1419.7,703.26,703262.25,100%,25,25,25
19:37:07,3926,3926000,1477.94,1439.85,671.67,671668.51,100%,26,26,26
19:37:12,3332,3332000,1394.35,1356.33,622.75,622747.95,100%,27,27,27
19:37:17,2463,2463000,1455.37,1417.2,557.98,557977.64,100%,28,28,28
19:37:22,2873,2873000,1470.68,1432.53,766.6,766602.08,100%,29,29,29
19:37:27,3791,3791000,1485.98,1447.89,842.49,842487.75,100%,30,30,30
19:37:32,4045,4045000,1442.94,1404.91,752.06,752064.42,100%,31,31,31
19:37:37,4069,4069000,1442.43,1404.34,712.22,712223.55,100%,32,32,32
19:37:42,3970,3970000,1477.53,1439.4,679.31,679310.88,100%,33,33,33
19:37:47,3800,3800000,1360.16,1322.04,717.07,717068.79,100%,34,34,34
19:37:52,3380,3380000,1390.34,1352.24,661.98,661979.07,100%,35,35,35
19:37:57,2808,2808000,1408.07,1369.97,627.08,627077.75,100%,36,36,36
19:38:02,2996,2996000,1417.67,1379.54,754.13,754133.91,100%,37,37,37
19:38:07,3577,3577000,1449.2,1411.11,809.79,809787.15,100%,38,38,38
19:38:12,4047,4047000,1475.98,1437.89,772.44,772444.8,100%,39,39,39
19:38:17,4057,4057000,1456.81,1418.7,704.62,704623.99,100%,40,40,40
19:38:22,3979,3979000,1438.09,1399.98,697.55,697548.44,100%,41,41,41
19:38:27,3587,3587000,1440.43,1402.3,642.86,642861.25,100%,42,42,42
19:38:32,2524,2524000,1471.5,1433.36,519.79,519786.7,100%,43,43,43
19:38:37,3011,3011000,1477.49,1439.32,770.2,770201.74,100%,44,44,44
19:38:42,3488,3488000,1404.46,1366.36,813.01,813011.94,100%,45,45,45
19:38:47,3918,3918000,1447.1,1408.96,784.8,784802.44,100%,46,46,46
19:38:52,4057,4057000,1432.84,1394.82,739.04,739040.63,100%,47,47,47
19:38:57,4022,4022000,1477.2,1439.05,688.57,688567.94,100%,48,48,48
19:39:02,3711,3711000,1427.33,1389.2,661.17,661167.11,100%,49,49,49
19:39:07,3771,3771000,1384.46,1346.32,747.56,747561.93,100%,50,50,50
19:39:12,3128,3128000,1383.97,1345.84,625.64,625639.51,100%,51,51,51
19:39:17,2996,2996000,1411.6,1373.5,700.5,700504.87,100%,52,52,52
19:39:22,3400,3400000,1413.24,1375.04,794.68,794682.79,100%,53,53,53
19:39:27,3595,3595000,1354.09,1315.97,791.78,791783.75,100%,54,54,54
19:39:32,4011,4011000,1537.99,1499.88,738.16,738161.68,100%,55,55,55
19:39:37,3985,3985000,1499.74,1461.61,677.23,677225.5,100%,56,56,56
19:39:42,3740,3740000,1442.05,1403.91,665.17,665169.47,100%,57,57,57
19:39:47,3263,3263000,1472.02,1433.96,619.3,619302.36,100%,58,58,58
19:39:52,2050,2050000,1432.43,1394.26,520.09,520089.06,100%,59,59,59
19:39:57,676,676000,1472.51,1434.4,257.46,257455.7,100%,60,60,60
