Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
19:53:15,197,197000,1030.75,1030.75,38.82,38818.62,100%,0,0,0
19:53:20,1169,1169000,1129.62,1129.62,196.86,196856.73,100%,1,1,1
19:53:25,1026,1026000,1385.63,1385.63,192.35,192346.12,100%,2,2,2
19:53:30,774,774000,1434.61,1434.61,144.77,144766.77,100%,3,3,3
19:53:35,807,807000,1580.6,1580.6,152.91,152905.68,100%,4,4,4
19:53:40,895,895000,1485.44,1485.44,180.71,180712.33,100%,5,5,5
19:53:45,718,718000,1555.12,1555.12,146.77,146771.91,100%,6,6,6
19:53:50,880,880000,1419.31,1419.31,174.33,174332.85,100%,7,7,7
19:53:55,765,765000,1721.59,1721.59,148.39,148394.51,100%,8,8,8
19:54:00,749,749000,1530.01,1530.01,154.5,154502.8,100%,9,9,9
19:54:05,954,954000,1427.58,1427.58,187.46,187458.72,100%,10,10,10
19:54:10,840,840000,1457.52,1457.52,163.67,163670.29,100%,11,11,11
19:54:15,843,843000,1562.28,1562.28,177.58,177580.52,100%,12,12,12
19:54:20,825,825000,1529.39,1529.39,165.8,165798.58,100%,13,13,13
19:54:25,749,749000,1645.9,1645.9,146.3,146298.17,100%,14,14,14
19:54:30,659,659000,1854.61,1854.61,136.95,136954.1,100%,15,15,15
19:54:35,853,853000,1567.61,1567.61,178,178001.26,100%,16,16,16
19:54:40,774,774000,1484.21,1484.21,157.44,157442.61,100%,17,17,17
19:54:45,875,875000,1441.95,1441.95,171.28,171275.49,100%,18,18,18
19:54:50,856,856000,1536.78,1536.78,168.95,168945.22,100%,19,19,19
19:54:55,884,884000,1468.2,1468.2,173.87,173866.56,100%,20,20,20
19:55:00,986,986000,1449.05,1449.05,207.5,207502.57,100%,21,21,21
19:55:05,737,737000,1566.69,1566.69,141.16,141157.45,100%,22,22,22
19:55:10,841,841000,1522.44,1522.44,171.08,171079.36,100%,23,23,23
19:55:15,851,851000,1437.1,1437.1,167.39,167385.71,100%,24,24,24
19:55:20,824,824000,1522.34,1522.34,156.89,156890.46,100%,25,25,25
19:55:25,795,795000,1739.18,1739.18,156.59,156587.08,100%,26,26,26
19:55:30,762,762000,1616,1616,154.65,154650.63,100%,27,27,27
19:55:35,860,860000,1411.39,1411.38,174.36,174361.73,100%,28,28,28
19:55:40,1000,1000000,1484.48,1484.48,200.58,200580.98,100%,29,29,29
19:55:45,834,834000,1392.49,1392.49,161.53,161527.42,100%,30,30,30
19:55:50,826,826000,1635.62,1635.62,162.38,162380.26,100%,31,31,31
19:55:55,790,790000,1740.8,1740.8,161.6,161602.35,100%,32,32,32
19:56:00,702,702000,1714.75,1714.75,139.83,139830.59,100%,33,33,33
19:56:05,622,622000,1808.07,1808.06,123.46,123460.8,100%,34,34,34
19:56:10,736,736000,1779.26,1779.26,146.61,146612.68,100%,35,35,35
19:56:15,867,867000,1445.4,1445.4,165.64,165644.4,100%,36,36,36
19:56:20,788,788000,1534.38,1534.38,154.29,154289.45,100%,37,37,37
19:56:25,877,877000,1505.11,1505.11,179.33,179328.59,100%,38,38,38
19:56:30,708,708000,1774.67,1774.67,142.23,142233.99,100%,39,39,39
19:56:35,832,832000,1586.68,1586.67,165.51,165512.49,100%,40,40,40
19:56:40,773,773000,1632.86,1632.86,155.82,155817.01,100%,41,41,41
19:56:45,830,830000,1637.51,1637.51,156.4,156398.96,100%,42,42,42
19:56:50,796,796000,1539.19,1539.19,154.74,154744.1,100%,43,43,43
19:56:55,819,819000,1657.48,1657.48,167.2,167202.84,100%,44,44,44
19:57:00,802,802000,1746.71,1746.71,166.64,166640.16,100%,45,45,45
19:57:05,739,739000,1684.04,1684.04,143.2,143201.96,100%,46,46,46
19:57:10,800,800000,1730.6,1730.6,158.14,158136.08,100%,47,47,47
19:57:15,665,665000,1695.78,1695.78,129.95,129945.71,100%,48,48,48
19:57:20,862,862000,1561.45,1561.45,181.97,181970.4,100%,49,49,49
19:57:25,882,882000,1654.83,1654.83,175.83,175831.86,100%,50,50,50
19:57:30,678,678000,1918.88,1918.88,140.71,140712.47,100%,51,51,51
19:57:35,781,781000,1723.65,1723.65,152.66,152660.79,100%,52,52,52
19:57:40,683,683000,1810.63,1810.62,132.24,132242.87,100%,53,53,53
19:57:45,799,799000,1583.46,1583.46,169.62,169616.73,100%,54,54,54
19:57:50,744,744000,1835.37,1835.37,144.53,144530.02,100%,55,55,55
19:57:55,751,751000,1640.78,1640.78,149.1,149096.02,100%,56,56,56
19:58:00,817,817000,1623.85,1623.85,163.64,163642.96,100%,57,57,57
19:58:05,744,744000,1750.3,1750.3,145.55,145550.8,100%,58,58,58
19:58:10,660,660000,1499.67,1499.67,243.75,243751.07,100%,59,59,59
19:58:15,209,209000,1021.88,1021.88,55.25,55253.88,100%,60,60,60
19:58:20,0,0,N/A,N/A,0,0,N/A,61,61,61
