Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,39,39000,7682.51,7682.51,0.13,130.16,100%
write,write,46,46000,6460.43,6460.43,0.15,154.78,100%
write,write,36,36000,8087.17,8087.17,0.12,123.64,100%
write,write,45,45000,5945.31,5945.31,0.17,168.19,100%
write,write,45,45000,6487.71,6487.71,0.15,154.13,100%
write,write,25,25000,10789.12,10789.12,0.09,92.68,100%
write,write,38,38000,7623.42,7623.42,0.13,131.17,100%
write,write,35,35000,8250.46,8250.46,0.12,121.2,100%
write,write,47,47000,5723.98,5723.98,0.17,174.7,100%
write,write,49,49000,6081.06,6081.06,0.16,164.44,100%
write,write,49,49000,6045.04,6045.04,0.17,165.42,100%
write,write,45,45000,6540.18,6540.18,0.15,152.9,100%
write,write,45,45000,6631.78,6631.78,0.15,150.78,100%
write,write,48,48000,6246.85,6246.85,0.16,160.08,100%
write,write,53,53000,5075.06,5075.06,0.2,197.04,100%
write,write,46,46000,6140.59,6140.59,0.16,162.85,100%
write,write,44,44000,6782.25,6782.25,0.15,147.44,100%
write,write,44,44000,6152.05,6152.05,0.16,162.54,100%
write,write,42,42000,6992.14,6992.14,0.14,143.01,100%
write,write,44,44000,6692.93,6692.93,0.15,149.41,100%
write,write,40,40000,6904.02,6904.02,0.14,144.84,100%
write,write,49,49000,6070.65,6070.65,0.16,164.72,100%
write,write,53,53000,5592.6,5592.6,0.18,178.8,100%
write,write,48,48000,6125.54,6125.54,0.16,163.25,100%
write,write,50,50000,5615.2,5615.2,0.18,178.08,100%
write,write,40,40000,7185.12,7185.12,0.14,139.17,100%
write,write,38,38000,7809.95,7809.95,0.13,128.04,100%
write,write,47,47000,6362.09,6362.09,0.16,157.18,100%
write,write,39,39000,7040.49,7040.49,0.14,142.03,100%
write,write,58,58000,5162.05,5162.05,0.19,193.72,100%
write,write,47,47000,6252.34,6252.34,0.16,159.94,100%
write,write,67,67000,4457.57,4457.57,0.22,224.33,100%
write,write,41,41000,7154.95,7154.95,0.14,139.76,100%
write,write,41,41000,7140.02,7140.02,0.14,140.05,100%
write,write,41,41000,7275.56,7275.56,0.14,137.44,100%
write,write,50,50000,5954.06,5954.06,0.17,167.95,100%
write,write,41,41000,7292.93,7292.93,0.14,137.12,100%
write,write,47,47000,5902.43,5902.43,0.17,169.42,100%
write,write,53,53000,5651.51,5651.51,0.18,176.94,100%
write,write,51,51000,5705.43,5705.43,0.18,175.27,100%
write,write,41,41000,7289.49,7289.49,0.14,137.18,100%
write,write,50,50000,5935.18,5935.18,0.17,168.48,100%
write,write,41,41000,7169.41,7169.41,0.14,139.48,100%
write,write,47,47000,6327.43,6327.43,0.16,158.04,100%
write,write,35,35000,8312.71,8312.71,0.12,120.3,100%
write,write,41,41000,6661.9,6661.9,0.15,150.1,100%
write,write,33,33000,8189.06,8189.06,0.12,122.11,100%
write,write,50,50000,5961.5,5961.5,0.17,167.74,100%
write,write,35,35000,8431.63,8431.63,0.12,118.6,100%
write,write,39,39000,7352.23,7352.23,0.14,136.01,100%
write,write,42,42000,6731.4,6731.4,0.15,148.55,100%
write,write,36,36000,7759.81,7759.81,0.13,128.87,100%
