Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
init,write,0,0,N/A,N/A,0,0,N/A
write,write,20389,20389000,750.63,750.63,170.48,170484.33,100%
write,write,19652,19652000,1552.32,1552.32,164.9,164896.99,100%
write,write,19333,19333000,3134.15,3134.15,163.36,163355.29,100%
write,write,20076,19723000,5962.28,5962.28,171.76,168739.2,100%
write,write,13492,13815808000,1133.98,1124.47,112.86,115569561.49,100%
write,write,16251,16641024000,1866.09,1856.79,137.19,140482371.76,100%
write,write,16795,17198080000,3547.49,3538.85,144.32,147779306.29,100%
write,write,17157,17345536000,6706.68,6698.33,152.72,154373336.84,100%
write,write,673,44105728000,20901.41,11496.4,6.12,401126563.5,100%
write,write,606,39714816000,40729.42,22031.58,6.24,409268693.95,100%
write,write,520,34078720000,83664.86,39842.12,6.18,404960388.37,100%
