Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,3,196608000,39821.67,23458,0.03,1645737.25,100%
write,write,3,196608000,34561.67,22668.33,0.03,1896168.28,100%
write,write,3,196608000,35086.33,25455.67,0.03,1867814.29,100%
write,write,2,131072000,39450.5,24639.5,0.03,1661221.02,100%
write,write,3,196608000,35082.67,20092.67,0.03,1867991.75,100%
write,write,3,196608000,36292.67,20873.33,0.03,1805747.66,100%
write,write,3,196608000,37563.67,22691.67,0.03,1744649.13,100%
write,write,3,196608000,37656.67,23873.67,0.03,1740355.85,100%
write,write,3,196608000,38890.33,21553.33,0.03,1685148.84,100%
write,write,3,196608000,38635.33,22694.67,0.03,1696256.48,100%
write,write,3,196608000,38799.67,23569.67,0.03,1689086.68,100%
write,write,3,196608000,35199.67,21145,0.03,1861818.18,100%
write,write,3,196608000,36037,26383.33,0.03,1818558.53,100%
write,write,3,196608000,39350.67,19506.33,0.03,1665435.57,100%
write,write,3,196608000,39040,22641.67,0.03,1678674.19,100%
write,write,3,196608000,38269,24562,0.03,1712493.9,100%
write,write,3,196608000,34796,24736,0.03,1883434.88,100%
write,write,2,131072000,42904,23863,0.02,1527503.26,100%
write,write,2,131072000,44045.5,21051,0.02,1487915.91,100%
write,write,3,196608000,39728.33,20540.33,0.03,1649603.56,100%
write,write,3,196608000,38458.33,24971,0.03,1704048.47,100%
write,write,3,196608000,37986,19940,0.03,1725267.2,100%
write,write,3,196608000,37820,20951.33,0.03,1732839.77,100%
write,write,2,131072000,39220,22749,0.03,1670984.19,100%
write,write,3,196608000,37762.67,21819.67,0.03,1735455.34,100%
write,write,2,131072000,41640.5,24906.5,0.02,1573852.38,100%
write,write,2,131072000,42998,21559,0.02,1524163.91,100%
write,write,3,196608000,37678.67,22037.33,0.03,1739339.68,100%
write,write,2,131072000,43370,23382.5,0.02,1511090.62,100%
write,write,2,131072000,40880,22289.5,0.02,1603111.51,100%
write,write,2,131072000,43700.5,22667.5,0.02,1499645.32,100%
write,write,3,196608000,38592,21816.67,0.03,1698161.12,100%
write,write,2,131072000,39575.5,24367,0.03,1655953.1,100%
write,write,3,196608000,38659,22142,0.03,1695218.06,100%
write,write,2,131072000,41822.5,20505,0.02,1567003.41,100%
write,write,3,196608000,37140.33,20698,0.03,1764534.83,100%
write,write,3,196608000,38839,22011,0.03,1687361.61,100%
write,write,3,196608000,36369.33,21028,0.03,1801957.69,100%
write,write,2,131072000,41661.5,23875.5,0.02,1573059.06,100%
write,write,2,131072000,39706,22455,0.03,1650531.41,100%
write,write,2,131072000,43714.5,27161,0.02,1499165.05,100%
write,write,2,131072000,41941.5,25910.5,0.02,1562557.37,100%
write,write,3,196608000,35835.67,21646.33,0.03,1828792.54,100%
write,write,3,196608000,39504,17015.67,0.03,1658971.24,100%
write,write,2,131072000,45906,20546.5,0.02,1427612.95,100%
write,write,2,131072000,43048,19159,0.02,1522393.61,100%
write,write,2,131072000,42222,16940.5,0.02,1552176.59,100%
write,write,2,131072000,43676,20311.5,0.02,1500503.71,100%
write,write,3,196608000,39441,20769,0.03,1661621.16,100%
