Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
16:10:09,92,92000,1330,1330,18.05,18046.01,100%,0,0,0
16:10:14,961,961000,1411.81,1411.81,164.44,164440.22,100%,1,1,1
16:10:19,978,978000,1514.25,1514.25,184.86,184860.32,100%,2,2,2
16:10:24,1001,1001000,1460.24,1460.24,175.63,175628.99,100%,3,3,3
16:10:29,948,948000,1619.07,1619.07,156.82,156817.33,100%,4,4,4
16:10:34,758,758000,1611.15,1611.15,126.56,126561.22,100%,5,5,5
16:10:39,521,521000,1667.49,1667.49,117.15,117153.72,100%,6,6,6
16:10:44,719,719000,1644.59,1644.59,184.76,184763.85,100%,7,7,7
16:10:49,914,914000,1617.37,1617.37,191.29,191291.22,100%,8,8,8
16:10:54,961,961000,1556.71,1556.71,168.6,168599.18,100%,9,9,9
16:10:59,929,929000,1522.67,1522.67,161.4,161398.13,100%,10,10,10
16:11:04,838,838000,1416.01,1416.01,162.02,162021.81,100%,11,11,11
16:11:09,813,813000,1445.99,1445.99,172.45,172452.24,100%,12,12,12
16:11:14,818,818000,1489.78,1489.78,174.34,174342.17,100%,13,13,13
16:11:19,783,783000,1480.86,1480.86,166.27,166273.18,100%,14,14,14
16:11:24,864,864000,1511.45,1511.45,184.05,184051.06,100%,15,15,15
16:11:29,920,920000,1545.51,1545.51,177.79,177788.83,100%,16,16,16
16:11:34,847,847000,1592.25,1592.24,151.7,151697.2,100%,17,17,17
16:11:39,779,779000,1616.88,1616.88,144.87,144865.79,100%,18,18,18
16:11:44,678,678000,1656.06,1656.06,140.34,140339.95,100%,19,19,19
16:11:49,770,770000,1641.96,1641.96,168.09,168089.13,100%,20,20,20
16:11:54,866,866000,1527.64,1527.64,182.03,182032.92,100%,21,21,21
16:11:59,836,836000,1643.23,1643.23,156.29,156292,100%,22,22,22
16:12:04,653,653000,1635.31,1635.31,138.06,138064.38,100%,23,23,23
16:12:09,289,289000,1571.99,1571.99,100.15,100145.17,100%,24,24,24
