Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,25,25000,4618.52,4618.52,0.22,216.51,100%
write,write,24,24000,4934,4934,0.2,202.66,100%
write,write,22,22000,4982.68,4982.68,0.2,200.68,100%
write,write,25,25000,4790.48,4790.48,0.21,208.74,100%
write,write,24,24000,4811.88,4811.88,0.21,207.82,100%
write,write,22,22000,5140.82,5140.82,0.19,194.52,100%
write,write,23,23000,5128.13,5128.13,0.19,195,100%
write,write,23,23000,5068.09,5068.09,0.2,197.3,100%
write,write,24,24000,4926.58,4926.58,0.2,202.97,100%
write,write,24,24000,4956.21,4956.21,0.2,201.76,100%
write,write,25,25000,4711.52,4711.52,0.21,212.24,100%
write,write,24,24000,4843.96,4843.96,0.21,206.43,100%
write,write,25,25000,4723.84,4723.84,0.21,211.68,100%
write,write,25,25000,4597.76,4597.76,0.22,217.48,100%
write,write,24,24000,4864.88,4864.88,0.21,205.55,100%
write,write,23,23000,5032.35,5032.35,0.2,198.71,100%
write,write,22,22000,5278.82,5278.82,0.19,189.43,100%
write,write,24,24000,4923.83,4923.83,0.2,203.08,100%
write,write,25,25000,4754.12,4754.12,0.21,210.34,100%
write,write,24,24000,4773.92,4773.92,0.21,209.46,100%
write,write,22,22000,5416.59,5416.59,0.18,184.61,100%
write,write,25,25000,4746.96,4746.96,0.21,210.66,100%
write,write,24,24000,4775.71,4775.71,0.21,209.39,100%
write,write,24,24000,4829.67,4829.67,0.21,207.05,100%
write,write,24,24000,4776.38,4776.38,0.21,209.35,100%
write,write,24,24000,4814.71,4814.71,0.21,207.69,100%
write,write,24,24000,4565.38,4565.38,0.22,219.03,100%
write,write,24,24000,4770.42,4770.42,0.21,209.62,100%
write,write,24,24000,4811.21,4811.21,0.21,207.84,100%
write,write,24,24000,4805.29,4805.25,0.21,208.1,100%
write,write,22,22000,5307.45,5307.45,0.19,188.41,100%
write,write,25,25000,4674.08,4674.08,0.21,213.94,100%
write,write,24,24000,4828.71,4828.71,0.21,207.08,100%
write,write,22,22000,5313.95,5313.95,0.19,188.18,100%
write,write,22,22000,5419.59,5419.59,0.18,184.51,100%
write,write,25,25000,4750.32,4750.32,0.21,210.5,100%
write,write,24,24000,4967.5,4967.5,0.2,201.3,100%
write,write,25,25000,4596.32,4596.32,0.22,217.56,100%
write,write,22,22000,5231.14,5231.14,0.19,191.15,100%
write,write,24,24000,4800.58,4800.58,0.21,208.3,100%
write,write,22,22000,5113.73,5113.73,0.2,195.55,100%
write,write,23,23000,5093.7,5093.7,0.2,196.31,100%
write,write,22,22000,5260.14,5260.14,0.19,190.1,100%
write,write,24,24000,4901.42,4901.42,0.2,204.02,100%
write,write,25,25000,4781,4781,0.21,209.15,100%
