Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
16:18:50,71,72704000,1717.68,1708.1,13.97,14304040.42,100%,0,0,0
16:18:55,825,844800000,1666.35,1657.08,139.26,142602262.01,100%,1,1,1
16:19:00,756,774144000,1934.7,1925.32,145.69,149181472.28,100%,2,2,2
16:19:05,857,877568000,1749.39,1739.79,145.33,148822067.06,100%,3,3,3
16:19:10,699,715776000,1853.43,1844.09,118.47,121309912.37,100%,4,4,4
16:19:15,571,584704000,2053.3,2043.86,110.47,113124013.48,100%,5,5,5
16:19:20,646,661504000,2002.84,1993.46,135.06,138302635.2,100%,6,6,6
16:19:25,742,759808000,1833.05,1823.74,150.84,154458687.77,100%,7,7,7
16:19:30,682,698368000,1819.42,1810.28,136.66,139938609.57,100%,8,8,8
16:19:35,674,690176000,1904.07,1895,138.15,141461561.78,100%,9,9,9
16:19:40,685,701440000,1855.21,1845.79,139.02,142355292.8,100%,10,10,10
16:19:45,589,603136000,2182.53,2173.04,105.21,107733101.83,100%,11,11,11
16:19:50,612,626688000,2078.24,2068.85,124.73,127726062.16,100%,12,12,12
16:19:55,683,699392000,1686.01,1676.46,140.76,144133821.47,100%,13,13,13
16:20:00,759,777216000,1791.93,1782.5,158.56,162360842.9,100%,14,14,14
16:20:05,747,764928000,1701.76,1692.42,143.12,146559274.4,100%,15,15,15
16:20:10,655,670720000,1774.84,1765.85,126.59,129626686.06,100%,16,16,16
16:20:15,612,626688000,2308.58,2299.65,123.63,126593453.51,100%,17,17,17
16:20:20,638,653312000,2079.34,2070.19,123.6,126564624.99,100%,18,18,18
16:20:25,661,676864000,1755.7,1746.47,129.46,132565525.39,100%,19,19,19
16:20:30,672,688128000,1764.14,1754.67,141.65,145053736.56,100%,20,20,20
16:20:35,737,754688000,1658.81,1649.7,149.75,153348342.06,100%,21,21,21
16:20:40,671,687104000,1766.89,1757.68,136.27,139537755.08,100%,22,22,22
16:20:45,734,751616000,2106.46,2097.11,149.33,152917896.47,100%,23,23,23
16:20:50,258,264192000,1986.12,1976.6,83.35,85353701.47,100%,24,24,24
