Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:07:39,submitting @ 2015-10-26 16:07:39,authing @ 2015-10-26 16:07:39,launching @ 2015-10-26 16:07:39,running @ 2015-10-26 16:07:40,closing @ 2015-10-26 16:07:50,completed @ 2015-10-26 16:07:50
s2-1k-128t,write,write,20389,20389000,750.63,750.63,770,820,870,940,1270,2270,170.48,170484.33,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:07:52,submitting @ 2015-10-26 16:07:52,authing @ 2015-10-26 16:07:52,launching @ 2015-10-26 16:07:53,running @ 2015-10-26 16:07:53,closing @ 2015-10-26 16:09:58,completed @ 2015-10-26 16:09:58
s3-1k-256t,write,write,19652,19652000,1552.32,1552.32,1550,1630,1740,2150,2940,5590,164.9,164896.99,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:10:00,submitting @ 2015-10-26 16:10:00,authing @ 2015-10-26 16:10:01,launching @ 2015-10-26 16:10:01,running @ 2015-10-26 16:10:01,closing @ 2015-10-26 16:12:07,completed @ 2015-10-26 16:12:07
s4-1k-512t,write,write,19333,19333000,3134.15,3134.15,3060,3180,3420,4380,6220,8350,163.36,163355.29,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:12:09,submitting @ 2015-10-26 16:12:09,authing @ 2015-10-26 16:12:10,launching @ 2015-10-26 16:12:10,running @ 2015-10-26 16:12:11,closing @ 2015-10-26 16:14:16,completed @ 2015-10-26 16:14:16
s5-1k-1024t,write,write,20076,19723000,5962.28,5962.28,5860,6110,6430,10180,30500,41040,171.76,168739.2,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:14:18,submitting @ 2015-10-26 16:14:18,authing @ 2015-10-26 16:14:20,launching @ 2015-10-26 16:14:21,running @ 2015-10-26 16:14:21,closing @ 2015-10-26 16:16:31,completed @ 2015-10-26 16:16:31
s6-1m-128t,write,write,13492,13815808000,1133.98,1124.47,960,1100,1350,1890,4310,19180,112.86,115569561.49,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:16:33,submitting @ 2015-10-26 16:16:33,authing @ 2015-10-26 16:16:34,launching @ 2015-10-26 16:16:34,running @ 2015-10-26 16:16:34,closing @ 2015-10-26 16:18:39,completed @ 2015-10-26 16:18:39
s7-1m-256t,write,write,16251,16641024000,1866.09,1856.79,1780,2150,2850,3680,6420,15700,137.19,140482371.76,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:18:42,submitting @ 2015-10-26 16:18:42,authing @ 2015-10-26 16:18:42,launching @ 2015-10-26 16:18:42,running @ 2015-10-26 16:18:43,closing @ 2015-10-26 16:20:48,completed @ 2015-10-26 16:20:48
s8-1m-512t,write,write,16795,17198080000,3547.49,3538.85,2990,4030,5980,8730,16300,34430,144.32,147779306.29,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:20:50,submitting @ 2015-10-26 16:20:50,authing @ 2015-10-26 16:20:51,launching @ 2015-10-26 16:20:51,running @ 2015-10-26 16:20:52,closing @ 2015-10-26 16:23:02,completed @ 2015-10-26 16:23:02
s9-1m-1024t,write,write,17157,17345536000,6706.68,6698.33,5630,7590,10590,17400,30280,48180,152.72,154373336.84,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:23:04,submitting @ 2015-10-26 16:23:04,authing @ 2015-10-26 16:23:06,launching @ 2015-10-26 16:23:06,running @ 2015-10-26 16:23:07,closing @ 2015-10-26 16:25:22,completed @ 2015-10-26 16:25:22
s10-64m-128t,write,write,673,44105728000,20901.41,11496.4,20590,26580,30600,32230,34320,37830,6.12,401126563.5,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:25:24,submitting @ 2015-10-26 16:25:24,authing @ 2015-10-26 16:25:24,launching @ 2015-10-26 16:25:25,running @ 2015-10-26 16:25:25,closing @ 2015-10-26 16:27:35,completed @ 2015-10-26 16:27:35
s11-64m-256t,write,write,606,39714816000,40729.42,22031.58,41840,43390,45210,46890,51560,55400,6.24,409268693.95,100%,completed,waiting @ 2015-10-26 16:07:39,booting @ 2015-10-26 16:27:37,submitting @ 2015-10-26 16:27:37,authing @ 2015-10-26 16:27:38,launching @ 2015-10-26 16:27:38,running @ 2015-10-26 16:27:38,closing @ 2015-10-26 16:29:59,completed @ 2015-10-26 16:29:59
