Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,read,read,read,read,read,read,read,Min-Version,Version,Max-Version
20:20:59,1329,1360896000,284.75,274.92,259.88,266122030.19,100%,0,0,0
20:21:04,1682,1722368000,278.94,269.36,326.44,334277554.35,100%,1,1,1
20:21:09,1791,1833984000,268.39,258.52,488.41,500131880.64,100%,2,2,2
20:21:14,2504,2564096000,261.99,252.71,611.06,625729009.58,100%,3,3,3
20:21:19,2414,2471936000,267.96,258.56,481.45,493000168.04,100%,4,4,4
20:21:24,2393,2450432000,277.34,265.7,465.14,476301350.12,100%,5,5,5
20:21:29,2446,2504704000,266.89,256.98,479.59,491103777.79,100%,6,6,6
20:21:34,2421,2479104000,272.66,263.44,469.43,480695845.79,100%,7,7,7
20:21:39,2424,2482176000,270.95,261.42,472.42,483756882.19,100%,8,8,8
20:21:44,2409,2466816000,274.21,264.8,466.75,477950859.16,100%,9,9,9
20:21:49,2527,2587648000,262.65,252.66,487.33,499023342.04,100%,10,10,10
20:21:54,2416,2473984000,271.15,261.72,472.05,483380159.44,100%,11,11,11
20:21:59,2404,2461696000,275.96,266.65,463.79,474925712.91,100%,12,12,12
20:22:04,2494,2553856000,265.06,254.47,482.86,494444598.4,100%,13,13,13
20:22:09,2423,2481152000,271.29,261.85,471.8,483122278.36,100%,14,14,14
20:22:14,2423,2481152000,272.58,263.05,469.57,480840702.36,100%,15,15,15
20:22:19,2422,2480128000,269.91,260.13,474.23,485608215.73,100%,16,16,16
20:22:24,2547,2608128000,256.86,247.22,498.34,510301879.22,100%,17,17,17
20:22:29,2429,2487296000,268.96,259.55,475.94,487358279.72,100%,18,18,18
20:22:34,2542,2603008000,259.97,250.38,492.34,504152051.12,100%,19,19,19
20:22:39,2517,2577408000,263.16,253.67,486.36,498035279.77,100%,20,20,20
20:22:44,2356,2412544000,279.82,268.53,457.38,468361129.37,100%,21,21,21
20:22:49,2479,2538496000,264.05,254.75,484.71,496346095.27,100%,22,22,22
20:22:54,2562,2623488000,253.67,243.99,504.6,516707026.4,100%,23,23,23
20:22:59,2495,2554880000,264.2,254.93,484.43,496059740.1,100%,24,24,24
20:23:04,2528,2588672000,262.67,252.83,487.25,498945790.48,100%,25,25,25
20:23:09,2511,2571264000,263.66,253.83,485.41,497056032.53,100%,26,26,26
20:23:14,2510,2570240000,263.79,254.06,485.16,496807343.32,100%,27,27,27
20:23:19,2428,2486272000,269.75,260.35,474.51,485894203.91,100%,28,28,28
20:23:24,2492,2551808000,263.33,252.73,486.07,497736791.28,100%,29,29,29
20:23:29,2541,2601984000,261.89,252.24,488.73,500454412.42,100%,30,30,30
20:23:34,2490,2549760000,265.64,256.25,481.82,493385477.56,100%,31,31,31
20:23:39,2440,2498560000,267.49,257.38,478.51,489994132.78,100%,32,32,32
20:23:44,2408,2465792000,265.77,255.96,470.33,481619887.59,100%,33,33,33
20:23:49,2292,2347008000,262.6,252.86,456.89,467852716.03,100%,34,34,34
20:23:54,2135,2186240000,261.42,251.04,455.45,466385270.76,100%,35,35,35
20:23:59,2270,2324480000,276.72,267.36,520.33,532819144.72,100%,36,36,36
20:24:04,2333,2388992000,262.08,252.07,475.48,486895748.6,100%,37,37,37
20:24:09,2193,2245632000,260.59,251.02,460.93,471988029.87,100%,38,38,38
20:24:14,2282,2336768000,268.31,258.17,506.61,518770038.72,100%,39,39,39
20:24:19,2064,2113536000,264.1,254.61,431.51,441861976.73,100%,40,40,40
20:24:24,2159,2210816000,263.42,253.58,500.42,512431464.19,100%,41,41,41
20:24:29,2580,2641920000,248.71,238.53,570.62,584315337.56,100%,42,42,42
20:24:34,2587,2649088000,252.72,242.17,518.36,530796509.74,100%,43,43,43
20:24:39,2577,2638848000,251.16,240.69,505.54,517669878.38,100%,44,44,44
20:24:44,2601,2663424000,247.75,237.75,512.62,524918595.47,100%,45,45,45
20:24:49,2467,2526208000,263.37,254.13,493.79,505641814.57,100%,46,46,46
20:24:54,2567,2628608000,250.65,239.9,502.52,514579841.72,100%,47,47,47
20:24:59,2653,2716672000,249.89,240.3,524.21,536792166.55,100%,48,48,48
20:25:04,2518,2578432000,254.93,245.01,494.26,506122626.11,100%,49,49,49
20:25:09,2544,2605056000,258.43,248.07,503.07,515140660.78,100%,50,50,50
20:25:14,2537,2597888000,255.78,245.57,496.53,508445872.84,100%,51,51,51
20:25:19,2545,2606080000,258.55,248.13,499.03,511003694.31,100%,52,52,52
20:25:24,2536,2596864000,261.42,251.76,489.6,501352973.73,100%,53,53,53
20:25:29,2552,2613248000,255.85,245.2,500.32,512324530.45,100%,54,54,54
20:25:34,2653,2716672000,248.65,238.68,514.73,527081021.15,100%,55,55,55
20:25:39,2577,2638848000,253.34,244.06,505.23,517358618.61,100%,56,56,56
20:25:44,2645,2708480000,249.45,239.8,513.07,525384706.31,100%,57,57,57
20:25:49,2635,2698240000,250.05,239.93,511.85,524133796.33,100%,58,58,58
20:25:54,1015,1039360000,249.63,232.5,515.51,527886716.93,100%,59,59,59
