Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,81,82944000,3675.06,3412.79,0.27,278631.97,100%
read,read,79,80896000,3758.57,3487.96,0.27,272438.56,100%
read,read,79,80896000,3789.49,3526.33,0.26,270213.58,100%
read,read,79,80896000,3753.08,3464.94,0.27,272836.42,100%
read,read,80,81920000,3724.15,3468.1,0.27,274956.53,100%
read,read,80,81920000,3723.35,3450.48,0.27,275016.53,100%
read,read,80,81920000,3746.55,3484.55,0.27,273311.74,100%
read,read,78,79872000,3787.65,3528.24,0.26,270351.14,100%
read,read,80,81920000,3735.59,3479.26,0.27,274119.28,100%
read,read,81,82944000,3694.16,3443.78,0.27,277193.31,100%
read,read,80,81920000,3705.96,3449.36,0.27,276310.55,100%
read,read,79,80896000,3789.23,3504.92,0.26,270237.95,100%
read,read,79,80896000,3778.11,3493.28,0.26,271032.89,100%
read,read,79,80896000,3747.41,3464.15,0.27,273254.83,100%
read,read,79,80896000,3784.89,3511.73,0.26,270547.95,100%
read,read,79,80896000,3755.89,3501.95,0.27,272638.73,100%
read,read,79,80896000,3757.99,3488.2,0.27,272484.45,100%
read,read,79,80896000,3768.06,3500.22,0.27,271754.9,100%
read,read,79,80896000,3751.94,3485.06,0.27,272923.87,100%
read,read,78,79872000,3788.78,3538.09,0.26,270271.55,100%
read,read,79,80896000,3767.59,3521.73,0.27,271788.69,100%
read,read,78,79872000,3789.87,3527.71,0.26,270193.84,100%
read,read,80,81920000,3720.5,3436.94,0.27,275230.9,100%
read,read,78,79872000,3806.33,3540.49,0.26,269023.5,100%
read,read,79,80896000,3779.28,3472.3,0.26,270947.56,100%
read,read,78,79872000,3797.54,3506.06,0.26,269645.62,100%
read,read,78,79872000,3797.88,3508.97,0.26,269623.78,100%
read,read,79,80896000,3778.91,3507.15,0.26,270973.88,100%
read,read,78,79872000,3802.92,3524.68,0.26,269262.93,100%
read,read,79,80896000,3774,3498.1,0.26,271329.24,100%
read,read,80,81920000,3749.58,3490.34,0.27,273095.8,100%
read,read,78,79872000,3802.83,3501.72,0.26,269272,100%
read,read,80,81920000,3722.49,3468.98,0.27,275084.87,100%
read,read,78,79872000,3803.9,3539.96,0.26,269195.77,100%
read,read,77,78848000,3842.48,3542.1,0.26,266491.82,100%
read,read,81,82944000,3682.23,3427.99,0.27,278091.07,100%
read,read,79,80896000,3774.41,3517.9,0.26,271300.13,100%
read,read,76,77824000,3904.61,3590.82,0.26,262252.66,100%
