Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,read,read,read,read,read,read,read,Min-Version,Version,Max-Version
20:55:57,128,131072000,868.69,859.09,25.32,25927004.5,100%,0,0,0
20:56:02,1398,1431552000,920.11,906.97,254.65,260764079.47,100%,1,1,1
20:56:07,1482,1517568000,965.13,950.66,287.66,294567619.38,100%,2,2,2
20:56:12,1437,1471488000,987.44,972.49,258.95,265166040.51,100%,3,3,3
20:56:17,1427,1461248000,1007.04,994.37,254.07,260166014.75,100%,4,4,4
20:56:22,1445,1479680000,1012.08,996.74,252.9,258968145.09,100%,5,5,5
20:56:27,1434,1468416000,986.45,974.51,258.16,264354305.73,100%,6,6,6
20:56:32,1128,1155072000,966.6,953.85,198.56,203326909.33,100%,7,7,7
20:56:37,1029,1053696000,981.89,968.8,244.23,250091514.53,100%,8,8,8
20:56:42,1407,1440768000,924.73,910.44,339.69,347846909.34,100%,9,9,9
20:56:47,1475,1510400000,914.05,900.09,292,299005893.41,100%,10,10,10
20:56:52,1336,1368064000,947.33,932.47,249.51,255498883.49,100%,11,11,11
20:56:57,1276,1306624000,973.26,959.55,254.75,260864980.64,100%,12,12,12
20:57:02,1462,1497088000,981.62,965.89,291.28,298274707.44,100%,13,13,13
20:57:07,1499,1534976000,948.97,933.09,274.96,281559887.02,100%,14,14,14
20:57:12,1455,1489920000,955.64,940.57,262.53,268826116.29,100%,15,15,15
20:57:17,1281,1311744000,923.64,909.34,240.21,245972739.12,100%,16,16,16
20:57:22,1133,1160192000,945.44,930.93,246.77,252690360.68,100%,17,17,17
20:57:27,1346,1378304000,976.21,962.57,305.35,312682344.87,100%,18,18,18
20:57:32,1061,1086464000,1005.99,990.2,218.57,223812336.42,100%,19,19,19
20:57:37,1336,1368064000,946.57,928.57,301.12,308347230.66,100%,20,20,20
20:57:42,1431,1465344000,941.8,928.44,287.09,293978827.44,100%,21,21,21
20:57:47,1461,1496064000,969.29,951.36,276.42,283052530.7,100%,22,22,22
20:57:52,1524,1560576000,888.75,873.68,291.57,298571698.56,100%,23,23,23
20:57:57,1530,1566720000,883.75,869.57,290.81,297793441.37,100%,24,24,24
20:58:02,1476,1511424000,924.62,909.59,268.55,274990597.27,100%,25,25,25
20:58:07,1212,1241088000,999.58,983.82,236.96,242649834.32,100%,26,26,26
20:58:12,1286,1316864000,971.24,955.07,257.75,263937496.92,100%,27,27,27
20:58:17,1261,1291264000,962.89,946.2,256.71,262874443.62,100%,28,28,28
20:58:22,1265,1295360000,970.8,951.59,267.58,274005272.83,100%,29,29,29
20:58:27,1304,1335296000,943.78,928.57,272.87,279418143.53,100%,30,30,30
20:58:32,1300,1331200000,961.95,946.69,271.72,278245723.22,100%,31,31,31
20:58:37,1441,1475584000,960.32,944.73,288.65,295577837.89,100%,32,32,32
20:58:42,1391,1424384000,942.8,923.92,259.89,266127181.98,100%,33,33,33
20:58:47,1391,1424384000,948.23,930.06,270.83,277329743.92,100%,34,34,34
20:58:52,1432,1466368000,930.41,915.16,279.1,285798031.04,100%,35,35,35
20:58:57,1386,1419264000,922.56,906.49,269.84,276317083.85,100%,36,36,36
20:59:02,1346,1378304000,946.94,927.83,266.52,272912354.01,100%,37,37,37
20:59:07,1237,1266688000,953.76,939.18,248.85,254824290.28,100%,38,38,38
20:59:12,1395,1428480000,922.06,903.81,303.74,311025565.18,100%,39,39,39
20:59:17,1303,1334272000,916.02,901.03,262.2,268492244.57,100%,40,40,40
20:59:22,1382,1415168000,938.91,922.96,288.05,294960644.65,100%,41,41,41
20:59:27,1454,1488896000,936.31,920.75,287.3,294195135.37,100%,42,42,42
20:59:32,1451,1485824000,885.1,868.89,285.65,292505385.4,100%,43,43,43
20:59:37,1409,1442816000,916.82,901.69,271.94,278468530.89,100%,44,44,44
20:59:42,1430,1464320000,977.89,964.42,274.7,281296593.12,100%,45,45,45
20:59:47,1425,1459200000,955.91,940.24,263.16,269475553.55,100%,46,46,46
20:59:52,1170,1198080000,946.19,928.94,222.18,227516352.05,100%,47,47,47
20:59:57,1281,1311744000,948.47,935.83,287.78,294686788.85,100%,48,48,48
21:00:02,1270,1300480000,938.2,923.58,270.41,276897388.69,100%,49,49,49
21:00:07,1394,1427456000,922.64,907.6,298.47,305628296.8,100%,50,50,50
21:00:12,1390,1423360000,915.92,897.32,278.57,285253909.18,100%,51,51,51
21:00:17,1422,1456128000,936.41,920.26,280.48,287213181.46,100%,52,52,52
21:00:22,1418,1452032000,945.78,927.82,271.5,278016843.97,100%,53,53,53
21:00:27,1434,1468416000,955.71,940.54,272.29,278823383.18,100%,54,54,54
21:00:32,1417,1451008000,937.23,921.1,268.88,275334447.1,100%,55,55,55
21:00:37,1438,1472512000,901.93,883.38,285.61,292462878.58,100%,56,56,56
21:00:42,1282,1312768000,943.09,926.98,245.56,251456654.64,100%,57,57,57
21:00:47,1320,1351680000,930.12,918.28,279.57,286277753.09,100%,58,58,58
21:00:52,1316,1347584000,623.66,606.94,452.19,463042214.88,100%,59,59,59
21:00:57,251,257024000,549.77,534.87,93.23,95468375.53,100%,60,60,60
