Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
init,write,0,0,N/A,N/A,0,0,N/A
prepare,write,3000,192000000,38.69,37.82,25.73,1646739.97,100%
write,write,2774,2774000,43.1,43.1,23.12,23117.82,100%
write,write,9637,9637000,49.62,49.62,80.33,80333.41,100%
write,write,23759,23759000,80.62,80.62,198.07,198069.43,100%
write,write,27572,27572000,139.04,139.04,229.89,229890.95,100%
write,write,26829,26829000,285.74,285.74,223.86,223858.59,100%
write,write,24929,24929000,614.55,614.55,208.23,208228.28,100%
write,write,1995,127680000,59.97,59.11,16.63,1064212.84,100%
write,write,7889,504896000,60.65,59.8,65.76,4208737.67,100%
write,write,18511,1184704000,103.5,102.62,154.34,9877613.2,100%
write,write,21499,1375936000,178.24,177.36,179.36,11478763.13,100%
write,write,22193,1420352000,343.22,342.33,186.42,11930749.89,100%
write,write,21899,1401536000,690.84,689.95,185.26,11856881.84,100%
write,write,1305,1336320000,91.79,82.42,10.88,11140549.06,100%
write,write,5137,5260288000,93.26,83.89,42.82,43848233.53,100%
write,write,11886,12171264000,161.05,151.97,99.27,101653445.1,100%
write,write,13288,13606912000,286.81,277.64,111.52,114200457.4,100%
write,write,15177,15541248000,504.96,495.49,126.71,129748314.82,100%
write,write,16340,16732160000,935.31,925.91,136.82,140108673.65,100%
write,write,556,9109504000,215.51,128.63,4.64,75970777.6,100%
write,write,1080,17694720000,442.95,359.48,9.03,147903329.71,100%
write,write,2380,38993920000,804.35,691.9,19.89,325851318.69,100%
write,write,2850,46694400000,1335.56,1204.42,23.96,392502384.41,100%
write,write,3178,52068352000,2390.74,2261.01,26.77,438578982.41,100%
write,write,3144,51511296000,4735.26,4562.82,27.04,442954305.93,100%
write,write,186,12189696000,643.4,317.53,1.55,101835388.47,100%
write,write,342,22413312000,1394.38,694.26,2.87,187975058.12,100%
write,write,680,44564480000,2801.25,1386.42,5.71,374309437.41,100%
write,write,762,49938432000,4939.62,2434.8,6.48,424514539.96,100%
write,write,799,52363264000,9214.91,4588.11,6.95,455207234.82,100%
write,write,783,51314688000,17917.56,8252.5,7.14,468227931.96,100%
