Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
22:35:10,132,8448000,37.73,36.81,26.4,1689600,100%,0,0,0
22:35:15,135,8640000,36.99,36.11,26.94,1723862.73,100%,1,1,1
22:35:20,133,8512000,37.55,36.65,26.52,1696969.7,100%,2,2,2
22:35:25,139,8896000,35.82,34.93,27.76,1776357.83,100%,3,3,3
22:35:30,129,8256000,38.65,37.82,25.73,1646918.01,100%,4,4,4
22:35:35,139,8896000,35.78,34.91,27.77,1777067.52,100%,5,5,5
22:35:40,137,8768000,36.53,35.66,27.26,1744528.45,100%,6,6,6
22:35:45,132,8448000,38.36,37.48,25.97,1662337.66,100%,7,7,7
22:35:50,129,8256000,38.65,37.78,25.74,1647246.61,100%,8,8,8
22:35:55,128,8192000,39.08,38.21,25.48,1630897.87,100%,9,9,9
22:36:00,135,8640000,37.05,36.16,26.85,1718718.92,100%,10,10,10
22:36:05,0,0,N/A,N/A,0,0,N/A,11,11,11
22:36:10,135,8640000,36.99,36.16,53.81,3443603.03,100%,12,12,12
22:36:15,117,7488000,43.04,42.21,23.14,1480719.79,100%,13,13,13
22:36:20,128,8192000,39.12,38.26,25.44,1627980.92,100%,14,14,14
22:36:25,124,7936000,40.07,39.23,24.76,1584348.17,100%,15,15,15
22:36:30,128,8192000,39.08,38.21,25.47,1630248.76,100%,16,16,16
22:36:35,127,8128000,39.32,38.43,25.3,1619123.51,100%,17,17,17
22:36:40,134,8576000,37.35,36.5,26.66,1705987.67,100%,18,18,18
22:36:45,124,7936000,41.02,40.16,24.28,1553945.56,100%,19,19,19
22:36:50,106,6784000,47.06,46.24,21.2,1356528.69,100%,20,20,20
22:36:55,128,8192000,39.09,38.23,25.47,1630248.76,100%,21,21,21
22:37:00,126,8064000,39.71,38.81,25.11,1607014.75,100%,22,22,22
22:37:05,26,1664000,38.5,37.62,25.79,1650793.65,100%,23,23,23
