Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,52,851968000,2267.65,2080.63,0.44,7224966.08,100%
write,write,46,753664000,2574.37,2454.59,0.39,6364007.9,100%
write,write,40,655360000,2951.75,2831.35,0.34,5550135.5,100%
write,write,50,819200000,2372.86,2256.58,0.42,6904398.69,100%
write,write,53,868352000,2257.45,2143.64,0.44,7257494.84,100%
write,write,48,786432000,2461.67,2287.65,0.41,6655202.76,100%
write,write,50,819200000,2358.38,2184.62,0.42,6946906.03,100%
write,write,44,720896000,2696.25,2522.32,0.37,6076331.76,100%
write,write,56,917504000,2133.36,1969.02,0.47,7679464.32,100%
write,write,50,819200000,2363,2256,0.42,6932854.89,100%
write,write,46,753664000,2606.17,2433.41,0.38,6286557.95,100%
write,write,53,868352000,2259.58,2152.75,0.44,7250404.96,100%
write,write,46,753664000,2567.02,2388.57,0.39,6382439.62,100%
write,write,48,786432000,2436.29,2316.21,0.41,6724629.75,100%
write,write,49,802816000,2407.61,2298.94,0.42,6805024.84,100%
write,write,53,868352000,2234.45,2055.19,0.45,7332258.15,100%
write,write,46,753664000,2570.52,2459.07,0.39,6373372.12,100%
write,write,47,770048000,2541.06,2373.72,0.39,6447369.3,100%
write,write,51,835584000,2316.45,2207.06,0.43,7072349.93,100%
write,write,50,819200000,2372.96,2238.66,0.42,6903933.19,100%
write,write,47,770048000,2509.96,2398.45,0.4,6527268.72,100%
write,write,47,770048000,2522.11,2402.15,0.4,6495609.41,100%
write,write,50,819200000,2385.06,2225.66,0.42,6868852.87,100%
write,write,50,819200000,2363.08,2193.22,0.42,6933148.27,100%
write,write,52,851968000,2297.21,2186.29,0.44,7131707.15,100%
write,write,51,835584000,2340.98,2236.24,0.43,6998718.5,100%
write,write,48,786432000,2430.48,2325.04,0.41,6740422.03,100%
write,write,48,786432000,2476.38,2373.56,0.4,6615844.07,100%
write,write,45,737280000,2657.8,2484.96,0.38,6164187.71,100%
write,write,50,819200000,2397.64,2276.1,0.42,6833158.17,100%
write,write,53,868352000,2229.38,2066.89,0.45,7348577.42,100%
write,write,44,720896000,2707.73,2600.61,0.37,6050577.03,100%
write,write,54,884736000,2182.44,2010.48,0.46,7506732.62,100%
write,write,50,819200000,2389.58,2261.8,0.42,6855975.96,100%
write,write,52,851968000,2293.19,2171.98,0.44,7144565.48,100%
write,write,51,835584000,2326.08,2215.9,0.43,7043139.63,100%
write,write,53,868352000,2228.47,2123.42,0.45,7351750.41,100%
write,write,49,802816000,2446.96,2336.47,0.41,6695154.7,100%
write,write,50,819200000,2388.32,2278.2,0.42,6859937.36,100%
write,write,46,753664000,2566.59,2440.5,0.39,6383304.54,100%
write,write,47,770048000,2510.23,2385.89,0.4,6526549.54,100%
write,write,53,868352000,2225.49,2102.6,0.45,7361722.69,100%
write,write,54,884736000,2211.96,2095.85,0.45,7406933.62,100%
write,write,51,835584000,2317.84,2208.29,0.43,7068461.17,100%
write,write,49,802816000,2411.18,2294.37,0.41,6794657.82,100%
write,write,54,884736000,2209.93,2042.43,0.45,7413574.66,100%
write,write,49,802816000,2434.8,2325.98,0.41,6728542.09,100%
write,write,52,851968000,2270.15,2166.06,0.44,7216765.21,100%
write,write,54,884736000,2202.61,2096.31,0.45,7438194.12,100%
write,write,53,868352000,2231.47,2119.75,0.45,7341929.27,100%
write,write,49,802816000,2412.27,2301.35,0.41,6791553.87,100%
write,write,51,835584000,2350.16,2211.57,0.43,6971042.42,100%
write,write,52,851968000,2290.23,2188.4,0.44,7153323.65,100%
write,write,44,720896000,2726.05,2613.52,0.37,6009970.82,100%
write,write,50,819200000,2398.26,2284.82,0.42,6831163.85,100%
write,write,49,802816000,2412.59,2300.69,0.41,6790577.29,100%
write,write,50,819200000,2366,2260.6,0.42,6924591.94,100%
write,write,50,819200000,2393.04,2277.38,0.42,6846235.49,100%
write,write,51,835584000,2348.24,2173.31,0.43,6976863.02,100%
write,write,46,753664000,2591.91,2480.89,0.39,6320881.63,100%
write,write,52,851968000,2286.04,2176.35,0.44,7166742.37,100%
write,write,50,819200000,2367.28,2248.74,0.42,6920614,100%
write,write,49,802816000,2409.53,2230.18,0.42,6799376.65,100%
write,write,51,835584000,2320.57,2180.37,0.43,7059980.57,100%
