Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
23:27:31,0,0,N/A,N/A,0,0,N/A,0,0,0
23:27:36,8,524288000,718.25,373.75,1.39,91228119.02,100%,1,1,1
23:27:41,8,524288000,693.5,359.12,1.44,94483330.33,100%,2,2,2
23:27:46,8,524288000,692.25,365.75,1.44,94671000.36,100%,3,3,3
23:27:51,8,524288000,679.25,343,1.47,96482885.54,100%,4,4,4
23:27:56,8,524288000,729.75,363.12,1.37,89806097.98,100%,5,5,5
23:28:01,9,589824000,585.67,264.67,1.71,111878603.95,100%,6,6,6
23:28:06,9,589824000,600.89,283.22,1.66,109004620.22,100%,7,7,7
23:28:11,9,589824000,573.78,257.56,1.74,114218435.32,100%,8,8,8
23:28:16,8,524288000,644.62,273,1.55,101665309.29,100%,9,9,9
23:28:21,9,589824000,622.33,296.78,1.61,105250535.33,100%,10,10,10
23:28:26,7,458752000,765.14,451,1.31,85620007.47,100%,11,11,11
23:28:31,0,0,N/A,N/A,0,0,N/A,12,12,12
23:28:36,9,589824000,616.89,313.56,3.24,212434359.81,100%,13,13,13
23:28:41,9,589824000,635.78,324.89,1.57,103062030.4,100%,14,14,14
23:28:46,8,524288000,684.38,374,1.46,95742878.01,100%,15,15,15
23:28:51,9,589824000,637.78,332.22,1.57,102738895.66,100%,16,16,16
23:28:56,9,589824000,615.11,297.89,1.63,106524110.53,100%,17,17,17
23:29:01,9,589824000,601.22,282.67,1.66,108984478.94,100%,18,18,18
23:29:06,9,589824000,570,235.89,1.75,114863485.88,100%,19,19,19
23:29:11,7,458752000,733.71,415.57,1.36,89268729.32,100%,20,20,20
23:29:16,9,589824000,580.33,255.67,1.72,112906584.99,100%,21,21,21
23:29:21,9,589824000,618.11,286.56,1.62,106026244.83,100%,22,22,22
23:29:26,1,65536000,546,207,1.83,120029304.03,100%,23,23,23
