Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,423,423000,283.25,283.25,3.53,3528.56,100%
write,write,423,423000,283.34,283.34,3.53,3527.53,100%
write,write,408,408000,292.77,292.77,3.41,3413.85,100%
write,write,420,420000,285.52,285.52,3.5,3500.73,100%
write,write,423,423000,283.21,283.21,3.53,3529.26,100%
write,write,420,420000,285.4,285.4,3.5,3501.6,100%
write,write,420,420000,285.35,285.35,3.5,3502.48,100%
write,write,423,423000,283.42,283.42,3.53,3526.68,100%
write,write,423,423000,283.1,283.1,3.53,3530.41,100%
write,write,420,420000,284.39,284.39,3.51,3514.29,100%
write,write,420,420000,285.17,285.17,3.5,3504.73,100%
write,write,430,430000,278.82,278.82,3.58,3584.2,100%
write,write,419,419000,285.71,285.71,3.5,3498.14,100%
write,write,418,418000,286.4,286.4,3.49,3489.5,100%
write,write,414,414000,289.44,289.44,3.45,3453.19,100%
write,write,421,421000,284.59,284.59,3.51,3511.67,100%
write,write,424,424000,282.62,282.62,3.54,3536.31,100%
write,write,421,421000,284.49,284.49,3.51,3513.37,100%
write,write,411,411000,291.76,291.76,3.43,3425.83,100%
write,write,423,423000,283.26,283.26,3.53,3528.03,100%
write,write,423,423000,283.29,283.29,3.53,3527.59,100%
write,write,412,412000,290.66,290.66,3.44,3438.55,100%
write,write,423,423000,283.48,283.48,3.53,3525.73,100%
write,write,415,415000,288.67,288.67,3.46,3462.75,100%
write,write,415,415000,288.87,288.87,3.46,3459.98,100%
write,write,423,423000,283.36,283.36,3.53,3526.85,100%
write,write,413,413000,290.28,290.28,3.44,3443.36,100%
write,write,419,419000,285.88,285.88,3.5,3496.01,100%
write,write,427,427000,280.42,280.42,3.56,3564.13,100%
write,write,415,415000,288.74,288.74,3.46,3461.56,100%
write,write,414,414000,289.3,289.3,3.45,3454.38,100%
write,write,412,412000,290.77,290.77,3.44,3437.23,100%
write,write,417,417000,286.01,286.01,3.49,3493.63,100%
write,write,411,411000,290.11,290.11,3.44,3444.87,100%
write,write,417,417000,287.31,287.31,3.48,3478.59,100%
write,write,418,418000,286.66,286.66,3.49,3486.38,100%
write,write,423,423000,283.22,283.22,3.53,3529.09,100%
write,write,422,422000,283.91,283.91,3.52,3520.42,100%
write,write,417,417000,287.11,287.11,3.48,3481.03,100%
write,write,427,427000,280.88,280.88,3.56,3558.42,100%
write,write,425,425000,282.03,282.03,3.54,3543.29,100%
write,write,413,413000,290.05,290.04,3.45,3445.97,100%
write,write,418,418000,286.61,286.61,3.49,3486.99,100%
write,write,425,425000,281.65,281.65,3.55,3548.7,100%
write,write,414,414000,289.52,289.52,3.45,3452.24,100%
write,write,416,416000,287.93,287.93,3.47,3471.27,100%
write,write,421,421000,284.78,284.78,3.51,3509.74,100%
write,write,420,420000,285.09,285.09,3.51,3506.08,100%
write,write,424,424000,282.7,282.7,3.54,3535.25,100%
write,write,426,426000,281.38,281.38,3.55,3551.45,100%
write,write,418,418000,285.97,285.97,3.49,3494.66,100%
write,write,422,422000,283.85,283.85,3.52,3520.92,100%
write,write,418,418000,286.86,286.86,3.48,3483.94,100%
write,write,423,423000,283.18,283.18,3.53,3529.41,100%
write,write,406,406000,295.39,295.39,3.38,3383.7,100%
write,write,418,418000,285.08,285.07,3.51,3505.77,100%
write,write,414,414000,289.69,289.69,3.45,3450.2,100%
write,write,414,414000,289.59,289.59,3.45,3450.98,100%
write,write,422,422000,284.04,284.04,3.52,3518.78,100%
write,write,422,422000,283.92,283.92,3.52,3520.27,100%
write,write,418,418000,286.88,286.88,3.48,3483.97,100%
write,write,428,428000,279.82,279.81,3.57,3571.91,100%
write,write,423,423000,283.44,283.44,3.53,3526.47,100%
write,write,414,414000,289.21,289.21,3.46,3455.7,100%
