Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:34:34,submitting @ 2015-10-23 22:34:34,authing @ 2015-10-23 22:34:34,launching @ 2015-10-23 22:34:34,running @ 2015-10-23 22:34:34,closing @ 2015-10-23 22:34:59,completed @ 2015-10-23 22:34:59
s2-prepare,prepare-write,prepare,3000,192000000,38.69,37.82,40,50,60,70,110,420,25.73,1646739.97,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:35:02,submitting @ 2015-10-23 22:35:02,authing @ 2015-10-23 22:35:02,launching @ 2015-10-23 22:35:02,running @ 2015-10-23 22:35:02,closing @ 2015-10-23 22:37:02,completed @ 2015-10-23 22:37:02
s3-1k-1t,write,write,2774,2774000,43.1,43.1,50,60,60,70,120,1170,23.12,23117.82,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:37:05,submitting @ 2015-10-23 22:37:05,authing @ 2015-10-23 22:37:05,launching @ 2015-10-23 22:37:05,running @ 2015-10-23 22:37:05,closing @ 2015-10-23 22:39:05,completed @ 2015-10-23 22:39:05
s4-1k-4t,write,write,9637,9637000,49.62,49.62,50,60,70,80,150,1220,80.33,80333.41,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:39:08,submitting @ 2015-10-23 22:39:08,authing @ 2015-10-23 22:39:08,launching @ 2015-10-23 22:39:08,running @ 2015-10-23 22:39:08,closing @ 2015-10-23 22:41:08,completed @ 2015-10-23 22:41:08
s5-1k-16t,write,write,23759,23759000,80.62,80.62,80,90,100,120,190,1630,198.07,198069.43,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:41:10,submitting @ 2015-10-23 22:41:11,authing @ 2015-10-23 22:41:11,launching @ 2015-10-23 22:41:11,running @ 2015-10-23 22:41:11,closing @ 2015-10-23 22:43:16,completed @ 2015-10-23 22:43:16
s6-1k-32t,write,write,27572,27572000,139.04,139.04,150,160,180,190,240,1830,229.89,229890.95,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:43:18,submitting @ 2015-10-23 22:43:18,authing @ 2015-10-23 22:43:19,launching @ 2015-10-23 22:43:19,running @ 2015-10-23 22:43:19,closing @ 2015-10-23 22:45:19,completed @ 2015-10-23 22:45:19
s7-1k-64t,write,write,26829,26829000,285.74,285.74,290,320,350,380,570,2590,223.86,223858.59,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:45:21,submitting @ 2015-10-23 22:45:22,authing @ 2015-10-23 22:45:22,launching @ 2015-10-23 22:45:22,running @ 2015-10-23 22:45:22,closing @ 2015-10-23 22:47:27,completed @ 2015-10-23 22:47:27
s8-1k-128t,write,write,24929,24929000,614.55,614.55,620,660,700,770,1380,5210,208.23,208228.28,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:47:30,submitting @ 2015-10-23 22:47:30,authing @ 2015-10-23 22:47:30,launching @ 2015-10-23 22:47:30,running @ 2015-10-23 22:47:30,closing @ 2015-10-23 22:49:35,completed @ 2015-10-23 22:49:36
s9-64k-1t,write,write,1995,127680000,59.97,59.11,70,70,70,80,80,340,16.63,1064212.84,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:49:38,submitting @ 2015-10-23 22:49:38,authing @ 2015-10-23 22:49:38,launching @ 2015-10-23 22:49:38,running @ 2015-10-23 22:49:38,closing @ 2015-10-23 22:51:38,completed @ 2015-10-23 22:51:38
s10-64k-4t,write,write,7889,504896000,60.65,59.8,70,70,70,80,80,670,65.76,4208737.67,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:51:41,submitting @ 2015-10-23 22:51:41,authing @ 2015-10-23 22:51:41,launching @ 2015-10-23 22:51:41,running @ 2015-10-23 22:51:41,closing @ 2015-10-23 22:53:41,completed @ 2015-10-23 22:53:41
s11-64k-16t,write,write,18511,1184704000,103.5,102.62,110,120,130,140,160,430,154.34,9877613.2,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:53:44,submitting @ 2015-10-23 22:53:44,authing @ 2015-10-23 22:53:44,launching @ 2015-10-23 22:53:44,running @ 2015-10-23 22:53:44,closing @ 2015-10-23 22:55:44,completed @ 2015-10-23 22:55:44
s12-64k-32t,write,write,21499,1375936000,178.24,177.36,190,210,230,260,310,900,179.36,11478763.13,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:55:47,submitting @ 2015-10-23 22:55:47,authing @ 2015-10-23 22:55:47,launching @ 2015-10-23 22:55:47,running @ 2015-10-23 22:55:47,closing @ 2015-10-23 22:57:47,completed @ 2015-10-23 22:57:47
s13-64k-64t,write,write,22193,1420352000,343.22,342.33,310,360,400,480,2440,12660,186.42,11930749.89,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:57:50,submitting @ 2015-10-23 22:57:50,authing @ 2015-10-23 22:57:50,launching @ 2015-10-23 22:57:50,running @ 2015-10-23 22:57:50,closing @ 2015-10-23 22:59:56,completed @ 2015-10-23 22:59:56
s14-64k-128t,write,write,21899,1401536000,690.84,689.95,400,620,730,2740,7310,19690,185.26,11856881.84,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 22:59:58,submitting @ 2015-10-23 22:59:58,authing @ 2015-10-23 22:59:58,launching @ 2015-10-23 22:59:58,running @ 2015-10-23 22:59:59,closing @ 2015-10-23 23:02:04,completed @ 2015-10-23 23:02:04
s15-1m-1t,write,write,1305,1336320000,91.79,82.42,100,100,110,110,130,280,10.88,11140549.06,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:02:06,submitting @ 2015-10-23 23:02:06,authing @ 2015-10-23 23:02:06,launching @ 2015-10-23 23:02:06,running @ 2015-10-23 23:02:07,closing @ 2015-10-23 23:04:07,completed @ 2015-10-23 23:04:07
s16-1m-4t,write,write,5137,5260288000,93.26,83.89,100,100,110,110,130,1180,42.82,43848233.53,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:04:09,submitting @ 2015-10-23 23:04:09,authing @ 2015-10-23 23:04:09,launching @ 2015-10-23 23:04:09,running @ 2015-10-23 23:04:10,closing @ 2015-10-23 23:06:10,completed @ 2015-10-23 23:06:10
s17-1m-16t,write,write,11886,12171264000,161.05,151.97,160,170,180,200,700,2950,99.27,101653445.1,100%,completed,waiting @ 2015-10-23 22:34:34,booting @ 2015-10-23 23:06:12,submitting @ 2015-10-23 23:06:12,authing @ 2015-10-23 23:06:12,launching @ 2015-10-23 23:06:12,running @ 2015-10-23 23:06:13,closing @ 2015-10-23 23:08:13,completed @ 2015-10-23 23:08:13
