Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
init,write,0,0,N/A,N/A,0,0,N/A
prepare,write,3000,192000000,60.2,59.33,16.56,1059795.66,100%
write,write,1353,1353000,88.44,88.44,11.28,11283.46,100%
write,write,5169,5169000,92.64,92.64,43.09,43088.69,100%
write,write,15423,15423000,124.24,124.24,128.6,128598.05,100%
write,write,19535,19535000,196.24,196.24,162.92,162917.17,100%
write,write,21060,21060000,363.94,363.94,175.78,175776.98,100%
write,write,21421,21421000,714.77,714.77,179.04,179035.68,100%
write,write,1749,111936000,68.41,67.56,14.58,933235.51,100%
write,write,7006,448384000,68.32,67.45,58.4,3737648.5,100%
write,write,16985,1087040000,112.8,111.93,141.61,9063222.19,100%
write,write,19606,1254784000,195.54,194.76,163.51,10464605.96,100%
write,write,20879,1336256000,366.22,365.46,174.67,11179100.48,100%
write,write,21313,1364032000,718.34,717.59,178.15,11401398.74,100%
write,write,1125,1152000000,106.5,97.19,9.38,9602000.42,100%
write,write,4549,4658176000,105.31,95.93,37.93,38841428.49,100%
write,write,12508,12808192000,153.27,144.73,104.3,106805974.49,100%
write,write,14663,15014912000,261.56,252.89,122.28,125218663.6,100%
write,write,16652,17051648000,460.39,451.48,138.97,142304020.5,100%
write,write,17353,17769472000,877.14,867.97,145.9,149404854.85,100%
write,write,519,8503296000,230.86,145.66,4.33,70921082.92,100%
write,write,1181,19349504000,405.87,305.33,9.85,161417509.48,100%
write,write,2448,40108032000,780.34,667.79,20.5,335894088.61,100%
write,write,3076,50397184000,1241.88,1123.33,25.76,422133022.47,100%
write,write,3445,56442880000,2201.02,2065.28,29.08,476415016.09,100%
write,write,3883,63619072000,3885.67,3732.33,32.94,539740847.27,100%
write,write,198,12976128000,605.7,292.66,1.65,108171358.55,100%
write,write,369,24182784000,1293.52,609.47,3.09,202635047.12,100%
write,write,729,47775744000,2602.88,1349.36,6.15,402808576.8,100%
write,write,877,57475072000,4292.63,2104.77,7.45,488514936.5,100%
write,write,943,61800448000,7805.46,4019.99,8.2,537225635.91,100%
write,write,980,64225280000,14607.33,7015.51,8.76,574357715.18,100%
