Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,333,21312000,359.33,358.51,2.78,178019.83,100%
write,write,328,20992000,364.71,363.95,2.74,175404,100%
write,write,328,20992000,365.38,364.64,2.74,175079.23,100%
write,write,314,20096000,381.11,380.38,2.62,167865.35,100%
write,write,323,20672000,371.28,370.57,2.69,172286.77,100%
write,write,338,21632000,354.49,353.74,2.82,180478.73,100%
write,write,329,21056000,363.35,362.58,2.75,176053.51,100%
write,write,333,21312000,359.91,359.16,2.78,177748.12,100%
write,write,321,20544000,373.19,372.4,2.68,171414.27,100%
write,write,328,20992000,365.47,364.76,2.73,175025.22,100%
write,write,335,21440000,357.35,356.57,2.8,179005.28,100%
write,write,320,20480000,373.83,373.02,2.67,171135.86,100%
write,write,337,21568000,355.64,354.9,2.81,179878.74,100%
write,write,329,21056000,364.44,363.67,2.74,175541.27,100%
write,write,331,21184000,361.14,360.36,2.77,177137.08,100%
write,write,324,20736000,369.95,369.22,2.7,172916.72,100%
write,write,337,21568000,355.18,354.42,2.81,180098.03,100%
write,write,310,19840000,377.38,376.62,2.65,169510.35,100%
write,write,323,20672000,371.29,370.51,2.69,172293.95,100%
write,write,330,21120000,362.98,362.22,2.75,176220.28,100%
write,write,298,19072000,393.81,393.02,2.54,162440.7,100%
write,write,323,20672000,370.99,370.23,2.69,172433.35,100%
write,write,314,20096000,381.37,380.66,2.62,167754.65,100%
write,write,333,21312000,359.71,358.95,2.78,177846.02,100%
write,write,331,21184000,357.12,356.31,2.8,179121.64,100%
write,write,341,21824000,351.43,350.68,2.84,182039.6,100%
write,write,314,20096000,381.23,380.46,2.62,167812.08,100%
write,write,331,21184000,361.44,360.69,2.77,176995,100%
write,write,321,20544000,373.57,372.79,2.68,171232.82,100%
write,write,322,20608000,371.79,371.02,2.69,172073.18,100%
write,write,315,20160000,379.61,378.84,2.63,168509.74,100%
write,write,316,20224000,373.14,372.39,2.68,171452.31,100%
write,write,304,19456000,381.09,380.34,2.62,167861.61,100%
write,write,339,21696000,353.33,352.6,2.83,181044.41,100%
write,write,327,20928000,366.68,365.91,2.73,174459.61,100%
write,write,332,21248000,360.92,360.17,2.77,177246.87,100%
write,write,330,21120000,363.19,362.43,2.75,176151.2,100%
write,write,325,20800000,368.32,367.58,2.71,173685.05,100%
write,write,337,21568000,355.68,354.91,2.81,179863.73,100%
write,write,321,20544000,373.47,372.72,2.68,171295.64,100%
write,write,321,20544000,369.7,368.94,2.7,173045.82,100%
write,write,326,20864000,366.93,366.17,2.72,174333.01,100%
write,write,317,20288000,377.32,376.58,2.65,169547.05,100%
write,write,319,20416000,375.28,374.51,2.66,170471.44,100%
write,write,317,20288000,377.38,376.66,2.65,169514.47,100%
write,write,337,21568000,355.29,354.45,2.81,180046.92,100%
write,write,336,21504000,355.99,355.24,2.81,179683.65,100%
write,write,333,21312000,359.6,358.87,2.78,177900.95,100%
write,write,315,20160000,379.97,379.22,2.63,168364.79,100%
write,write,329,21056000,363.82,363.05,2.75,175832.99,100%
write,write,327,20928000,366.28,365.57,2.73,174638.67,100%
write,write,321,20544000,373.18,372.4,2.68,171418.56,100%
write,write,345,22080000,346.75,346.05,2.88,184488.9,100%
write,write,329,21056000,364.02,363.26,2.75,175737.6,100%
write,write,331,21184000,362.29,361.53,2.76,176573.06,100%
write,write,325,20800000,363.86,363.15,2.75,175803.37,100%
write,write,326,20864000,366.97,366.23,2.72,174340.29,100%
write,write,330,21120000,359.56,358.85,2.78,177924.55,100%
write,write,329,21056000,363.93,363.2,2.75,175786.01,100%
write,write,327,20928000,366.02,365.3,2.73,174787.45,100%
write,write,338,21632000,354.5,353.73,2.82,180450.12,100%
write,write,322,20608000,372.41,371.6,2.68,171777.71,100%
write,write,322,20608000,365.44,364.7,2.74,175047.57,100%
write,write,332,21248000,361.13,360.36,2.77,177153.77,100%
