Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
write,write,781,799744000,153.47,144.93,6.51,6666366.58,100%
write,write,782,800768000,153.24,144.79,6.52,6677072.91,100%
write,write,788,806912000,151.96,143.33,6.57,6732176.97,100%
write,write,783,801792000,153.04,144.56,6.53,6685611.37,100%
write,write,787,805888000,152.28,143.8,6.56,6720213.48,100%
write,write,780,798720000,153.55,144.99,6.51,6663941.2,100%
write,write,796,815104000,150.62,142.08,6.63,6792589.94,100%
write,write,780,798720000,153.43,144.85,6.51,6668670.47,100%
write,write,772,790528000,155.27,146.61,6.43,6589051.14,100%
write,write,774,792576000,154.76,146.21,6.46,6610915.1,100%
write,write,786,804864000,152.55,144.08,6.55,6707423.58,100%
write,write,769,787456000,155.78,147.33,6.41,6567935.01,100%
write,write,792,811008000,151.29,142.82,6.6,6762626.64,100%
write,write,790,808960000,151.73,143.23,6.59,6743412.55,100%
write,write,763,781312000,157,148.28,6.36,6517178.96,100%
write,write,785,803840000,152.68,144.09,6.54,6700788.58,100%
