Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,prepare-write,Min-Version,Version,Max-Version
20:25:08,85,5440000,59.12,58.19,16.86,1078722.98,100%,0,0,0
20:25:13,85,5440000,58.72,57.81,16.98,1086695.96,100%,1,1,1
20:25:18,85,5440000,59.36,58.47,16.8,1075311.33,100%,2,2,2
20:25:23,85,5440000,59.33,58.47,16.81,1075949.37,100%,3,3,3
20:25:28,0,0,N/A,N/A,0,0,N/A,4,4,4
20:25:33,86,5504000,58.57,57.71,34.01,2176354.29,100%,5,5,5
20:25:38,87,5568000,57.85,56.92,17.22,1101919.65,100%,6,6,6
20:25:43,86,5504000,58.38,57.58,17.05,1091413.84,100%,7,7,7
20:25:48,84,5376000,59.52,58.65,16.76,1072625.7,100%,8,8,8
20:25:53,84,5376000,59.5,58.62,16.73,1070916.33,100%,9,9,9
20:25:58,84,5376000,59.87,58.87,16.66,1066032.12,100%,10,10,10
20:26:03,83,5312000,60.1,59.24,16.57,1060702.88,100%,11,11,11
20:26:08,84,5376000,59.57,58.69,16.74,1071129.71,100%,12,12,12
20:26:13,83,5312000,60.6,59.76,16.46,1053132.43,100%,13,13,13
20:26:18,81,5184000,61.68,60.8,16.15,1033905.07,100%,14,14,14
20:26:23,82,5248000,60.8,59.93,16.4,1049600,100%,15,15,15
20:26:28,84,5376000,59.77,58.89,16.67,1066878.35,100%,16,16,16
20:26:33,83,5312000,60.52,59.67,16.48,1054595.99,100%,17,17,17
20:26:38,84,5376000,59.46,58.64,16.76,1072839.75,100%,18,18,18
20:26:43,81,5184000,62.14,61.3,16.04,1026737.97,100%,19,19,19
20:26:48,83,5312000,60.53,59.58,16.48,1054595.99,100%,20,20,20
20:26:53,80,5120000,62.29,61.49,16,1024000,100%,21,21,21
20:26:58,83,5312000,60.35,59.49,16.53,1058167.33,100%,22,22,22
20:27:03,83,5312000,60.69,59.86,16.42,1051048.67,100%,23,23,23
20:27:08,84,5376000,59.56,58.68,16.74,1071556.71,100%,24,24,24
20:27:13,84,5376000,59.45,58.69,16.77,1073268.12,100%,25,25,25
20:27:18,83,5312000,60.05,59.28,16.59,1061975.21,100%,26,26,26
20:27:23,82,5248000,61.11,60.24,16.31,1043754.97,100%,27,27,27
20:27:28,82,5248000,60.99,60.16,16.37,1047504.99,100%,28,28,28
20:27:33,84,5376000,59.63,58.83,16.69,1067938.02,100%,29,29,29
20:27:38,83,5312000,60.08,59.3,16.59,1061975.21,100%,30,30,30
20:27:43,82,5248000,61.15,60.23,16.31,1043754.97,100%,31,31,31
20:27:48,82,5248000,61.55,60.71,16.2,1036539.6,100%,32,32,32
20:27:53,80,5120000,62.58,61.69,15.94,1020326.82,100%,33,33,33
20:27:58,82,5248000,61.63,60.72,16.18,1035516.97,100%,34,34,34
20:28:03,83,5312000,60.37,59.52,16.5,1056273.61,100%,35,35,35
20:28:08,2,128000,63,62,15.75,1007874.02,100%,36,36,36
