Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
21:03:32,104,106496000,832.84,823.47,20.41,20898544.91,100%,0,0,0
21:03:37,748,765952000,837.31,828.08,133.73,136934859.04,100%,1,1,1
21:03:42,785,803840000,877.78,868.74,162.5,166399981.82,100%,2,2,2
21:03:47,835,855040000,843.36,834.09,153.05,156718494.28,100%,3,3,3
21:03:52,762,780288000,920.07,911.25,139.23,142571701.62,100%,4,4,4
21:03:57,805,824320000,866.68,857.69,147.68,151229133.1,100%,5,5,5
21:04:02,738,755712000,946.95,937.57,134.28,137506255.87,100%,6,6,6
21:04:07,833,852992000,835.84,826.78,154.42,158122962.44,100%,7,7,7
21:04:12,784,802816000,848.59,839.1,142.86,146284989.63,100%,8,8,8
21:04:17,659,674816000,862.64,853.28,127.32,130374750.72,100%,9,9,9
21:04:22,658,673792000,864.09,854.72,141.82,145221660.44,100%,10,10,10
21:04:27,580,593920000,974.96,965.78,130.09,133211827.03,100%,11,11,11
21:04:32,699,715776000,929.51,920.03,158.51,162315279.13,100%,12,12,12
21:04:37,792,811008000,864.82,855.75,159.2,163019187.83,100%,13,13,13
21:04:42,771,789504000,873.47,864.5,144.28,147743517.19,100%,14,14,14
21:04:47,718,735232000,875.01,865.91,138.1,141413683.07,100%,15,15,15
21:04:52,776,794624000,833.11,824.01,157.72,161501506.43,100%,16,16,16
21:04:57,688,704512000,917.73,908.83,135.74,138992876.2,100%,17,17,17
21:05:02,725,742400000,926.99,917.64,145.75,149245001.03,100%,18,18,18
21:05:07,737,754688000,851.28,842.24,140.66,144039089.67,100%,19,19,19
21:05:12,720,737280000,889.37,880.51,148.35,151914889.2,100%,20,20,20
21:05:17,720,737280000,852.06,842.66,143.99,147441911.39,100%,21,21,21
21:05:22,757,775168000,854.1,844.96,154.01,157706475.87,100%,22,22,22
21:05:27,511,523264000,935.32,926.12,118.12,120957459.79,100%,23,23,23
21:05:32,146,149504000,1164.66,1155.54,49.49,50682630.81,100%,24,24,24
