Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
20:34:24,727,727000,202.8,202.8,142.88,142883.6,100%,0,0,0
20:34:29,495,495000,195.5,195.5,97.1,97104.21,100%,1,1,1
20:34:34,542,542000,198.98,198.98,171.98,171977.23,100%,2,2,2
20:34:39,749,749000,198.2,198.2,201.38,201375.91,100%,3,3,3
20:34:44,774,774000,198.29,198.29,166.41,166409.85,100%,4,4,4
20:34:49,841,841000,194.13,194.13,175.59,175586.06,100%,5,5,5
20:34:54,839,839000,194.37,194.37,164.5,164503.96,100%,6,6,6
20:34:59,814,814000,200.82,200.82,159.24,159236.73,100%,7,7,7
20:35:04,822,822000,198.94,198.94,160.75,160747.93,100%,8,8,8
20:35:09,834,834000,195.55,195.55,163.63,163627.23,100%,9,9,9
20:35:14,844,844000,193.59,193.59,165.13,165127.99,100%,10,10,10
20:35:19,829,829000,197.22,197.22,162.13,162130.11,100%,11,11,11
20:35:24,837,837000,196.15,196.15,163.18,163180.66,100%,12,12,12
20:35:29,819,819000,198.78,198.78,160.9,160900.83,100%,13,13,13
20:35:34,847,847000,192.74,192.74,165.96,165964.64,100%,14,14,14
20:35:39,830,830000,198.66,198.66,161.13,161132.83,100%,15,15,15
20:35:44,853,853000,191.62,191.62,166.87,166867.55,100%,16,16,16
20:35:49,853,853000,192.71,192.71,166.06,166061.9,100%,17,17,17
20:35:54,826,826000,197.67,197.67,161.74,161738.77,100%,18,18,18
20:35:59,829,829000,196.59,196.59,162.63,162633.93,100%,19,19,19
20:36:04,832,832000,196.54,196.53,162.77,162769.64,100%,20,20,20
20:36:09,828,828000,197.15,197.15,162.27,162269.91,100%,21,21,21
20:36:14,851,851000,192.02,192.02,166.53,166531.28,100%,22,22,22
20:36:19,417,417000,192.5,192.5,166.23,166227.12,100%,23,23,23
