Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:24:32,submitting @ 2015-10-26 20:24:32,authing @ 2015-10-26 20:24:32,launching @ 2015-10-26 20:24:32,running @ 2015-10-26 20:24:32,closing @ 2015-10-26 20:24:57,completed @ 2015-10-26 20:24:57
s2-prepare,prepare-write,prepare,3000,192000000,60.2,59.33,70,70,70,80,80,90,16.56,1059795.66,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:25:00,submitting @ 2015-10-26 20:25:00,authing @ 2015-10-26 20:25:00,launching @ 2015-10-26 20:25:00,running @ 2015-10-26 20:25:00,closing @ 2015-10-26 20:28:05,completed @ 2015-10-26 20:28:05
s3-1k-1t,write,write,1353,1353000,88.44,88.44,90,100,110,120,180,330,11.28,11283.46,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:28:08,submitting @ 2015-10-26 20:28:08,authing @ 2015-10-26 20:28:08,launching @ 2015-10-26 20:28:08,running @ 2015-10-26 20:28:08,closing @ 2015-10-26 20:30:08,completed @ 2015-10-26 20:30:08
s4-1k-4t,write,write,5169,5169000,92.64,92.64,90,110,120,150,270,1550,43.09,43088.69,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:30:10,submitting @ 2015-10-26 20:30:10,authing @ 2015-10-26 20:30:10,launching @ 2015-10-26 20:30:11,running @ 2015-10-26 20:30:11,closing @ 2015-10-26 20:32:11,completed @ 2015-10-26 20:32:11
s5-1k-16t,write,write,15423,15423000,124.24,124.24,120,140,170,210,510,3060,128.6,128598.05,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:32:13,submitting @ 2015-10-26 20:32:13,authing @ 2015-10-26 20:32:13,launching @ 2015-10-26 20:32:14,running @ 2015-10-26 20:32:14,closing @ 2015-10-26 20:34:14,completed @ 2015-10-26 20:34:14
s6-1k-32t,write,write,19535,19535000,196.24,196.24,200,230,260,300,460,1730,162.92,162917.17,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:34:16,submitting @ 2015-10-26 20:34:16,authing @ 2015-10-26 20:34:16,launching @ 2015-10-26 20:34:17,running @ 2015-10-26 20:34:17,closing @ 2015-10-26 20:36:17,completed @ 2015-10-26 20:36:17
s7-1k-64t,write,write,21060,21060000,363.94,363.94,380,420,460,500,670,2310,175.78,175776.98,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:36:19,submitting @ 2015-10-26 20:36:19,authing @ 2015-10-26 20:36:20,launching @ 2015-10-26 20:36:20,running @ 2015-10-26 20:36:20,closing @ 2015-10-26 20:38:25,completed @ 2015-10-26 20:38:25
s8-1k-128t,write,write,21421,21421000,714.77,714.77,710,770,820,890,1590,9410,179.04,179035.68,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:38:27,submitting @ 2015-10-26 20:38:27,authing @ 2015-10-26 20:38:28,launching @ 2015-10-26 20:38:28,running @ 2015-10-26 20:38:28,closing @ 2015-10-26 20:40:33,completed @ 2015-10-26 20:40:33
s9-64k-1t,write,write,1749,111936000,68.41,67.56,70,80,80,90,110,340,14.58,933235.51,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:40:36,submitting @ 2015-10-26 20:40:36,authing @ 2015-10-26 20:40:36,launching @ 2015-10-26 20:40:36,running @ 2015-10-26 20:40:36,closing @ 2015-10-26 20:42:36,completed @ 2015-10-26 20:42:36
s10-64k-4t,write,write,7006,448384000,68.32,67.45,70,80,80,90,110,1160,58.4,3737648.5,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:42:39,submitting @ 2015-10-26 20:42:39,authing @ 2015-10-26 20:42:39,launching @ 2015-10-26 20:42:39,running @ 2015-10-26 20:42:39,closing @ 2015-10-26 20:44:39,completed @ 2015-10-26 20:44:39
s11-64k-16t,write,write,16985,1087040000,112.8,111.93,120,130,140,150,180,1070,141.61,9063222.19,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:44:42,submitting @ 2015-10-26 20:44:42,authing @ 2015-10-26 20:44:42,launching @ 2015-10-26 20:44:42,running @ 2015-10-26 20:44:42,closing @ 2015-10-26 20:46:42,completed @ 2015-10-26 20:46:42
s12-64k-32t,write,write,19606,1254784000,195.54,194.76,210,230,260,280,340,1610,163.51,10464605.96,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:46:45,submitting @ 2015-10-26 20:46:45,authing @ 2015-10-26 20:46:45,launching @ 2015-10-26 20:46:45,running @ 2015-10-26 20:46:45,closing @ 2015-10-26 20:48:45,completed @ 2015-10-26 20:48:45
s13-64k-64t,write,write,20879,1336256000,366.22,365.46,370,420,460,500,810,5160,174.67,11179100.48,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:48:48,submitting @ 2015-10-26 20:48:48,authing @ 2015-10-26 20:48:48,launching @ 2015-10-26 20:48:48,running @ 2015-10-26 20:48:48,closing @ 2015-10-26 20:50:53,completed @ 2015-10-26 20:50:53
s14-64k-128t,write,write,21313,1364032000,718.34,717.59,710,760,810,890,2000,8710,178.15,11401398.74,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:50:56,submitting @ 2015-10-26 20:50:56,authing @ 2015-10-26 20:50:56,launching @ 2015-10-26 20:50:56,running @ 2015-10-26 20:50:56,closing @ 2015-10-26 20:53:01,completed @ 2015-10-26 20:53:02
s15-1m-1t,write,write,1125,1152000000,106.5,97.19,110,120,130,140,180,560,9.38,9602000.42,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:53:04,submitting @ 2015-10-26 20:53:04,authing @ 2015-10-26 20:53:04,launching @ 2015-10-26 20:53:04,running @ 2015-10-26 20:53:04,closing @ 2015-10-26 20:55:04,completed @ 2015-10-26 20:55:04
s16-1m-4t,write,write,4549,4658176000,105.31,95.93,110,120,130,140,190,780,37.93,38841428.49,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:55:07,submitting @ 2015-10-26 20:55:07,authing @ 2015-10-26 20:55:07,launching @ 2015-10-26 20:55:07,running @ 2015-10-26 20:55:07,closing @ 2015-10-26 20:57:07,completed @ 2015-10-26 20:57:07
s17-1m-16t,write,write,12508,12808192000,153.27,144.73,160,170,190,210,330,2040,104.3,106805974.49,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:57:10,submitting @ 2015-10-26 20:57:10,authing @ 2015-10-26 20:57:10,launching @ 2015-10-26 20:57:10,running @ 2015-10-26 20:57:10,closing @ 2015-10-26 20:59:10,completed @ 2015-10-26 20:59:10
s18-1m-32t,write,write,14663,15014912000,261.56,252.89,260,290,330,390,910,2650,122.28,125218663.6,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 20:59:13,submitting @ 2015-10-26 20:59:13,authing @ 2015-10-26 20:59:13,launching @ 2015-10-26 20:59:13,running @ 2015-10-26 20:59:13,closing @ 2015-10-26 21:01:13,completed @ 2015-10-26 21:01:13
s19-1m-64t,write,write,16652,17051648000,460.39,451.48,460,530,600,710,1270,3350,138.97,142304020.5,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:01:16,submitting @ 2015-10-26 21:01:16,authing @ 2015-10-26 21:01:16,launching @ 2015-10-26 21:01:16,running @ 2015-10-26 21:01:16,closing @ 2015-10-26 21:03:21,completed @ 2015-10-26 21:03:21
s20-1m-128t,write,write,17353,17769472000,877.14,867.97,890,980,1080,1290,2030,8780,145.9,149404854.85,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:03:24,submitting @ 2015-10-26 21:03:24,authing @ 2015-10-26 21:03:24,launching @ 2015-10-26 21:03:24,running @ 2015-10-26 21:03:25,closing @ 2015-10-26 21:05:30,completed @ 2015-10-26 21:05:30
s21-16m-1t,write,write,519,8503296000,230.86,145.66,240,250,260,280,330,820,4.33,70921082.92,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:05:32,submitting @ 2015-10-26 21:05:32,authing @ 2015-10-26 21:05:32,launching @ 2015-10-26 21:05:32,running @ 2015-10-26 21:05:32,closing @ 2015-10-26 21:07:33,completed @ 2015-10-26 21:07:33
s22-16m-4t,write,write,1181,19349504000,405.87,305.33,390,490,630,740,980,1240,9.85,161417509.48,100%,completed,waiting @ 2015-10-26 20:24:32,booting @ 2015-10-26 21:07:35,submitting @ 2015-10-26 21:07:35,authing @ 2015-10-26 21:07:35,launching @ 2015-10-26 21:07:35,running @ 2015-10-26 21:07:35,closing @ 2015-10-26 21:09:36,completed @ 2015-10-26 21:09:36
