Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,cleanup-delete,Min-Version,Version,Max-Version
12:32:42,267,0,18.76,18.76,53.27,0,100%,0,0,0
12:32:47,270,0,18.56,18.56,53.84,0,100%,1,1,1
12:32:52,269,0,18.64,18.64,53.61,0,100%,2,2,2
12:32:57,246,0,20.34,20.34,49.09,0,100%,3,3,3
12:33:02,296,0,16.92,16.92,59.05,0,100%,4,4,4
12:33:07,283,0,17.67,17.67,56.54,0,100%,5,5,5
12:33:12,248,0,20.19,20.19,49.5,0,100%,6,6,6
12:33:17,260,0,19.26,19.26,51.88,0,100%,7,7,7
12:33:22,263,0,19.05,19.05,52.48,0,100%,8,8,8
12:33:27,239,0,20.94,20.94,47.74,0,100%,9,9,9
12:33:32,264,0,18.94,18.94,52.76,0,100%,10,10,10
12:33:37,295,0,16.97,16.97,58.91,0,100%,11,11,11
12:33:42,267,0,18.91,18.91,52.82,0,100%,12,12,12
12:33:47,249,0,20.07,20.07,49.78,0,100%,13,13,13
12:33:52,259,0,19.29,19.29,51.8,0,100%,14,14,14
12:33:57,263,0,19.09,19.09,52.33,0,100%,15,15,15
12:34:02,276,0,18.16,18.16,55.03,0,100%,16,16,16
12:34:07,0,0,N/A,N/A,0,0,N/A,17,17,17
12:34:12,210,0,18.98,18.98,105.37,0,100%,18,18,18
