================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: M0E1EF1BEB4, driver: driver1 ----------------------------------
2015-11-07 12:32:35,005 [INFO] [Log4jLogManager] - will append log to file /home/ubuntu/cos/log/mission/M0E1EF1BEB4.log
2015-11-07 12:32:35,013 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/1myobject
2015-11-07 12:32:35,061 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/2myobject
2015-11-07 12:32:35,080 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/3myobject
2015-11-07 12:32:35,113 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/4myobject
2015-11-07 12:32:35,127 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/5myobject
2015-11-07 12:32:35,147 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/6myobject
2015-11-07 12:32:35,168 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/7myobject
2015-11-07 12:32:35,189 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/8myobject
2015-11-07 12:32:35,204 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/9myobject
2015-11-07 12:32:35,234 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/10myobject
2015-11-07 12:32:35,259 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/11myobject
2015-11-07 12:32:35,282 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/12myobject
2015-11-07 12:32:35,299 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/13myobject
2015-11-07 12:32:35,315 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/14myobject
2015-11-07 12:32:35,332 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/15myobject
2015-11-07 12:32:35,348 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/16myobject
2015-11-07 12:32:35,366 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/17myobject
2015-11-07 12:32:35,392 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/18myobject
2015-11-07 12:32:35,408 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/19myobject
2015-11-07 12:32:35,432 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/20myobject
2015-11-07 12:32:35,448 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/21myobject
2015-11-07 12:32:35,464 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/22myobject
2015-11-07 12:32:35,483 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/23myobject
2015-11-07 12:32:35,497 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/24myobject
2015-11-07 12:32:35,508 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/25myobject
2015-11-07 12:32:35,526 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/26myobject
2015-11-07 12:32:35,538 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/27myobject
2015-11-07 12:32:35,551 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/28myobject
2015-11-07 12:32:35,571 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/29myobject
2015-11-07 12:32:35,589 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/30myobject
2015-11-07 12:32:35,606 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/31myobject
2015-11-07 12:32:35,621 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/32myobject
2015-11-07 12:32:35,638 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/33myobject
2015-11-07 12:32:35,652 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/34myobject
2015-11-07 12:32:35,669 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/35myobject
