Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
12:50:18,101,6464000,49.63,49.06,20.1,1286112.22,100%,0,0,0
12:50:23,105,6720000,47.54,47.12,20.98,1342657.34,100%,1,1,1
12:50:28,113,7232000,44.21,43.89,22.57,1444666.4,100%,2,2,2
12:50:33,108,6912000,46.84,46.51,21.31,1364120.78,100%,3,3,3
12:50:38,111,7104000,45.11,44.77,22.13,1416550.35,100%,4,4,4
12:50:43,113,7232000,44.19,43.88,22.6,1446110.78,100%,5,5,5
12:50:48,112,7168000,44.68,44.24,22.32,1428457.55,100%,6,6,6
12:50:53,106,6784000,47.5,47.07,21.02,1344964.31,100%,7,7,7
12:50:58,113,7232000,44.41,44.07,22.46,1437487.58,100%,8,8,8
12:51:03,105,6720000,47.59,47.19,21,1343731.25,100%,9,9,9
12:51:08,0,0,N/A,N/A,0,0,N/A,10,10,10
12:51:13,106,6784000,47.31,46.85,42.21,2701712.47,100%,11,11,11
12:51:18,117,7488000,42.79,42.34,23.3,1491039.43,100%,12,12,12
12:51:23,112,7168000,44.81,44.46,22.25,1423917.36,100%,13,13,13
12:51:28,115,7360000,43.46,43.09,22.95,1468768.71,100%,14,14,14
12:51:33,105,6720000,47.67,47.19,20.93,1339712.92,100%,15,15,15
12:51:38,119,7616000,42.02,41.59,23.77,1521070.5,100%,16,16,16
12:51:43,106,6784000,47.63,47.23,20.94,1340446.55,100%,17,17,17
12:51:48,100,6400000,49.88,49.44,20,1279744.05,100%,18,18,18
12:51:53,108,6912000,46.28,45.81,21.55,1379365.4,100%,19,19,19
12:51:58,72,4608000,69.67,69.31,14.33,917014.93,100%,20,20,20
12:52:03,100,6400000,50.2,49.84,19.9,1273631.84,100%,21,21,21
12:52:08,103,6592000,48.59,48.18,20.56,1316031.14,100%,22,22,22
12:52:13,100,6400000,44.67,44.24,22.34,1429848.08,100%,23,23,23
