Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
12:52:18,51,52224000,99.47,87.08,10.04,10284363.92,100%,0,0,0
12:52:23,56,57344000,90.55,84.45,11.03,11297084.32,100%,1,1,1
12:52:28,54,55296000,92.54,87.37,10.79,11050359.71,100%,2,2,2
12:52:33,58,59392000,86.62,82.07,11.54,11812251.39,100%,3,3,3
12:52:38,58,59392000,86.22,81.78,11.59,11866533.47,100%,4,4,4
12:52:43,0,0,N/A,N/A,0,0,N/A,5,5,5
12:52:48,56,57344000,90.16,85.45,22.13,22665612.65,100%,6,6,6
12:52:53,54,55296000,93.69,89.24,10.66,10912966.25,100%,7,7,7
12:52:58,55,56320000,91.47,86.85,10.93,11187922.13,100%,8,8,8
12:53:03,53,54272000,94.7,90.21,10.55,10804698.39,100%,9,9,9
12:53:08,58,59392000,87.1,82.74,11.47,11744512.56,100%,10,10,10
12:53:13,57,58368000,88.61,84.12,11.28,11555731.54,100%,11,11,11
12:53:18,57,58368000,89,84.47,11.22,11487502.46,100%,12,12,12
12:53:23,59,60416000,86.19,81.8,11.58,11860227.72,100%,13,13,13
12:53:28,57,58368000,88.82,83.56,11.25,11516969.22,100%,14,14,14
12:53:33,52,53248000,96.83,92.46,10.33,10573471.01,100%,15,15,15
12:53:38,55,56320000,90.82,86.49,10.99,11254996,100%,16,16,16
12:53:43,57,58368000,88.07,83.75,11.35,11622461.17,100%,17,17,17
12:53:48,54,55296000,94.07,89.7,10.62,10878614.99,100%,18,18,18
12:53:53,58,59392000,86.17,81.71,11.6,11873650.54,100%,19,19,19
12:53:58,56,57344000,90.5,86.09,11.05,11312684.95,100%,20,20,20
12:54:03,53,54272000,94.87,90.45,10.53,10787517.39,100%,21,21,21
12:54:08,58,59392000,86.34,81.93,11.57,11847596.25,100%,22,22,22
12:54:13,47,48128000,86.51,82.06,11.55,11830875.12,100%,23,23,23
