================================================== stage: s1-init ==================================================
---------------------------------- mission: MDE1FCE4AB7, driver: driver1 ----------------------------------
2015-11-07 12:47:39,004 [INFO] [Log4jLogManager] - will append log to file /home/ubuntu/cos/log/mission/MDE1FCE4AB7.log
2015-11-07 12:47:39,013 [INFO] [NoneStorage] - performing PUT at /dssreadbench1
2015-11-07 12:47:39,617 [INFO] [NoneStorage] - performing PUT at /dssreadbench2
2015-11-07 12:47:40,113 [INFO] [NoneStorage] - performing PUT at /dssreadbench3
2015-11-07 12:47:40,655 [INFO] [NoneStorage] - performing PUT at /dssreadbench4
2015-11-07 12:47:41,189 [INFO] [NoneStorage] - performing PUT at /dssreadbench5
2015-11-07 12:47:41,845 [INFO] [NoneStorage] - performing PUT at /dssreadbench6
2015-11-07 12:47:42,366 [INFO] [NoneStorage] - performing PUT at /dssreadbench7
2015-11-07 12:47:43,167 [INFO] [NoneStorage] - performing PUT at /dssreadbench8
2015-11-07 12:47:43,825 [INFO] [NoneStorage] - performing PUT at /dssreadbench9
2015-11-07 12:47:44,367 [INFO] [NoneStorage] - performing PUT at /dssreadbench10
2015-11-07 12:47:44,890 [INFO] [NoneStorage] - performing PUT at /dssreadbench11
2015-11-07 12:47:45,454 [INFO] [NoneStorage] - performing PUT at /dssreadbench12
2015-11-07 12:47:45,790 [INFO] [NoneStorage] - performing PUT at /dssreadbench13
2015-11-07 12:47:46,249 [INFO] [NoneStorage] - performing PUT at /dssreadbench14
2015-11-07 12:47:46,798 [INFO] [NoneStorage] - performing PUT at /dssreadbench15
2015-11-07 12:47:47,303 [INFO] [NoneStorage] - performing PUT at /dssreadbench16
2015-11-07 12:47:47,817 [INFO] [NoneStorage] - performing PUT at /dssreadbench17
2015-11-07 12:47:48,655 [INFO] [NoneStorage] - performing PUT at /dssreadbench18
2015-11-07 12:47:49,330 [INFO] [NoneStorage] - performing PUT at /dssreadbench19
2015-11-07 12:47:49,870 [INFO] [NoneStorage] - performing PUT at /dssreadbench20
2015-11-07 12:47:50,411 [INFO] [NoneStorage] - performing PUT at /dssreadbench21
2015-11-07 12:47:50,904 [INFO] [NoneStorage] - performing PUT at /dssreadbench22
2015-11-07 12:47:51,445 [INFO] [NoneStorage] - performing PUT at /dssreadbench23
2015-11-07 12:47:51,856 [INFO] [NoneStorage] - performing PUT at /dssreadbench24
2015-11-07 12:47:52,340 [INFO] [NoneStorage] - performing PUT at /dssreadbench25
2015-11-07 12:47:52,911 [INFO] [NoneStorage] - performing PUT at /dssreadbench26
2015-11-07 12:47:53,405 [INFO] [NoneStorage] - performing PUT at /dssreadbench27
2015-11-07 12:47:53,921 [INFO] [NoneStorage] - performing PUT at /dssreadbench28
2015-11-07 12:47:54,447 [INFO] [NoneStorage] - performing PUT at /dssreadbench29
2015-11-07 12:47:54,993 [INFO] [NoneStorage] - performing PUT at /dssreadbench30
2015-11-07 12:47:55,534 [INFO] [NoneStorage] - performing PUT at /dssreadbench31
2015-11-07 12:47:56,070 [INFO] [NoneStorage] - performing PUT at /dssreadbench32
2015-11-07 12:47:56,667 [INFO] [NoneStorage] - performing PUT at /dssreadbench33
2015-11-07 12:47:57,231 [INFO] [NoneStorage] - performing PUT at /dssreadbench34
2015-11-07 12:47:57,803 [INFO] [NoneStorage] - performing PUT at /dssreadbench35
2015-11-07 12:47:58,271 [INFO] [NoneStorage] - performing PUT at /dssreadbench36
2015-11-07 12:47:58,741 [INFO] [NoneStorage] - performing PUT at /dssreadbench37
2015-11-07 12:47:59,257 [INFO] [NoneStorage] - performing PUT at /dssreadbench38
2015-11-07 12:47:59,764 [INFO] [NoneStorage] - performing PUT at /dssreadbench39
2015-11-07 12:48:00,291 [INFO] [NoneStorage] - performing PUT at /dssreadbench40
2015-11-07 12:48:00,821 [INFO] [NoneStorage] - performing PUT at /dssreadbench41
2015-11-07 12:48:01,332 [INFO] [NoneStorage] - performing PUT at /dssreadbench42
2015-11-07 12:48:01,838 [INFO] [NoneStorage] - performing PUT at /dssreadbench43
2015-11-07 12:48:02,384 [INFO] [NoneStorage] - performing PUT at /dssreadbench44
2015-11-07 12:48:02,907 [INFO] [NoneStorage] - performing PUT at /dssreadbench45
2015-11-07 12:48:03,442 [INFO] [NoneStorage] - performing PUT at /dssreadbench46
2015-11-07 12:48:04,023 [INFO] [NoneStorage] - performing PUT at /dssreadbench47
2015-11-07 12:48:04,400 [INFO] [NoneStorage] - performing PUT at /dssreadbench48
2015-11-07 12:48:05,246 [INFO] [NoneStorage] - performing PUT at /dssreadbench49
2015-11-07 12:48:05,664 [INFO] [NoneStorage] - performing PUT at /dssreadbench50
================================================== stage: s2-1k-1t-write ==================================================
---------------------------------- mission: MBE1FD5A7BF, driver: driver1 ----------------------------------
2015-11-07 12:48:09,005 [INFO] [Log4jLogManager] - will append log to file /home/ubuntu/cos/log/mission/MBE1FD5A7BF.log
2015-11-07 12:48:09,014 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/1myobject
2015-11-07 12:48:09,044 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/2myobject
2015-11-07 12:48:09,073 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/3myobject
2015-11-07 12:48:09,091 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/4myobject
2015-11-07 12:48:09,128 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/5myobject
2015-11-07 12:48:09,198 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/6myobject
2015-11-07 12:48:09,224 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/7myobject
2015-11-07 12:48:09,250 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/8myobject
2015-11-07 12:48:09,272 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/9myobject
2015-11-07 12:48:09,312 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/10myobject
2015-11-07 12:48:09,332 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/1myobject
2015-11-07 12:48:09,370 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/2myobject
2015-11-07 12:48:09,390 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/3myobject
2015-11-07 12:48:09,414 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/4myobject
2015-11-07 12:48:09,460 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/5myobject
2015-11-07 12:48:09,510 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/6myobject
2015-11-07 12:48:09,535 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/7myobject
2015-11-07 12:48:09,558 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/8myobject
2015-11-07 12:48:09,582 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/9myobject
2015-11-07 12:48:09,604 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/10myobject
2015-11-07 12:48:09,648 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/1myobject
2015-11-07 12:48:09,689 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/2myobject
2015-11-07 12:48:09,708 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/3myobject
2015-11-07 12:48:09,735 [INFO] [NoneStorage] - performing PUT at /dssreadbench7/4myobject
2015-11-07 12:48:09,755 [INFO] [NoneStorage] - performing PUT at /dssreadbench8/5myobject
2015-11-07 12:48:09,776 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/6myobject
2015-11-07 12:48:09,805 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/7myobject
2015-11-07 12:48:09,826 [INFO] [NoneStorage] - performing PUT at /dssreadbench2/8myobject
2015-11-07 12:48:09,845 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/9myobject
2015-11-07 12:48:09,872 [INFO] [NoneStorage] - performing PUT at /dssreadbench4/10myobject
2015-11-07 12:48:09,895 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/1myobject
2015-11-07 12:48:09,938 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/2myobject
2015-11-07 12:48:09,959 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/3myobject
2015-11-07 12:48:09,976 [INFO] [NoneStorage] - performing PUT at /dssreadbench1/4myobject
2015-11-07 12:48:10,005 [INFO] [NoneStorage] - performing PUT at /dssreadbench9/5myobject
2015-11-07 12:48:10,056 [INFO] [NoneStorage] - performing PUT at /dssreadbench5/6myobject
2015-11-07 12:48:10,078 [INFO] [NoneStorage] - performing PUT at /dssreadbench6/7myobject
2015-11-07 12:48:10,102 [INFO] [NoneStorage] - performing PUT at /dssreadbench3/8myobject
2015-11-07 12:48:10,134 [INFO] [NoneStorage] - performing PUT at /dssreadbench10/9myobject
