================================================== stage: s1-64m-1t ==================================================
---------------------------------- mission: M7E24F0CD29, driver: driver1 ----------------------------------
2015-11-07 14:17:23,079 [INFO] [Log4jLogManager] - will append log to file /home/ubuntu/cos/log/mission/M7E24F0CD29.log
2015-11-07 14:17:23,302 [INFO] [NoneStorage] - performing GET at /dssreadbench47/1myobject
2015-11-07 14:17:24,214 [INFO] [NoneStorage] - performing GET at /dssreadbench49/2myobject
2015-11-07 14:17:25,110 [INFO] [NoneStorage] - performing GET at /dssreadbench49/3myobject
2015-11-07 14:17:26,006 [INFO] [NoneStorage] - performing GET at /dssreadbench42/4myobject
2015-11-07 14:17:26,835 [INFO] [NoneStorage] - performing GET at /dssreadbench43/5myobject
2015-11-07 14:17:27,808 [INFO] [NoneStorage] - performing GET at /dssreadbench47/6myobject
2015-11-07 14:17:28,691 [INFO] [NoneStorage] - performing GET at /dssreadbench47/7myobject
2015-11-07 14:17:30,191 [INFO] [NoneStorage] - performing GET at /dssreadbench47/8myobject
2015-11-07 14:17:30,926 [INFO] [NoneStorage] - performing GET at /dssreadbench46/9myobject
2015-11-07 14:17:31,805 [INFO] [NoneStorage] - performing GET at /dssreadbench48/10myobject
2015-11-07 14:17:32,901 [INFO] [NoneStorage] - performing GET at /dssreadbench44/1myobject
2015-11-07 14:17:34,309 [INFO] [NoneStorage] - performing GET at /dssreadbench46/2myobject
2015-11-07 14:17:35,158 [INFO] [NoneStorage] - performing GET at /dssreadbench42/3myobject
2015-11-07 14:17:35,875 [INFO] [NoneStorage] - performing GET at /dssreadbench41/4myobject
2015-11-07 14:17:36,761 [INFO] [NoneStorage] - performing GET at /dssreadbench49/5myobject
2015-11-07 14:17:38,095 [INFO] [NoneStorage] - performing GET at /dssreadbench42/6myobject
2015-11-07 14:17:39,030 [INFO] [NoneStorage] - performing GET at /dssreadbench44/7myobject
2015-11-07 14:17:39,923 [INFO] [NoneStorage] - performing GET at /dssreadbench50/8myobject
2015-11-07 14:17:40,916 [INFO] [NoneStorage] - performing GET at /dssreadbench41/9myobject
2015-11-07 14:17:42,130 [INFO] [NoneStorage] - performing GET at /dssreadbench47/10myobject
2015-11-07 14:17:42,824 [INFO] [NoneStorage] - performing GET at /dssreadbench46/1myobject
