================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: M6E254653C8, driver: driver1 ----------------------------------
2015-11-07 14:23:13,006 [INFO] [Log4jLogManager] - will append log to file /home/ubuntu/cos/log/mission/M6E254653C8.log
2015-11-07 14:23:13,019 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/1myobject
2015-11-07 14:23:13,057 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/2myobject
2015-11-07 14:23:13,076 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/3myobject
2015-11-07 14:23:13,088 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/4myobject
2015-11-07 14:23:13,111 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/5myobject
2015-11-07 14:23:13,133 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/6myobject
2015-11-07 14:23:13,151 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/7myobject
2015-11-07 14:23:13,166 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/8myobject
2015-11-07 14:23:13,182 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/9myobject
2015-11-07 14:23:13,201 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/10myobject
2015-11-07 14:23:13,215 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/11myobject
2015-11-07 14:23:13,236 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/12myobject
2015-11-07 14:23:13,256 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/13myobject
2015-11-07 14:23:13,271 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/14myobject
2015-11-07 14:23:13,286 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/15myobject
2015-11-07 14:23:13,300 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/16myobject
2015-11-07 14:23:13,341 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/17myobject
2015-11-07 14:23:13,357 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/18myobject
2015-11-07 14:23:13,370 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/19myobject
2015-11-07 14:23:13,385 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/20myobject
2015-11-07 14:23:13,399 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/21myobject
2015-11-07 14:23:13,414 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/22myobject
2015-11-07 14:23:13,426 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/23myobject
2015-11-07 14:23:13,443 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/24myobject
2015-11-07 14:23:13,459 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/25myobject
2015-11-07 14:23:13,471 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/26myobject
2015-11-07 14:23:13,484 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/27myobject
2015-11-07 14:23:13,500 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/28myobject
2015-11-07 14:23:13,516 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/29myobject
2015-11-07 14:23:13,531 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/30myobject
2015-11-07 14:23:13,544 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/31myobject
2015-11-07 14:23:13,558 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/32myobject
2015-11-07 14:23:13,571 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/33myobject
2015-11-07 14:23:13,584 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/34myobject
2015-11-07 14:23:13,600 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/35myobject
2015-11-07 14:23:13,617 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/36myobject
2015-11-07 14:23:13,629 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/37myobject
2015-11-07 14:23:13,641 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/38myobject
2015-11-07 14:23:13,657 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/39myobject
2015-11-07 14:23:13,675 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/40myobject
2015-11-07 14:23:13,692 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/41myobject
2015-11-07 14:23:13,727 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/42myobject
2015-11-07 14:23:13,743 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/43myobject
2015-11-07 14:23:13,757 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/44myobject
2015-11-07 14:23:13,770 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/45myobject
2015-11-07 14:23:13,787 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/46myobject
2015-11-07 14:23:13,803 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/47myobject
2015-11-07 14:23:13,817 [INFO] [NoneStorage] - performing DELETE at /dssreadbench1/48myobject
