================================================== stage: s1-dispose ==================================================
---------------------------------- mission: MFE184CCC1F, driver: driver1 ----------------------------------
2015-11-07 10:36:28,435 [INFO] [Log4jLogManager] - will append log to file /home/ubuntu/cos/log/mission/MFE184CCC1F.log
2015-11-07 10:36:28,448 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1
2015-11-07 10:36:28,793 [INFO] [NoneStorage] - performing DELETE at /dsswritebench2
2015-11-07 10:36:29,168 [INFO] [NoneStorage] - performing DELETE at /dsswritebench3
2015-11-07 10:36:29,480 [INFO] [NoneStorage] - performing DELETE at /dsswritebench4
2015-11-07 10:36:29,877 [INFO] [NoneStorage] - performing DELETE at /dsswritebench5
2015-11-07 10:36:30,208 [INFO] [NoneStorage] - performing DELETE at /dsswritebench6
2015-11-07 10:36:30,724 [INFO] [NoneStorage] - performing DELETE at /dsswritebench7
2015-11-07 10:36:31,375 [INFO] [NoneStorage] - performing DELETE at /dsswritebench8
2015-11-07 10:36:31,825 [INFO] [NoneStorage] - performing DELETE at /dsswritebench9
2015-11-07 10:36:32,235 [INFO] [NoneStorage] - performing DELETE at /dsswritebench10
2015-11-07 10:36:32,617 [INFO] [NoneStorage] - performing DELETE at /dsswritebench11
2015-11-07 10:36:32,902 [INFO] [NoneStorage] - performing DELETE at /dsswritebench12
2015-11-07 10:36:33,371 [INFO] [NoneStorage] - performing DELETE at /dsswritebench13
2015-11-07 10:36:33,703 [INFO] [NoneStorage] - performing DELETE at /dsswritebench14
2015-11-07 10:36:34,383 [INFO] [NoneStorage] - performing DELETE at /dsswritebench15
2015-11-07 10:36:34,818 [INFO] [NoneStorage] - performing DELETE at /dsswritebench16
2015-11-07 10:36:35,373 [INFO] [NoneStorage] - performing DELETE at /dsswritebench17
2015-11-07 10:36:35,862 [INFO] [NoneStorage] - performing DELETE at /dsswritebench18
2015-11-07 10:36:36,225 [INFO] [NoneStorage] - performing DELETE at /dsswritebench19
2015-11-07 10:36:36,554 [INFO] [NoneStorage] - performing DELETE at /dsswritebench20
2015-11-07 10:36:36,950 [INFO] [NoneStorage] - performing DELETE at /dsswritebench21
2015-11-07 10:36:37,364 [INFO] [NoneStorage] - performing DELETE at /dsswritebench22
2015-11-07 10:36:37,880 [INFO] [NoneStorage] - performing DELETE at /dsswritebench23
2015-11-07 10:36:38,220 [INFO] [NoneStorage] - performing DELETE at /dsswritebench24
2015-11-07 10:36:38,576 [INFO] [NoneStorage] - performing DELETE at /dsswritebench25
2015-11-07 10:36:39,024 [INFO] [NoneStorage] - performing DELETE at /dsswritebench26
2015-11-07 10:36:39,365 [INFO] [NoneStorage] - performing DELETE at /dsswritebench27
2015-11-07 10:36:39,824 [INFO] [NoneStorage] - performing DELETE at /dsswritebench28
2015-11-07 10:36:40,121 [INFO] [NoneStorage] - performing DELETE at /dsswritebench29
2015-11-07 10:36:40,451 [INFO] [NoneStorage] - performing DELETE at /dsswritebench30
2015-11-07 10:36:40,728 [INFO] [NoneStorage] - performing DELETE at /dsswritebench31
2015-11-07 10:36:41,068 [INFO] [NoneStorage] - performing DELETE at /dsswritebench32
2015-11-07 10:36:41,544 [INFO] [NoneStorage] - performing DELETE at /dsswritebench33
2015-11-07 10:36:42,057 [INFO] [NoneStorage] - performing DELETE at /dsswritebench34
2015-11-07 10:36:42,476 [INFO] [NoneStorage] - performing DELETE at /dsswritebench35
2015-11-07 10:36:42,846 [INFO] [NoneStorage] - performing DELETE at /dsswritebench36
2015-11-07 10:36:43,529 [INFO] [NoneStorage] - performing DELETE at /dsswritebench37
2015-11-07 10:36:44,027 [INFO] [NoneStorage] - performing DELETE at /dsswritebench38
2015-11-07 10:36:44,371 [INFO] [NoneStorage] - performing DELETE at /dsswritebench39
2015-11-07 10:36:44,678 [INFO] [NoneStorage] - performing DELETE at /dsswritebench40
2015-11-07 10:36:45,377 [INFO] [NoneStorage] - performing DELETE at /dsswritebench41
2015-11-07 10:36:45,720 [INFO] [NoneStorage] - performing DELETE at /dsswritebench42
2015-11-07 10:36:46,017 [INFO] [NoneStorage] - performing DELETE at /dsswritebench43
2015-11-07 10:36:46,342 [INFO] [NoneStorage] - performing DELETE at /dsswritebench44
2015-11-07 10:36:46,834 [INFO] [NoneStorage] - performing DELETE at /dsswritebench45
2015-11-07 10:36:47,284 [INFO] [NoneStorage] - performing DELETE at /dsswritebench46
2015-11-07 10:36:47,702 [INFO] [NoneStorage] - performing DELETE at /dsswritebench47
2015-11-07 10:36:48,074 [INFO] [NoneStorage] - performing DELETE at /dsswritebench48
2015-11-07 10:36:48,525 [INFO] [NoneStorage] - performing DELETE at /dsswritebench49
2015-11-07 10:36:49,165 [INFO] [NoneStorage] - performing DELETE at /dsswritebench50
2015-11-07 10:36:49,453 [INFO] [NoneStorage] - performing DELETE at /dsswritebench51
2015-11-07 10:36:49,814 [INFO] [NoneStorage] - performing DELETE at /dsswritebench52
2015-11-07 10:36:50,246 [INFO] [NoneStorage] - performing DELETE at /dsswritebench53
2015-11-07 10:36:50,838 [INFO] [NoneStorage] - performing DELETE at /dsswritebench54
2015-11-07 10:36:51,202 [INFO] [NoneStorage] - performing DELETE at /dsswritebench55
2015-11-07 10:36:51,500 [INFO] [NoneStorage] - performing DELETE at /dsswritebench56
2015-11-07 10:36:51,893 [INFO] [NoneStorage] - performing DELETE at /dsswritebench57
2015-11-07 10:36:52,197 [INFO] [NoneStorage] - performing DELETE at /dsswritebench58
2015-11-07 10:36:52,510 [INFO] [NoneStorage] - performing DELETE at /dsswritebench59
2015-11-07 10:36:52,964 [INFO] [NoneStorage] - performing DELETE at /dsswritebench60
2015-11-07 10:36:53,243 [INFO] [NoneStorage] - performing DELETE at /dsswritebench61
2015-11-07 10:36:53,759 [INFO] [NoneStorage] - performing DELETE at /dsswritebench62
2015-11-07 10:36:54,042 [INFO] [NoneStorage] - performing DELETE at /dsswritebench63
2015-11-07 10:36:54,376 [INFO] [NoneStorage] - performing DELETE at /dsswritebench64
2015-11-07 10:36:54,739 [INFO] [NoneStorage] - performing DELETE at /dsswritebench65
2015-11-07 10:36:55,089 [INFO] [NoneStorage] - performing DELETE at /dsswritebench66
2015-11-07 10:36:55,458 [INFO] [NoneStorage] - performing DELETE at /dsswritebench67
2015-11-07 10:36:55,753 [INFO] [NoneStorage] - performing DELETE at /dsswritebench68
2015-11-07 10:36:56,149 [INFO] [NoneStorage] - performing DELETE at /dsswritebench69
2015-11-07 10:36:56,543 [INFO] [NoneStorage] - performing DELETE at /dsswritebench70
2015-11-07 10:36:56,893 [INFO] [NoneStorage] - performing DELETE at /dsswritebench71
2015-11-07 10:36:57,521 [INFO] [NoneStorage] - performing DELETE at /dsswritebench72
2015-11-07 10:36:57,926 [INFO] [NoneStorage] - performing DELETE at /dsswritebench73
2015-11-07 10:36:58,314 [INFO] [NoneStorage] - performing DELETE at /dsswritebench74
2015-11-07 10:36:58,666 [INFO] [NoneStorage] - performing DELETE at /dsswritebench75
2015-11-07 10:36:58,966 [INFO] [NoneStorage] - performing DELETE at /dsswritebench76
2015-11-07 10:36:59,316 [INFO] [NoneStorage] - performing DELETE at /dsswritebench77
2015-11-07 10:36:59,662 [INFO] [NoneStorage] - performing DELETE at /dsswritebench78
2015-11-07 10:36:59,956 [INFO] [NoneStorage] - performing DELETE at /dsswritebench79
2015-11-07 10:37:00,360 [INFO] [NoneStorage] - performing DELETE at /dsswritebench80
2015-11-07 10:37:00,764 [INFO] [NoneStorage] - performing DELETE at /dsswritebench81
2015-11-07 10:37:01,220 [INFO] [NoneStorage] - performing DELETE at /dsswritebench82
2015-11-07 10:37:01,560 [INFO] [NoneStorage] - performing DELETE at /dsswritebench83
2015-11-07 10:37:01,850 [INFO] [NoneStorage] - performing DELETE at /dsswritebench84
2015-11-07 10:37:02,182 [INFO] [NoneStorage] - performing DELETE at /dsswritebench85
2015-11-07 10:37:02,560 [INFO] [NoneStorage] - performing DELETE at /dsswritebench86
2015-11-07 10:37:02,860 [INFO] [NoneStorage] - performing DELETE at /dsswritebench87
2015-11-07 10:37:03,178 [INFO] [NoneStorage] - performing DELETE at /dsswritebench88
2015-11-07 10:37:03,517 [INFO] [NoneStorage] - performing DELETE at /dsswritebench89
2015-11-07 10:37:03,870 [INFO] [NoneStorage] - performing DELETE at /dsswritebench90
2015-11-07 10:37:04,192 [INFO] [NoneStorage] - performing DELETE at /dsswritebench91
2015-11-07 10:37:04,539 [INFO] [NoneStorage] - performing DELETE at /dsswritebench92
2015-11-07 10:37:04,893 [INFO] [NoneStorage] - performing DELETE at /dsswritebench93
2015-11-07 10:37:05,192 [INFO] [NoneStorage] - performing DELETE at /dsswritebench94
2015-11-07 10:37:05,568 [INFO] [NoneStorage] - performing DELETE at /dsswritebench95
2015-11-07 10:37:05,958 [INFO] [NoneStorage] - performing DELETE at /dsswritebench96
