Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
10:44:59,7670,7670000,35.88,35.88,1529.01,1529006.45,60.71%,0,0,0
10:45:04,7510,7510000,37.77,37.77,1492.62,1492617.61,50.97%,1,1,1
10:45:09,7907,7907000,36.6,36.6,1596.68,1596679.5,50.88%,2,2,2
10:45:14,7665,7665000,36.44,36.44,1547.21,1547213.14,50.33%,3,3,3
10:45:19,7598,7598000,38.22,38.22,1561.74,1561740.11,51.4%,4,4,4
10:45:24,7182,7182000,37.54,37.54,1430.81,1430806.99,51.36%,5,5,5
10:45:29,7194,7194000,37.15,37.15,1524.93,1524931.51,51.63%,6,6,6
10:45:34,6864,6864000,35.9,35.9,1455.88,1455882.03,50.53%,7,7,7
10:45:39,6502,6502000,34.62,34.62,1390.77,1390772.12,50.43%,8,8,8
10:45:44,5925,5925000,35.77,35.77,1266.31,1266307.54,51.84%,9,9,9
10:45:49,6080,6080000,38.42,38.42,1317.88,1317879.78,64.85%,10,10,10
10:45:54,8604,8604000,34.54,34.54,2097.95,2097948.01,74.77%,11,11,11
