Timestamp,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio,Version-Info,,
,write,write,write,write,write,write,write,Min-Version,Version,Max-Version
11:24:26,0,0,N/A,N/A,0,0,N/A,0,0,0
11:24:31,11,720896000,7107.45,173,1.62,106173363.43,100%,1,1,1
11:24:36,7,458752000,9640.29,233.71,1.22,80208693.36,100%,2,2,2
11:24:41,10,655360000,7532.2,97.1,2,131334203.83,100%,3,3,3
11:24:46,10,655360000,9434.7,133.9,1.76,115076764.3,100%,4,4,4
11:24:51,10,655360000,8538.4,110.5,1.75,114695725.66,100%,5,5,5
11:24:56,8,524288000,7579.5,132.75,1.65,108120813.78,100%,6,6,6
11:25:01,10,655360000,8875.8,121.6,2.18,142965487.85,100%,7,7,7
11:25:06,9,589824000,9273.78,119,1.64,107577462.03,100%,8,8,8
11:25:11,10,655360000,8639.7,113.8,1.97,129004205.05,100%,9,9,9
11:25:16,11,720896000,9273.64,157.91,2.15,140892678.22,91.67%,10,10,10
11:25:21,9,589824000,7393.11,249.89,1.9,124440214.24,100%,11,11,11
11:25:26,3,196608000,3942,142.67,0.78,51110744.02,100%,12,12,12
11:25:31,0,0,N/A,N/A,0,0,N/A,13,13,13
