Stage,Op-Name,Op-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Status,Detailed Status
s1-init,init-write,init,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 10:56:36,submitting @ 2015-11-07 10:56:36,authing @ 2015-11-07 10:56:36,launching @ 2015-11-07 10:56:36,running @ 2015-11-07 10:56:36,closing @ 2015-11-07 10:56:41,completed @ 2015-11-07 10:56:41
s2-1k-1t,write,write,1553,1553000,38.48,38.48,40,50,60,90,160,1640,25.9,25901.46,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 10:56:44,submitting @ 2015-11-07 10:56:44,authing @ 2015-11-07 10:56:44,launching @ 2015-11-07 10:56:44,running @ 2015-11-07 10:56:44,closing @ 2015-11-07 10:57:44,completed @ 2015-11-07 10:57:44
s3-1k-4t,write,write,6679,6679000,35.81,35.81,40,50,60,80,150,850,111.35,111352.38,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 10:57:46,submitting @ 2015-11-07 10:57:45,authing @ 2015-11-07 10:57:45,launching @ 2015-11-07 10:57:45,running @ 2015-11-07 10:57:45,closing @ 2015-11-07 10:58:45,completed @ 2015-11-07 10:58:45
s4-1k-16t,write,write,26956,26956000,35.51,35.51,40,50,60,70,140,720,449.52,449519.5,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 10:58:47,submitting @ 2015-11-07 10:58:45,authing @ 2015-11-07 10:58:45,launching @ 2015-11-07 10:58:45,running @ 2015-11-07 10:58:45,closing @ 2015-11-07 10:59:45,completed @ 2015-11-07 10:59:45
s5-1k-32t,write,write,47853,47853000,40.02,40.02,40,50,60,90,190,2440,797.93,797929.13,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 10:59:47,submitting @ 2015-11-07 10:59:45,authing @ 2015-11-07 10:59:45,launching @ 2015-11-07 10:59:45,running @ 2015-11-07 10:59:45,closing @ 2015-11-07 11:00:45,completed @ 2015-11-07 11:00:45
s6-1k-64t,write,write,111904,111904000,34.23,34.23,40,50,50,70,130,1800,1865.72,1865722.24,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:00:47,submitting @ 2015-11-07 11:00:45,authing @ 2015-11-07 11:00:45,launching @ 2015-11-07 11:00:45,running @ 2015-11-07 11:00:45,closing @ 2015-11-07 11:01:45,completed @ 2015-11-07 11:01:45
s7-1k-128t,write,write,210837,210837000,36.34,36.34,40,50,60,90,170,1350,3515.61,3515611.97,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:01:47,submitting @ 2015-11-07 11:01:45,authing @ 2015-11-07 11:01:45,launching @ 2015-11-07 11:01:45,running @ 2015-11-07 11:01:45,closing @ 2015-11-07 11:02:45,completed @ 2015-11-07 11:02:45
s8-64k-1t,write,write,1205,77120000,49.65,49.27,50,60,70,100,140,640,20.1,1286105,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:02:48,submitting @ 2015-11-07 11:02:48,authing @ 2015-11-07 11:02:48,launching @ 2015-11-07 11:02:48,running @ 2015-11-07 11:02:48,closing @ 2015-11-07 11:03:48,completed @ 2015-11-07 11:03:48
s9-64k-4t,write,write,5228,334592000,45.8,45.42,50,60,70,80,140,1050,87.17,5578984.72,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:03:50,submitting @ 2015-11-07 11:03:48,authing @ 2015-11-07 11:03:48,launching @ 2015-11-07 11:03:48,running @ 2015-11-07 11:03:48,closing @ 2015-11-07 11:04:48,completed @ 2015-11-07 11:04:48
s10-64k-16t,write,write,18926,1211264000,50.57,50.24,50,60,70,100,180,1640,315.78,20209727.62,99.97%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:04:50,submitting @ 2015-11-07 11:04:48,authing @ 2015-11-07 11:04:48,launching @ 2015-11-07 11:04:48,running @ 2015-11-07 11:04:48,closing @ 2015-11-07 11:05:53,completed @ 2015-11-07 11:05:53
s11-64k-32t,write,write,42464,2717696000,45.1,44.78,50,60,70,80,140,2020,708.21,45325681.75,100%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:05:55,submitting @ 2015-11-07 11:05:53,authing @ 2015-11-07 11:05:53,launching @ 2015-11-07 11:05:53,running @ 2015-11-07 11:05:53,closing @ 2015-11-07 11:06:53,completed @ 2015-11-07 11:06:53
s12-64k-64t,write,write,73716,4717824000,50.98,50.67,50,60,80,110,180,4830,1229.16,78665976.27,99.96%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:06:55,submitting @ 2015-11-07 11:06:53,authing @ 2015-11-07 11:06:53,launching @ 2015-11-07 11:06:53,running @ 2015-11-07 11:06:53,closing @ 2015-11-07 11:07:53,completed @ 2015-11-07 11:07:53
s13-64k-128t,write,write,115001,7360064000,66.6,66.25,50,70,120,250,340,2300,1918.93,122811725.57,99.96%,completed,waiting @ 2015-11-07 10:56:36,booting @ 2015-11-07 11:07:55,submitting @ 2015-11-07 11:07:53,authing @ 2015-11-07 11:07:53,launching @ 2015-11-07 11:07:53,running @ 2015-11-07 11:07:53,closing @ 2015-11-07 11:08:58,completed @ 2015-11-07 11:08:58
