================================================== stage: s1-cleanup ==================================================
---------------------------------- mission: MBE1BF6ECBD, driver: driver1 ----------------------------------
2015-11-07 11:40:31,005 [INFO] [Log4jLogManager] - will append log to file /home/ubuntu/cos/log/mission/MBE1BF6ECBD.log
2015-11-07 11:40:31,014 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects300
2015-11-07 11:40:31,045 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects301
2015-11-07 11:40:31,065 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects302
2015-11-07 11:40:31,080 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects303
2015-11-07 11:40:31,093 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects304
2015-11-07 11:40:31,110 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects305
2015-11-07 11:40:31,123 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects306
2015-11-07 11:40:31,138 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects307
2015-11-07 11:40:31,155 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects308
2015-11-07 11:40:31,172 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects309
2015-11-07 11:40:31,187 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects310
2015-11-07 11:40:31,227 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects311
2015-11-07 11:40:31,245 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects312
2015-11-07 11:40:31,259 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects313
2015-11-07 11:40:31,273 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects314
2015-11-07 11:40:31,287 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects315
2015-11-07 11:40:31,300 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects316
2015-11-07 11:40:31,315 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects317
2015-11-07 11:40:31,328 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects318
2015-11-07 11:40:31,343 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects319
2015-11-07 11:40:31,358 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects320
2015-11-07 11:40:31,371 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects321
2015-11-07 11:40:31,392 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects322
2015-11-07 11:40:31,414 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects323
2015-11-07 11:40:31,433 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects324
2015-11-07 11:40:31,446 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects325
2015-11-07 11:40:31,458 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects326
2015-11-07 11:40:31,474 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects327
2015-11-07 11:40:31,496 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects328
2015-11-07 11:40:31,511 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects329
2015-11-07 11:40:31,525 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects330
2015-11-07 11:40:31,540 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects331
2015-11-07 11:40:31,552 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects332
2015-11-07 11:40:31,574 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects333
2015-11-07 11:40:31,587 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects334
2015-11-07 11:40:31,600 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects335
2015-11-07 11:40:31,615 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects336
2015-11-07 11:40:31,632 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects337
2015-11-07 11:40:31,643 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects338
2015-11-07 11:40:31,663 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects339
2015-11-07 11:40:31,679 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects340
2015-11-07 11:40:31,693 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects341
2015-11-07 11:40:31,730 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects342
2015-11-07 11:40:31,779 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects343
2015-11-07 11:40:31,801 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects344
2015-11-07 11:40:31,820 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects345
2015-11-07 11:40:31,833 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects346
2015-11-07 11:40:31,848 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects347
2015-11-07 11:40:31,861 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects348
2015-11-07 11:40:31,873 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects349
2015-11-07 11:40:31,883 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects350
2015-11-07 11:40:31,895 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects351
2015-11-07 11:40:31,908 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects352
2015-11-07 11:40:31,920 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects353
2015-11-07 11:40:31,933 [INFO] [NoneStorage] - performing DELETE at /dsswritebench1/myobjects354
