Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w4-s1-dispose-1,dispose-delete,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=dsswritebench containers=r(1-300) cprefix=dsswritebench containers=r(1-300) cprefix=dsswritebench containers=r(1-300) objects=r(0-0) sizes=c(0)B cprefix=dsswritebench containers=r(1-300)
w5-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=dsswritebench containers=r(1-50) cprefix=dsswritebench containers=r(1-50) cprefix=dsswritebench containers=r(1-50) objects=r(0-0) sizes=c(0)B cprefix=dsswritebench containers=r(1-50)
w5-s2-1k-1t-1,write,1725,1725000,1,34.63,34.63,40,50,50,70,130,560,28.76,28760.55,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w5-s3-1k-4t-1,write,6667,6667000,4,35.87,35.87,40,50,60,80,130,900,111.14,111140.39,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w5-s4-1k-16t-1,write,24800,24800000,16,38.59,38.59,40,50,60,90,170,2600,413.48,413480.92,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w5-s5-1k-32t-1,write,53005,53005000,32,35.98,35.98,40,50,60,70,150,2010,886.96,886955.91,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w5-s6-1k-64t-1,write,91176,91176000,64,36.68,36.67,40,50,60,80,140,1790,1520.2,1520204.88,55.11%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w6-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=dsswritebench containers=r(1-50) cprefix=dsswritebench containers=r(1-50) cprefix=dsswritebench containers=r(1-50) objects=r(0-0) sizes=c(0)B cprefix=dsswritebench containers=r(1-50)
w6-s2-1k-1t-1,write,1553,1553000,1,38.48,38.48,40,50,60,90,160,1640,25.9,25901.46,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w6-s3-1k-4t-1,write,6679,6679000,4,35.81,35.81,40,50,60,80,150,850,111.35,111352.38,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w6-s4-1k-16t-1,write,26956,26956000,16,35.51,35.51,40,50,60,70,140,720,449.52,449519.5,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w6-s5-1k-32t-1,write,47853,47853000,32,40.02,40.02,40,50,60,90,190,2440,797.93,797929.13,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w6-s6-1k-64t-1,write,111904,111904000,64,34.23,34.23,40,50,50,70,130,1800,1865.72,1865722.24,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w6-s7-1k-128t-1,write,210837,210837000,128,36.34,36.34,40,50,60,90,170,1350,3515.61,3515611.97,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1)KB
w6-s8-64k-1t-1,write,1205,77120000,1,49.65,49.27,50,60,70,100,140,640,20.1,1286105,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(64)KB
w6-s9-64k-4t-1,write,5228,334592000,4,45.8,45.42,50,60,70,80,140,1050,87.17,5578984.72,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(64)KB
w6-s10-64k-16t-1,write,18926,1211264000,16,50.57,50.24,50,60,70,100,180,1640,315.78,20209727.62,99.97%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(64)KB
w6-s11-64k-32t-1,write,42464,2717696000,32,45.1,44.78,50,60,70,80,140,2020,708.21,45325681.75,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(64)KB
w6-s12-64k-64t-1,write,73716,4717824000,64,50.98,50.67,50,60,80,110,180,4830,1229.16,78665976.27,99.96%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(64)KB
w6-s13-64k-128t-1,write,115001,7360064000,128,66.6,66.25,50,70,120,250,340,2300,1918.93,122811725.57,99.96%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(64)KB
w6-s14-1m-1t-1,write,562,575488000,1,106.06,99.52,100,120,150,180,280,1850,9.38,9604272.36,99.47%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1024)KB
w6-s15-1m-4t-1,write,2500,2560000000,4,95.76,90.35,100,110,140,160,230,1120,41.69,42686475,99.92%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1024)KB
w6-s16-1m-16t-1,write,7139,7310336000,16,134.19,91.48,120,160,230,330,480,1670,119.18,122036365.25,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1024)KB
w6-s17-1m-32t-1,write,7134,7305216000,32,259.29,104.52,220,360,470,650,1120,2100,119.24,122106104.47,93.65%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1024)KB
w6-s18-1m-64t-1,write,7116,7286784000,64,517.44,133.94,470,780,1110,1350,2000,7980,119.41,122277007.53,89.92%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1024)KB
w6-s19-1m-128t-1,write,7089,7259136000,128,1066.99,180.22,1080,1620,2080,2480,3490,9690,119.92,122796891.85,99.59%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(1024)KB
w6-s20-16m-1t-1,write,98,1605632000,1,602.72,421.16,620,700,740,830,960,1040,1.65,27012196.97,95.15%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s21-16m-4t-1,write,379,6209536000,4,623.01,423.51,620,700,790,930,1520,1950,6.36,104247222.14,92.89%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s22-16m-16t-1,write,440,7208960000,16,2127.69,152.18,2140,2950,3570,4090,4970,5750,7.51,123027201.51,96.7%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s23-16m-32t-1,write,433,7094272000,32,4268.62,137.82,4490,5860,6850,7710,9680,11960,7.5,122811667.4,98.63%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s24-16m-64t-1,write,415,6799360000,64,8527.44,176.55,8800,11800,14110,16290,18820,25050,7.51,123062068.39,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s25-16m-128t-1,write,384,6291456000,128,16955.54,229.52,17520,21720,24400,27050,30360,36360,7.54,123575635.19,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(16384)KB
w6-s26-64m-1t-1,write,27,1769472000,1,2196.11,483.52,2220,2430,2720,2720,2910,3270,0.46,29840835.12,100%,100% cprefix=dsswritebench containers=u(1-50) objects=u(300-400) sizes=c(65536)KB
