Linux 3.16.0-51-generic (dss-compute-1) 	10/25/2015 	_x86_64_	(32 CPU)

12:24:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:24:49 AM  all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
12:24:50 AM  all    0.03    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.88
12:24:51 AM  all    0.28    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.62
12:24:52 AM  all    0.13    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.72
12:24:53 AM  all    0.13    0.00    0.13    0.00    0.00    0.03    0.00    0.00    0.00   99.72
12:24:54 AM  all    0.16    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.69
12:24:55 AM  all    0.25    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.66
12:24:56 AM  all    0.28    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.66
12:24:57 AM  all    0.22    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.62
12:24:58 AM  all    0.31    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.59
12:24:59 AM  all    0.31    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.62
12:25:00 AM  all    0.75    0.00    0.19    0.00    0.00    0.00    0.00    0.00    0.00   99.06
12:25:01 AM  all    0.28    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.62
12:25:02 AM  all    0.25    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.62
12:25:03 AM  all    0.22    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.72
12:25:04 AM  all    0.28    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.62
12:25:05 AM  all    0.25    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.66
12:25:06 AM  all    0.28    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.59
12:25:07 AM  all    0.25    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.66
