       em4        
 KB/s in  KB/s out
    0.44      0.05
    0.18      0.00
   14.63      9.46
   70.79     46.50
   84.91     56.14
   87.22     58.25
   86.74     57.65
   93.04     59.80
  102.69     68.99
   91.34     60.43
  105.63     80.67
   95.63     82.52
   98.06     64.94
  105.51     69.54
   97.86     65.00
  105.36     69.80
  106.42     70.33
  118.67     98.74
  116.01     77.84
  109.44     70.96
  118.57     78.53
  112.46     74.12
       em4        
 KB/s in  KB/s out
  111.97     74.47
  119.21     78.75
  118.45    100.33
  119.22     78.35
  112.92     74.74
  119.05     77.77
  112.75     74.81
  111.78     74.71
  119.08    103.53
  120.49     77.08
  112.12     74.47
  117.32     78.30
  113.94     74.29
  112.51     74.55
  113.97    104.14
  123.93     79.20
  119.97     79.31
  115.19     77.08
  116.96     76.36
  114.46     76.85
  117.77    106.63
  117.80     75.74
       em4        
 KB/s in  KB/s out
  112.66     74.64
  117.92     77.92
  119.01     78.86
  112.02     74.41
  117.33     78.66
  120.67    106.62
  113.57     75.88
  117.74     76.82
  115.41     77.55
  115.52     75.22
  112.01     74.68
  125.04    110.82
  112.07     74.35
  112.66     74.43
  114.25     76.39
  117.11     76.48
  113.31     76.38
  124.69    111.60
   85.02     56.97
    0.23      0.00
    0.18      0.00
  167.53    103.60
       em4        
 KB/s in  KB/s out
  454.55    283.30
  467.53    303.73
  478.66    305.07
  456.71    283.66
  451.88    283.25
  467.75    290.31
  456.12    300.13
  457.93    283.76
  461.70    287.45
  457.38    287.95
  457.00    282.53
  475.88    316.05
  457.01    283.15
  463.79    284.62
  466.19    286.57
  449.20    280.63
  447.79    277.24
  454.69    302.31
  461.97    285.90
  463.67    286.42
  454.92    281.10
  463.03    285.43
       em4        
 KB/s in  KB/s out
  463.91    285.41
  455.78    306.53
  455.58    279.93
  455.00    280.12
  449.03    280.67
  445.60    275.20
  450.11    277.66
  465.05    313.09
  432.24    266.97
  465.87    287.70
  445.32    276.47
  459.65    282.90
  459.33    284.02
  469.95    315.66
  445.68    277.31
  471.25    291.75
  446.05    274.70
  468.91    291.47
  457.54    283.94
  469.18    315.01
  453.09    281.09
  462.67    284.96
       em4        
 KB/s in  KB/s out
  450.55    277.71
  453.87    285.62
  460.61    282.85
  456.53    313.68
  466.14    285.02
  464.53    289.72
  455.77    279.47
  443.76    276.80
  467.45    291.39
  471.61    326.07
  457.28    286.41
  458.85    282.73
  462.16    284.46
  446.81    279.35
  462.50    283.04
  298.71    220.42
    5.70      1.25
    0.18      0.00
  770.27    465.13
 1758.63   1061.27
 1752.66   1060.97
 1721.38   1036.04
       em4        
 KB/s in  KB/s out
 1777.73   1084.75
 1831.69   1104.02
 1777.16   1064.50
 1753.24   1051.91
 1817.66   1088.54
 1740.51   1071.73
 1758.30   1053.53
 1707.64   1027.91
 1703.33   1026.84
 1791.45   1076.03
 1724.49   1034.12
 1752.81   1077.69
 1726.91   1036.84
 1729.57   1041.93
 1685.19   1013.49
 1750.90   1050.51
 1743.79   1051.42
 1778.91   1092.82
 1750.51   1056.63
 1783.24   1062.73
 1784.60   1081.22
 1740.67   1048.67
       em4        
 KB/s in  KB/s out
 1753.62   1059.40
 1733.07   1034.77
 1823.64   1117.85
 1770.82   1070.49
 1743.46   1047.15
 1759.60   1054.24
 1766.15   1063.65
 1758.27   1086.06
 1808.36   1085.42
 1754.21   1053.96
 1759.84   1061.49
 1729.89   1035.50
 1783.84   1068.11
 1754.42   1059.94
 1728.91   1064.76
 1766.08   1067.15
 1725.53   1041.76
 1791.75   1075.67
 1720.43   1038.34
 1264.49    788.18
 1798.19   1077.21
 1752.20   1054.92
       em4        
 KB/s in  KB/s out
 1787.83   1071.92
 1723.01   1043.09
 1800.53   1078.91
 1773.80   1093.73
 1724.86   1044.26
 1758.10   1050.67
 1772.88   1063.41
 1756.86   1055.36
 1740.41   1045.95
 1729.74   1075.20
 1742.63   1050.29
 1731.89   1040.19
  939.85    564.88
    0.25      0.14
    0.51      0.00
 1353.88    819.77
 2658.65   1617.23
 2917.32   1760.72
 2840.86   1703.16
 2781.48   1671.49
 2884.37   1734.27
 2915.84   1768.85
       em4        
 KB/s in  KB/s out
 2928.07   1763.97
 2987.08   1796.14
 2745.77   1656.84
 3012.38   1807.98
 2958.66   1791.17
 2792.73   1679.01
 2825.67   1700.02
 2732.58   1638.94
 2760.10   1661.08
 2785.10   1669.94
 2958.23   1796.28
 2937.27   1766.52
 2987.50   1792.11
 2641.01   1593.88
 2852.90   1717.80
 2769.72   1663.69
 2995.56   1820.30
 2821.04   1698.50
 3032.80   1819.69
 2772.17   1669.56
 3038.29   1826.21
 2834.32   1696.92
       em4        
 KB/s in  KB/s out
 2947.82   1797.57
 2745.28   1657.20
 2844.10   1708.11
 2812.58   1692.45
 2906.25   1739.84
 2921.96   1761.06
 2994.95   1824.92
 3148.26   1887.48
 2821.04   1693.98
 2999.69   1805.74
 2898.00   1744.10
 3010.88   1808.20
 2903.89   1770.76
 2711.41   1633.52
 2913.85   1748.68
 2869.92   1730.52
 2981.00   1782.45
 2876.06   1740.58
 2681.67   1636.62
 2803.61   1687.54
 2777.30   1669.62
 2739.70   1639.96
       em4        
 KB/s in  KB/s out
 2747.38   1659.81
 2756.34   1651.46
 2737.15   1682.23
 2992.44   1788.26
 2961.69   1781.68
 2855.63   1719.25
 2820.23   1704.29
 2885.47   1729.77
 2767.79   1699.35
 1398.06    829.12
    0.23      0.00
    0.18      0.00
 1186.22    733.52
 3266.22   1963.12
 3372.09   2032.12
 3327.04   2022.08
 3206.56   1943.88
 3514.28   2096.37
 3262.23   1966.87
 3346.46   2031.98
 3383.17   2035.65
 3112.25   1889.54
       em4        
 KB/s in  KB/s out
 3172.77   1892.75
 3250.45   1962.34
 3367.03   2024.62
 3170.66   1899.66
 3217.35   1967.19
 3295.41   1992.70
 3133.80   1882.74
 3087.60   1867.37
 3166.42   1905.02
 3545.32   2127.56
 3411.85   2068.61
 3434.14   2079.07
 3236.48   1953.75
 3086.50   1847.56
 3441.79   2070.83
 3064.92   1845.36
 3206.83   1948.27
 3147.64   1900.81
 3536.46   2125.49
 3223.37   1931.40
 3323.32   2002.92
 3363.07   2022.04
       em4        
 KB/s in  KB/s out
 3383.94   2057.82
 3486.73   2097.85
 3304.10   1987.03
 3359.03   2028.95
 3473.42   2086.86
 3354.14   2011.39
 3354.94   2049.58
 3362.43   2014.03
 3117.64   1877.59
 3252.97   1959.41
 3210.10   1941.61
