Linux 3.16.0-51-generic (dss-compute-1) 	10/27/2015 	_x86_64_	(32 CPU)

07:19:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:19:39 PM  all    9.05    0.00    2.16    0.00    0.00    0.43    0.00    0.00    0.00   88.36
07:19:40 PM  all    8.71    0.00    1.78    0.00    0.00    0.46    0.00    0.00    0.00   89.05
07:19:41 PM  all    8.63    0.00    2.31    0.00    0.00    0.46    0.00    0.00    0.00   88.60
07:19:42 PM  all    8.28    0.00    1.81    0.00    0.00    0.39    0.00    0.00    0.00   89.52
07:19:43 PM  all    9.10    0.00    1.88    0.00    0.00    0.45    0.00    0.00    0.00   88.56
07:19:44 PM  all    7.86    0.00    1.93    0.00    0.00    0.49    0.00    0.00    0.00   89.71
07:19:45 PM  all    7.53    0.00    2.05    0.00    0.00    0.49    0.00    0.00    0.00   89.93
07:19:46 PM  all    8.05    0.00    2.31    0.00    0.00    0.52    0.00    0.00    0.00   89.12
07:19:47 PM  all    8.38    0.00    2.00    0.00    0.00    0.46    0.00    0.00    0.00   89.16
07:19:48 PM  all    7.40    0.00    1.89    0.00    0.00    0.55    0.00    0.00    0.00   90.16
07:19:49 PM  all    7.81    0.00    1.76    0.03    0.00    0.49    0.00    0.00    0.00   89.91
07:19:50 PM  all    7.92    0.00    1.56    0.00    0.00    0.49    0.00    0.00    0.00   90.03
07:19:51 PM  all    8.72    0.00    1.94    0.00    0.00    0.49    0.00    0.00    0.00   88.84
07:19:52 PM  all    8.09    0.00    2.06    0.00    0.00    0.49    0.00    0.00    0.00   89.36
07:19:53 PM  all    8.04    0.00    1.93    0.00    0.00    0.52    0.00    0.00    0.00   89.51
07:19:54 PM  all    7.96    0.00    1.83    0.00    0.00    0.36    0.00    0.00    0.00   89.86
07:19:55 PM  all    8.71    0.00    2.09    0.00    0.00    0.39    0.00    0.00    0.00   88.81
07:19:56 PM  all    7.85    0.00    2.17    0.00    0.00    0.52    0.00    0.00    0.00   89.46
07:19:57 PM  all    8.81    0.00    2.05    0.07    0.00    0.42    0.00    0.00    0.00   88.65
07:19:58 PM  all    8.63    0.00    2.03    0.00    0.00    0.36    0.00    0.00    0.00   88.98
07:19:59 PM  all    8.41    0.00    1.73    0.00    0.00    0.49    0.00    0.00    0.00   89.37
07:20:00 PM  all    8.56    0.00    2.30    0.00    0.00    0.33    0.00    0.00    0.00   88.81
07:20:01 PM  all    8.31    0.00    1.91    0.00    0.00    0.40    0.00    0.00    0.00   89.39
07:20:02 PM  all    7.67    0.00    1.71    0.00    0.00    0.43    0.00    0.00    0.00   90.19
07:20:03 PM  all    8.79    0.00    1.97    0.00    0.00    0.59    0.00    0.00    0.00   88.66
07:20:04 PM  all    8.58    0.00    2.26    0.00    0.00    0.49    0.00    0.00    0.00   88.66
07:20:05 PM  all    7.55    0.00    1.77    0.00    0.00    0.56    0.00    0.00    0.00   90.12
07:20:06 PM  all    8.52    0.00    2.05    0.00    0.00    0.46    0.00    0.00    0.00   88.98
07:20:07 PM  all    8.73    0.00    1.97    0.00    0.00    0.46    0.00    0.00    0.00   88.85
07:20:08 PM  all    8.10    0.00    2.29    0.00    0.00    0.59    0.00    0.00    0.00   89.03
07:20:09 PM  all    8.26    0.00    2.15    0.00    0.00    0.49    0.00    0.00    0.00   89.10
07:20:10 PM  all    8.34    0.00    1.92    0.00    0.00    0.46    0.00    0.00    0.00   89.28
07:20:11 PM  all    7.93    0.00    1.99    0.00    0.00    0.39    0.00    0.00    0.00   89.68
07:20:12 PM  all    7.93    0.00    1.76    0.00    0.00    0.69    0.00    0.00    0.00   89.62
07:20:13 PM  all    7.95    0.00    2.00    0.00    0.00    0.48    0.00    0.00    0.00   89.56
07:20:14 PM  all    8.03    0.00    2.22    0.00    0.00    0.33    0.00    0.00    0.00   89.43
07:20:15 PM  all    7.58    0.00    2.02    0.00    0.00    0.42    0.00    0.00    0.00   89.97
07:20:16 PM  all    8.22    0.00    1.85    0.00    0.00    0.49    0.00    0.00    0.00   89.44
07:20:17 PM  all    8.57    0.00    2.00    0.00    0.00    0.29    0.00    0.00    0.00   89.14
07:20:18 PM  all    8.42    0.00    2.15    0.00    0.00    0.42    0.00    0.00    0.00   89.01
07:20:19 PM  all    8.55    0.00    2.20    0.00    0.00    0.36    0.00    0.00    0.00   88.89
07:20:20 PM  all    7.67    0.00    1.77    0.00    0.00    0.33    0.00    0.00    0.00   90.23
07:20:21 PM  all    7.58    0.00    1.63    0.00    0.00    0.33    0.00    0.00    0.00   90.46
07:20:22 PM  all    7.77    0.00    1.83    0.00    0.00    0.42    0.00    0.00    0.00   89.98
07:20:23 PM  all    8.10    0.00    1.83    0.00    0.00    0.65    0.00    0.00    0.00   89.42
07:20:24 PM  all    7.47    0.00    1.74    0.00    0.00    0.43    0.00    0.00    0.00   90.37
07:20:25 PM  all    8.01    0.00    1.90    0.00    0.00    0.42    0.00    0.00    0.00   89.67
07:20:26 PM  all    7.46    0.00    1.73    0.00    0.00    0.42    0.00    0.00    0.00   90.39
07:20:27 PM  all    8.59    0.00    1.97    0.00    0.00    0.36    0.00    0.00    0.00   89.08
07:20:28 PM  all    8.02    0.00    2.23    0.00    0.00    0.36    0.00    0.00    0.00   89.39
07:20:29 PM  all    8.05    0.00    1.66    0.00    0.00    0.42    0.00    0.00    0.00   89.87
07:20:30 PM  all    8.39    0.00    2.39    0.00    0.00    0.39    0.00    0.00    0.00   88.82
07:20:31 PM  all    7.84    0.00    1.89    0.00    0.00    0.36    0.00    0.00    0.00   89.92
07:20:32 PM  all    7.84    0.00    1.97    0.00    0.00    0.43    0.00    0.00    0.00   89.76
07:20:33 PM  all    8.85    0.00    2.10    0.00    0.00    0.52    0.00    0.00    0.00   88.52
07:20:34 PM  all    8.66    0.00    2.11    0.03    0.00    0.63    0.00    0.00    0.00   88.58
07:20:35 PM  all    7.00    0.00    1.53    0.00    0.00    0.42    0.00    0.00    0.00   91.05
07:20:36 PM  all    8.07    0.00    1.83    0.00    0.00    0.56    0.00    0.00    0.00   89.54
07:20:37 PM  all    7.81    0.00    1.78    0.00    0.00    0.49    0.00    0.00    0.00   89.91
