       em4        
 KB/s in  KB/s out
 5687.53   3417.56
 5397.21   3214.21
 4917.65   2961.70
 5065.17   3034.73
 5021.66   3004.32
 5241.67   3129.44
 4932.27   2962.17
 5343.86   3195.78
 5636.51   3364.15
 4761.26   2865.33
 4925.81   2939.11
 4839.02   2911.03
 5737.34   3412.73
 5259.61   3156.86
 5125.64   3060.07
 4841.02   2900.61
 5393.22   3215.82
 4943.13   2972.57
 5083.40   3042.72
 5511.43   3289.85
 5096.22   3065.56
 5645.33   3355.99
       em4        
 KB/s in  KB/s out
 5465.19   3287.56
 5037.08   2998.54
 5797.34   3463.54
 5331.89   3200.06
 5198.30   3132.60
 5196.26   3123.24
 5352.46   3177.69
 5378.35   3217.88
 5139.03   3087.23
 5299.45   3152.23
 4920.37   2986.33
 5465.19   3250.09
 4830.90   2876.39
 5123.58   3075.22
 4787.65   2882.54
 5202.59   3092.91
 5400.30   3246.16
 5117.00   3057.78
 4984.20   2973.42
 5049.85   3019.46
 4691.25   2827.68
 4851.55   2895.06
       em4        
 KB/s in  KB/s out
 5159.37   3096.35
 4901.47   2954.02
 5166.08   3060.12
 4705.70   2831.82
 5557.52   3311.43
 5253.94   3139.22
 4879.04   2924.36
 5512.74   3324.12
 4808.38   2861.90
 4984.19   2990.60
 5709.04   3394.33
 5197.61   3112.31
 4434.60   2664.32
 5192.14   3131.75
 5271.95   3163.60
 4873.17   2921.20
 5112.72   3031.85
 5198.40   3118.46
 4817.86   2882.27
 5351.54   3225.19
 4487.84   2685.31
 4541.16   2713.83
       em4        
 KB/s in  KB/s out
 5409.09   3219.32
 5168.74   3076.27
 4427.03   2685.95
 5341.18   3155.12
 4666.83   2834.25
 5061.07   3007.57
 4612.52   2784.65
 4775.99   2862.57
 5156.77   3047.98
 4970.32   2995.46
 5622.84   3371.20
 4958.24   2976.89
 5208.24   3100.76
 4966.03   2988.45
 5001.73   3012.34
 5551.88   3291.24
 5113.18   3087.25
 5500.22   3286.29
 4960.04   2995.87
 5103.69   3046.71
 4936.51   2953.14
 5056.49   3009.92
       em4        
 KB/s in  KB/s out
 5047.77   3050.83
 5302.25   3166.35
 4650.45   2781.50
 4734.50   2819.90
 4987.42   3005.18
 5173.66   3075.92
 4929.78   2959.29
 5115.09   3071.76
 5087.73   3037.02
 4364.38   2637.10
 5445.75   3246.03
 4757.81   2836.69
 4807.79   2892.89
 5205.76   3132.93
 5263.05   3145.22
 4718.49   2829.50
 4935.04   2947.58
 4723.51   2834.12
 5056.28   3019.15
 4996.18   3007.87
 4770.08   2882.20
 4829.09   2874.00
       em4        
 KB/s in  KB/s out
 5106.92   3063.54
 4856.53   2894.83
 5324.97   3183.64
 4965.35   2974.38
 5086.39   3077.41
 4934.06   2934.30
 5102.61   3041.37
 4470.01   2693.07
 4388.15   2641.00
 4974.06   2972.09
 4901.05   2919.52
 4714.51   2857.18
 4605.93   2759.27
 5011.41   2992.60
 4927.68   2943.28
 5269.66   3135.12
 4443.56   2692.47
 5458.69   3269.76
 5061.70   3034.97
 5002.20   2981.39
 4719.08   2843.33
 4666.12   2775.57
       em4        
 KB/s in  KB/s out
 4981.33   2992.05
 4621.65   2763.78
 4918.23   2974.38
 5198.96   3116.48
 5323.63   3166.00
 4570.96   2748.00
 5052.67   2998.75
 4574.68   2745.20
 4686.94   2830.38
 5004.23   3030.79
 4998.13   2972.95
 4458.61   2668.55
 4837.79   2902.83
 4959.09   2956.46
 4879.12   2905.32
 4685.35   2816.43
 5139.96   3128.38
 5344.52   3185.67
 5229.72   3119.76
 5294.83   3170.61
 4850.70   2919.10
 4940.41   2934.03
       em4        
 KB/s in  KB/s out
 4558.71   2746.30
 4653.39   2838.01
 4853.18   2880.19
 4754.52   2853.44
 4532.14   2723.11
 4860.02   2878.17
 4828.32   2896.73
 4984.81   2977.01
 4817.16   2940.62
 5198.99   3096.02
 5358.58   3186.20
 4487.53   2704.92
 4926.87   2959.87
 5022.89   2990.89
 4294.96   2620.38
 5104.49   3037.69
 4974.97   2986.14
 4886.72   2918.84
 4849.81   2889.45
 4930.48   2970.04
 5287.28   3145.93
 4688.01   2885.56
       em4        
 KB/s in  KB/s out
 5184.91   3061.39
 4692.30   2825.23
 5041.74   3019.69
 4824.13   2883.16
 5106.99   3029.69
 4790.40   2879.84
