Linux 3.16.0-51-generic (dss-compute-1) 	10/27/2015 	_x86_64_	(32 CPU)

08:21:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:21:04 PM  all   17.19    0.00    4.62    0.00    0.00    0.51    0.00    0.00    0.00   77.68
08:21:05 PM  all   16.76    0.00    4.73    0.00    0.00    0.57    0.00    0.00    0.00   77.94
08:21:06 PM  all   16.40    0.00    4.54    0.00    0.00    0.60    0.00    0.00    0.00   78.46
08:21:07 PM  all   16.12    0.00    4.67    0.00    0.00    0.67    0.00    0.00    0.00   78.54
08:21:08 PM  all   16.67    0.00    4.76    0.03    0.00    0.82    0.00    0.00    0.00   77.72
08:21:09 PM  all   17.58    0.00    5.80    0.78    0.00    0.64    0.00    0.00    0.00   75.19
08:21:10 PM  all   15.66    0.00    4.15    0.00    0.00    0.64    0.00    0.00    0.00   79.56
08:21:11 PM  all   16.48    0.00    4.10    0.00    0.00    0.54    0.00    0.00    0.00   78.89
08:21:12 PM  all   17.21    0.00    4.63    0.03    0.00    0.61    0.00    0.00    0.00   77.52
08:21:13 PM  all   17.03    0.00    5.44    0.00    0.00    0.64    0.00    0.00    0.00   76.88
08:21:14 PM  all   17.89    0.00    5.47    0.00    0.00    0.64    0.00    0.00    0.00   76.00
08:21:15 PM  all   15.03    0.00    4.26    0.00    0.00    0.60    0.00    0.00    0.00   80.12
08:21:16 PM  all   17.34    0.00    6.42    0.00    0.00    0.77    0.00    0.00    0.00   75.47
08:21:17 PM  all   15.10    0.00    4.14    0.00    0.00    0.43    0.00    0.00    0.00   80.32
08:21:18 PM  all   15.01    0.00    3.66    0.03    0.00    0.50    0.00    0.00    0.00   80.79
08:21:19 PM  all   18.88    0.00    6.04    0.00    0.00    0.77    0.00    0.00    0.00   74.31
08:21:20 PM  all   17.99    0.00    4.93    0.00    0.00    0.61    0.00    0.00    0.00   76.47
08:21:21 PM  all   17.60    0.00    4.68    0.00    0.00    0.50    0.00    0.00    0.00   77.22
08:21:22 PM  all   16.70    0.00    4.52    0.00    0.00    0.57    0.00    0.00    0.00   78.21
08:21:23 PM  all   16.39    0.00    4.05    0.00    0.00    0.54    0.00    0.00    0.00   79.02
08:21:24 PM  all   17.63    0.00    5.12    0.07    0.00    0.54    0.00    0.00    0.00   76.64
08:21:25 PM  all   16.54    0.00    5.03    0.00    0.00    0.57    0.00    0.00    0.00   77.86
08:21:26 PM  all   15.46    0.00    4.45    0.03    0.00    0.51    0.00    0.00    0.00   79.55
08:21:27 PM  all   17.13    0.00    4.68    0.00    0.00    0.67    0.00    0.00    0.00   77.52
08:21:28 PM  all   16.46    0.00    4.21    0.00    0.00    0.54    0.00    0.00    0.00   78.79
08:21:29 PM  all   17.29    0.00    4.67    0.00    0.00    0.60    0.00    0.00    0.00   77.43
08:21:30 PM  all   17.45    0.00    4.73    0.00    0.00    0.71    0.00    0.00    0.00   77.11
08:21:31 PM  all   14.62    0.00    4.36    0.00    0.00    0.67    0.00    0.00    0.00   80.35
08:21:32 PM  all   16.67    0.00    4.74    0.00    0.00    0.57    0.00    0.00    0.00   78.02
08:21:33 PM  all   16.83    0.00    3.88    0.00    0.00    0.61    0.00    0.00    0.00   78.68
08:21:34 PM  all   17.09    0.00    5.17    0.03    0.00    0.50    0.00    0.00    0.00   77.21
08:21:35 PM  all   16.21    0.00    4.79    0.00    0.00    0.57    0.00    0.00    0.00   78.43
