       em4        
 KB/s in  KB/s out
497891.3   3552.67
475148.8   3414.09
493939.8   3522.72
475481.0   3339.89
483001.4   3492.86
477804.7   3400.51
469619.9   3351.25
485690.7   3429.25
496220.1   3539.38
493848.4   3517.08
505545.1   3592.10
456533.5   3337.15
441649.2   3152.23
446406.7   3199.81
444199.3   3216.94
486825.8   3497.27
482407.7   3502.63
504948.0   3619.40
463834.3   3394.87
468610.4   3373.56
512920.3   3628.40
478077.5   3405.56
       em4        
 KB/s in  KB/s out
447976.8   3238.45
489961.6   3486.91
483921.0   3429.87
465901.5   3329.80
492742.9   3519.44
438797.5   3161.68
495367.8   3579.76
473934.9   3421.23
473376.1   3395.43
477063.1   3387.55
467080.7   3268.80
473947.8   3338.82
460759.9   3336.79
462753.0   3313.96
470487.1   3340.55
543207.2   3854.00
530324.5   3846.97
454623.4   3283.93
469576.3   3390.83
457971.0   3287.03
470655.3   3361.79
478305.0   3399.86
       em4        
 KB/s in  KB/s out
494198.0   3511.01
513188.4   3642.52
438333.8   3156.79
446863.7   3197.00
478312.2   3402.26
484365.1   3416.48
485516.2   3518.32
523865.1   3705.21
496845.2   3649.25
466894.8   3416.39
470559.5   3389.55
457006.2   3270.33
486476.5   3490.83
491963.6   3518.03
461597.5   3307.15
455661.0   3297.86
499186.8   3548.96
467059.5   3332.50
483564.0   3447.17
452499.8   3201.17
491691.7   3564.57
468965.5   3368.82
       em4        
 KB/s in  KB/s out
481122.1   3446.95
433059.6   3158.01
530725.8   3790.89
452544.0   3248.30
494080.2   3528.64
517053.0   3693.75
515958.7   3684.72
479636.7   3488.62
468250.8   3377.22
540796.3   3832.94
475479.9   3474.80
490087.4   3496.01
491328.6   3568.16
460480.4   3314.31
480602.3   3465.94
474799.0   3442.00
507663.6   3635.93
465795.1   3363.20
552628.5   3924.07
466144.8   3393.11
494011.0   3539.44
529457.5   3789.36
       em4        
 KB/s in  KB/s out
478566.1   3449.75
482904.6   3472.79
506441.0   3661.28
457444.8   3332.82
449109.5   3229.45
495886.6   3549.11
452287.3   3239.79
430925.4   3247.09
489038.0   3556.49
463185.5   3376.29
499181.7   3625.47
477333.1   3415.17
537721.7   3853.44
478055.1   3453.76
462867.7   3353.29
561163.2   4087.63
527818.3   3827.33
464952.4   3385.55
524490.4   3749.03
541402.7   3857.97
495573.9   3580.91
477477.3   3413.62
       em4        
 KB/s in  KB/s out
467198.7   3398.78
467935.1   3390.94
493642.1   3576.97
449878.8   3196.90
510664.2   3689.49
492914.9   3514.59
508720.9   3718.64
476097.7   3412.63
546959.3   3997.35
483203.4   3438.39
465746.9   3359.54
