       em4        
 KB/s in  KB/s out
    0.25      0.00
    0.78      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.19      0.14
    0.39      0.00
    0.12      0.00
    0.06      0.00
    5.98      8.40
    9.23     44.53
    1.42      2.28
    1.36      1.15
    0.66      0.80
    0.12      0.00
    0.52      0.14
    0.12      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.56      0.16
    0.06      0.00
       em4        
 KB/s in  KB/s out
    0.06      0.00
   38.92     22.74
   13.74     15.07
    0.41      0.14
    2.85      4.07
    0.47      0.32
    0.49      0.80
    0.35      0.21
    0.13      0.05
    0.12      0.00
    0.33      0.16
    0.26      0.11
    0.45      0.00
    0.40      0.30
    0.06      0.00
    0.00      0.00
    0.00      0.00
    0.07      0.05
    0.74      0.85
    9.46     28.06
    4.83     25.20
    0.75      0.94
       em4        
 KB/s in  KB/s out
    0.74      0.05
    0.22      0.24
    0.14      0.11
    0.13      0.05
    0.06      0.00
    1.14      1.54
    1.16      1.61
    0.12      0.00
    0.12      0.00
    0.22      0.10
    0.13      0.05
    0.07      0.14
    0.00      0.00
    0.33      0.00
    0.33      0.00
    0.33      0.00
    2.99      4.39
    0.30      1.01
    0.27      0.00
    0.14      0.11
    0.48      0.11
    0.20      0.19
       em4        
 KB/s in  KB/s out
    0.06      0.00
    0.41      0.21
    0.19      0.05
    0.19      0.05
    0.33      0.16
    0.20      0.11
    0.06      0.00
    0.33      0.00
    0.22      0.11
    0.80      0.14
    0.06      0.00
    0.06      0.00
    0.06      0.00
    9.93     28.98
    4.76     25.11
    0.99      0.67
    1.08      1.34
    1.05      1.54
    0.07      0.05
    0.13      0.14
    0.39      0.00
    0.06      0.00
       em4        
 KB/s in  KB/s out
    0.39      0.00
    0.12      0.04
    0.73      0.00
    0.00      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.23      0.24
    0.12      0.00
    3.38      4.39
    0.83      0.96
    0.26      0.11
    0.19      0.05
    0.45      0.00
    0.55      0.06
    0.12      0.00
    0.12      0.00
    0.52      0.14
    0.12      0.00
    4.78      8.46
    8.55     42.63
    2.12      3.08
       em4        
 KB/s in  KB/s out
    1.22      0.89
    0.58      0.25
