Linux 3.16.0-51-generic (dss-compute-1) 	10/26/2015 	_x86_64_	(32 CPU)

04:07:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:07:36 PM  all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
04:07:37 PM  all    0.00    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.91
04:07:38 PM  all    0.03    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.91
04:07:39 PM  all    0.31    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.66
04:07:40 PM  all    0.28    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.62
04:07:41 PM  all    1.75    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   98.12
04:07:42 PM  all    0.25    0.00    0.09    0.00    0.03    0.03    0.00    0.00    0.00   99.59
04:07:43 PM  all    0.25    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.62
04:07:44 PM  all    0.13    0.00    0.06    0.00    0.00    0.00    0.00    0.00    0.00   99.81
04:07:45 PM  all    0.22    0.00    0.16    0.00    0.00    0.00    0.00    0.00    0.00   99.62
04:07:46 PM  all    0.19    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.69
04:07:47 PM  all    0.06    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.84
04:07:48 PM  all    0.06    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.91
04:07:49 PM  all    0.06    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.91
04:07:50 PM  all    0.09    0.00    0.09    0.00    0.00    0.00    0.00    0.00    0.00   99.81
04:07:51 PM  all    0.06    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.91
04:07:52 PM  all    1.34    0.00    0.47    0.00    0.00    0.00    0.00    0.00    0.00   98.19
04:07:53 PM  all    4.12    0.00    4.50    0.00    0.00    0.13    0.00    0.00    0.00   91.25
04:07:54 PM  all    3.75    0.00    5.33    0.00    0.00    0.16    0.00    0.00    0.00   90.76
04:07:55 PM  all    4.75    0.00    6.96    0.00    0.00    0.16    0.00    0.00    0.00   88.13
04:07:56 PM  all    4.61    0.00    5.23    0.00    0.00    0.13    0.00    0.00    0.00   90.03
04:07:57 PM  all    4.18    0.00    6.65    0.00    0.00    0.26    0.00    0.00    0.00   88.91
04:07:58 PM  all    4.22    0.00    8.58    0.00    0.00    0.06    0.00    0.00    0.00   87.13
04:07:59 PM  all    3.43    0.00    4.49    0.00    0.00    0.10    0.00    0.00    0.00   91.98
04:08:00 PM  all    4.48    0.00    7.98    0.00    0.00    0.29    0.00    0.00    0.00   87.24
04:08:01 PM  all    4.13    0.00    7.10    0.00    0.00    0.16    0.00    0.00    0.00   88.61
04:08:02 PM  all    3.85    0.00    5.98    0.00    0.00    0.16    0.00    0.00    0.00   90.01
04:08:03 PM  all    4.25    0.00   10.00    0.00    0.00    0.20    0.00    0.00    0.00   85.56
04:08:04 PM  all    3.54    0.00    5.62    0.00    0.00    0.13    0.00    0.00    0.00   90.71
04:08:05 PM  all    3.51    0.00    5.03    0.00    0.00    0.10    0.00    0.00    0.00   91.36
04:08:06 PM  all    3.96    0.00    3.77    0.00    0.00    0.16    0.00    0.00    0.00   92.11
04:08:07 PM  all    3.99    0.00    6.20    0.00    0.00    0.19    0.00    0.00    0.00   89.62
04:08:08 PM  all    4.11    0.00    6.40    0.00    0.00    0.16    0.00    0.00    0.00   89.33
04:08:09 PM  all    3.72    0.00    3.85    0.00    0.00    0.16    0.00    0.00    0.00   92.28
