       em4        
 KB/s in  KB/s out
    0.25      0.00
    0.45      0.00
    0.13      0.05
    3.61      3.72
   89.43     74.08
   83.03     69.92
   86.19     71.22
   89.57     74.71
   90.42     75.32
   91.39     77.10
   90.35     74.92
   40.50     34.02
    0.12      0.00
    1.46     13.02
    0.12      0.00
    1.53     16.05
    0.39      0.00
 1315.25   1416.83
 1451.20   1554.12
 1675.56   1788.42
 1598.16   1708.74
 1717.77   1798.28
       em4        
 KB/s in  KB/s out
 1624.00   1728.42
 1397.73   1488.30
 1632.29   1699.79
 1461.98   1558.95
 1531.56   1572.38
 1604.58   1717.82
 1493.04   1573.54
 1481.32   1550.68
 1456.51   1529.47
 1575.14   1653.68
 1569.92   1644.23
 1460.47   1518.63
 1365.81   1439.25
 1523.07   1591.51
 1524.85   1584.26
 1589.02   1632.67
 1449.69   1543.20
 1411.57   1473.77
 1638.88   1672.39
 1509.42   1582.87
 1444.93   1493.46
 1540.02   1614.01
       em4        
 KB/s in  KB/s out
 1422.11   1479.27
 1509.26   1554.14
 1371.83   1428.18
 1603.61   1650.01
 1397.64   1438.28
 1562.64   1593.27
 1559.44   1591.40
 1602.69   1665.49
 1446.14   1500.11
 1480.02   1487.50
 1520.56   1560.90
 1488.61   1569.17
 1477.78   1506.04
 1636.12   1659.09
 1505.40   1525.44
 1458.13   1491.89
 1472.80   1507.04
 1406.47   1462.63
 1622.92   1618.74
 1438.33   1486.43
 1541.95   1566.41
 1495.61   1517.28
       em4        
 KB/s in  KB/s out
 1385.51   1432.86
 1450.11   1459.35
 1360.80   1425.62
 1544.25   1551.86
 1377.00   1403.57
 1311.48   1329.24
 1523.49   1538.50
 1452.65   1492.67
 1376.35   1401.44
 1419.55   1466.45
 1516.99   1514.21
 1558.28   1586.43
 1322.68   1332.92
 1401.37   1425.95
 1490.03   1518.53
 1373.98   1398.95
 1551.59   1601.88
 1372.10   1378.36
 1519.17   1528.43
 1478.49   1493.01
 1358.60   1370.29
 1528.63   1534.15
       em4        
 KB/s in  KB/s out
 1370.95   1403.06
 1782.20   1792.04
 1346.27   1368.92
 1541.92   1546.68
 1523.69   1517.61
 1354.59   1400.92
 1381.77   1389.64
 1436.54   1470.51
 1398.67   1412.40
 1335.67   1339.81
 1560.67   1558.35
 1459.22   1483.26
 1271.30   1286.19
 1465.24   1468.60
 1605.35   1583.78
 1423.49   1470.45
 1434.06   1429.66
 1487.68   1490.40
 1377.94   1396.89
