       em4        
 KB/s in  KB/s out
    0.19      0.00
    0.16      0.10
    0.55      0.30
    1.01      0.55
    1.10      0.68
    1.60      0.70
    0.61      0.41
    0.64      0.54
    0.96      0.33
    0.74      0.44
    0.39      0.00
    0.06      0.00
    0.75      0.23
    1.08      1.52
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.19      0.05
    0.12      0.00
    0.45      0.00
    0.12      0.00
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.39      0.00
    0.06      0.00
    0.39      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.19      0.05
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.39      0.00
    0.45      0.04
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.13      0.05
    0.06      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.19      0.05
    0.12      0.00
    0.45      0.00
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.12      0.00
    0.18      0.04
    0.06      0.00
    0.39      0.00
    0.00      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.52      0.05
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.45      0.00
    0.12      0.00
    0.06      0.00
       em4        
 KB/s in  KB/s out
    0.39      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.28      0.18
    0.19      0.05
    0.12      0.00
    0.12      0.00
    0.78      0.00
    0.23      0.04
    0.18      0.04
    0.06      0.00
    0.06      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.39      0.00
    0.06      0.00
    0.45      0.00
    0.12      0.00
    0.52      0.05
    0.12      0.00
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.04
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.39      0.00
    0.39      0.00
    0.06      0.00
    0.06      0.00
    0.13      0.05
    0.06      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.45      0.00
    0.45      0.00
    0.06      0.00
    0.00      0.00
       em4        
 KB/s in  KB/s out
    0.00      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.13      0.05
    0.39      0.00
    0.06      0.00
    0.06      0.00
    0.39      0.00
    0.12      0.00
    0.45      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.41      0.05
       em4        
 KB/s in  KB/s out
    0.00      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.18      0.04
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.06      0.00
    0.19      0.05
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.19      0.05
    0.12      0.00
    0.06      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
       em4        
 KB/s in  KB/s out
    0.19      0.05
    0.12      0.00
    0.12      0.00
    0.39      0.00
    0.12      0.00
    0.12      0.00
    0.06      0.00
    0.06      0.00
    0.39      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.13      0.05
    0.06      0.00
    0.12      0.00
    0.45      0.00
    0.45      0.00
    0.18      0.04
    0.12      0.00
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.19      0.05
    0.12      0.00
    0.45      0.00
    2.31      2.67
    2.66     16.10
    0.06      0.04
    1.13     16.66
   14.53    387.83
    0.06      0.00
    0.06      0.00
    0.45      0.00
    0.12      0.00
    0.25      0.06
    5.15     18.05
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.52      0.05
    0.12      0.00
    0.12      0.00
    0.71      0.13
    5.66     17.91
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.71      0.40
    0.42      0.16
    6.28     18.28
    0.44      0.20
    0.61      0.31
    0.12      0.00
    0.61      0.30
    0.71      0.40
    6.22     18.23
    0.90      0.77
    0.28      0.10
    0.61      0.30
    0.90      1.61
       em4        
 KB/s in  KB/s out
    1.07      0.56
    7.15     19.35
    0.42      0.30
    0.12      0.00
    0.30      0.20
    0.12      0.00
    0.97      0.60
    6.23     18.35
    0.67      0.31
    0.99      1.34
    0.88      0.50
    0.39      0.20
    0.19      0.06
    5.73     18.04
    0.51      0.24
    0.39      0.21
    0.22      0.10
    0.39      0.20
    0.68      0.38
    5.80     18.22
    0.18      0.16
    2.43      2.53
       em4        
 KB/s in  KB/s out
    2.27      2.42
    2.00      4.75
    0.57      0.26
    6.02     18.14
    0.67      0.49
    0.22      0.10
    1.45      2.07
    0.06      0.00
    0.19      0.06
    5.33     17.77
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.00      0.00
    5.41     17.84
    0.07      0.05
    0.06      0.00
    0.06      0.00
    0.12      0.00
    0.25      0.06
    5.53     17.84
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.06      0.00
    0.06      0.00
    0.00      0.00
    0.13      0.06
    5.41     17.84
    0.00      0.00
    0.06      0.00
    0.06      0.00
    0.13      0.05
    0.25      0.06
    5.53     17.84
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.25      0.06
    5.53     17.84
    0.12      0.00
    0.06      0.00
    0.39      0.00
    0.06      0.00
       em4        
 KB/s in  KB/s out
    0.46      0.06
    5.47     17.84
    0.13      0.05
    0.06      0.00
    0.06      0.00
    0.39      0.00
    0.19      0.06
    5.53     17.88
    0.06      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.25      0.06
    5.60     17.91
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.19      0.05
    0.19      0.06
    6.13     17.84
    0.12      0.00
    0.12      0.00
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.12      0.00
    0.25      0.06
    5.86     17.84
    0.12      0.00
    0.12      0.00
    0.06      0.00
    0.12      0.00
    0.25      0.06
    5.86     17.84
    0.19      0.05
    0.12      0.00
    0.12      0.00
    0.06      0.00
    0.19      0.06
    5.47     17.84
    0.06      0.00
    0.06      0.00
    0.12      0.00
    0.39      0.00
    0.25      0.06
    5.53     17.99
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.19      0.05
    0.71     11.88
    5.14      6.10
    0.12      0.00
    0.12      0.00
    0.18      0.04
    0.12      0.00
    0.85      0.00
    5.13     17.91
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.71     16.73
    5.40      1.18
    0.19      0.05
    0.12      0.00
    0.06      0.00
    0.12      0.00
       em4        
 KB/s in  KB/s out
    1.67     16.73
    4.16      1.22
    0.39      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    3.28     17.16
    2.83      0.81
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.19      0.05
    4.08     17.47
    1.69      0.44
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    4.08     17.47
    1.69      0.44
    0.12      0.00
    0.12      0.00
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.45      0.00
    5.99     18.33
    0.18      0.00
    0.52      0.05
    0.45      0.00
    0.12      0.00
    0.18      0.06
    4.05     15.73
    0.18      0.04
    0.12      0.00
    0.45      0.00
    0.12      0.00
    1.54     16.72
    4.10      1.18
    0.12      0.00
    0.12      0.00
    0.39      0.00
    0.06      0.00
    2.96     18.60
    3.10      0.81
    0.06      0.00
       em4        
 KB/s in  KB/s out
    0.06      0.00
    0.39      0.00
    0.06      0.00
    3.01     19.86
    2.77      0.81
    0.06      0.00
    0.06      0.00
    0.00      0.00
    0.00      0.00
    3.98     21.30
    2.20      0.62
    0.06      0.00
    0.19      0.05
    0.12      0.00
    0.12      0.00
    5.33     24.44
    1.03      0.18
    0.12      0.00
    0.33      0.00
    0.00      0.00
    0.00      0.00
    3.08     25.13
       em4        
 KB/s in  KB/s out
    2.71      0.96
    0.00      0.00
    0.00      0.00
    0.00      0.00
    0.00      0.00
    3.68     26.52
    2.98      0.88
    0.33      0.00
    0.39      0.00
    0.06      0.00
    0.12      0.04
    0.25      0.06
    6.31     28.65
    0.12      0.00
    0.06      0.00
    0.39      0.00
    0.39      0.00
    0.06      0.00
    6.17     29.84
    0.06      0.00
    0.13      0.05
    0.06      0.00
       em4        
 KB/s in  KB/s out
    0.06      0.00
    0.19      0.06
    6.25     32.46
    0.06      0.00
    0.45      0.00
    0.12      0.00
    0.45      0.00
    0.25      0.06
    0.72      0.39
    1.56      0.77
    1.36      1.26
    0.90      1.52
    1.23      0.74
    0.52      0.49
    0.92      4.64
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.62      0.30
    1.81      4.88
    0.35      0.21
       em4        
 KB/s in  KB/s out
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.54      0.64
    1.21      0.50
    0.28      0.12
    0.28      0.12
    3.73      3.17
    5.51     17.05
    1.43      0.63
    0.35      0.28
    0.12      0.00
    0.19      0.05
    0.61      0.30
    1.46      1.83
    0.06      0.00
    0.39      0.00
    0.12      0.04
    0.52      0.13
    0.06      0.00
    0.33      0.00
    0.33      0.00
       em4        
 KB/s in  KB/s out
    0.00      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    1.01      0.57
    1.00      0.63
    1.21      1.12
    0.59      0.00
    0.55      0.30
    0.77      0.47
    0.82      0.50
    0.49      0.31
    0.66      0.40
    0.23      0.43
    0.39      0.38
    0.62      0.49
    0.26      0.18
    1.35      1.05
    1.11      1.70
    1.11      0.65
    0.65      0.50
       em4        
 KB/s in  KB/s out
    0.29      0.12
    0.91      0.49
    0.61      0.47
    0.06      0.00
    0.84      0.82
    0.56      0.21
    0.56      0.19
    0.16      0.15
    0.56      0.51
    0.72      0.85
    0.74      0.69
    2.32      2.19
    1.05      1.15
    0.53      0.05
    0.00      0.00
    1.43      0.92
  173.24     43.37
   23.36     24.62
    0.81      0.68
    0.42      0.30
    0.12      0.00
    0.06      0.00
       em4        
 KB/s in  KB/s out
    0.39      0.32
    0.06      0.00
    3.15     16.48
    1.64      0.43
    0.00      0.00
    0.00      0.00
    0.19      0.13
    0.19      0.06
    0.12      0.00
    0.12      0.00
    0.18      0.04
    0.12      0.00
    0.45      0.00
    0.25      0.13
    0.12      0.00
    0.06      0.00
    0.47      0.14
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.39      0.00
    0.07      0.05
       em4        
 KB/s in  KB/s out
    0.00      0.00
    0.13      0.13
    0.00      0.00
    0.00      0.00
    0.07      0.14
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.06      0.00
    0.39      0.00
    0.12      0.00
    0.19      0.13
    0.12      0.00
    0.45      0.00
    0.26      0.19
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.18      0.04
    0.12      0.00
    0.25      0.13
       em4        
 KB/s in  KB/s out
    0.12      0.00
    0.45      0.00
    0.19      0.14
    0.06      0.00
    0.23      0.04
    0.12      0.00
    0.12      0.00
    0.25      0.09
    0.12      0.00
    0.25      0.13
    0.12      0.00
    0.12      0.00
    0.25      0.18
    0.12      0.00
    0.12      0.00
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    3.67     16.87
    0.12      0.00
    0.12      0.00
       em4        
 KB/s in  KB/s out
    0.26      0.19
    0.12      0.00
    0.25      0.06
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.06      0.00
    0.12      0.06
    0.12      0.00
    0.12      0.00
    0.19      0.14
    0.45      0.00
    0.12      0.00
    0.12      0.00
    0.12      0.00
    0.41      0.22
    0.61      0.59
    9.81      9.00
   53.74     45.66
   50.86     41.97
   56.48     47.56
   53.62     43.83
       em4        
 KB/s in  KB/s out
   52.46     42.95
   55.52     45.53
   54.63     59.21
   58.91     64.19
   57.40     45.69
   59.04     48.18
   58.73     46.72
   52.54     43.05
   53.92     43.50
   14.61     27.88
    5.01      1.45
    0.06      0.00
    0.12      0.00
    0.12      0.00
 1589.74   1622.52
 1108.98   1335.10
 1407.13   1526.05
 1674.01   1770.82
 1471.55   1570.71
 1446.92   1591.85
 1448.44   1605.39
 1434.91   1553.31
       em4        
 KB/s in  KB/s out
 1482.73   1629.48
 1634.69   1678.53
 1364.55   1506.92
 1633.29   1705.30
 1432.91   1605.23
 1605.56   1679.43
 1670.70   1783.05
 1485.75   1561.13
 1457.72   1513.20
 1354.21   1457.72
 1529.13   1687.71
 1691.21   1795.54
 1522.56   1593.58
 1557.14   1688.73
 1496.54   1571.81
 1498.21   1609.09
 1533.12   1634.39
 1627.12   1673.32
 1675.00   1760.18
 1437.73   1558.53
 1725.85   1789.94
 1314.99   1435.93
       em4        
 KB/s in  KB/s out
 1431.46   1538.88
 1501.37   1555.70
 1560.87   1621.57
 1812.48   1871.75
 1429.37   1517.11
 1807.09   1878.13
 1466.51   1549.68
 1620.54   1671.82
 1659.79   1697.04
 1610.26   1691.40
 1534.83   1643.34
 1370.15   1411.64
 1488.24   1569.28
 1343.26   1374.03
 1522.74   1582.09
 1662.65   1728.56
 1385.56   1459.28
 1599.61   1660.93
 1529.33   1576.51
 1667.53   1701.92
 1481.10   1522.18
 1630.48   1682.88
       em4        
 KB/s in  KB/s out
 1583.36   1638.90
 1534.77   1615.23
 1585.67   1632.18
 1642.68   1690.15
 1461.25   1496.45
 1340.21   1390.01
 1683.82   1706.12
 1600.93   1641.35
 1411.36   1486.46
 1761.57   1808.43
 1482.08   1531.64
 1550.36   1580.56
 1456.62   1517.48
 1529.18   1548.44
 1601.58   1624.00
 1526.31   1580.43
 1433.03   1483.20
 1452.68   1504.95
 1799.48   1809.14
 1408.62   1459.40
 1542.64   1597.04
 1521.51   1579.21
       em4        
 KB/s in  KB/s out
 1394.06   1438.37
 1671.39   1684.77
 1818.56   1787.09
 1584.93   1655.66
 1433.02   1467.21
 1555.02   1611.91
 1585.62   1617.90
 1829.85   1823.25
 1619.05   1674.88
 1621.23   1654.23
 1488.84   1531.97
 1549.68   1570.87
 1524.44   1550.98
 1413.43   1425.06
 1323.03   1342.66
 1609.04   1629.79
 1484.89   1485.53
 1642.87   1676.18
 1443.37   1474.19
 1469.67   1476.89
 1389.12   1430.94
 1586.24   1591.09
       em4        
 KB/s in  KB/s out
 1612.48   1636.96
 1549.28   1571.10
 1447.22   1508.10
 1395.71   1423.26
 1468.14   1494.52
 1616.74   1621.69
 1736.83   1702.08
 1400.68   1426.46
 1447.60   1515.80
 1470.61   1499.83
 1518.78   1569.76
 1680.04   1662.95
 1546.99   1552.02
 1499.33   1498.05
 1356.35   1406.76
 1523.77   1540.45
 1471.10   1441.63
 1407.40   1434.37
 1548.37   1546.70
 1518.64   1514.65
 1482.13   1501.31
 1722.10   1738.18
       em4        
 KB/s in  KB/s out
 1716.03   1723.32
 1649.13   1663.71
  936.06    922.70
    0.57      0.23
    0.12      0.00
    0.25      0.06
    6.70     48.65
    0.12      0.00
    0.12      0.00
    0.12      0.00
 1198.88   1239.61
 1716.43   1732.96
 1768.84   1784.33
 1480.96   1443.59
 1601.87   1616.95
 1380.80   1388.59
 1502.72   1516.89
 1543.32   1541.22
 1622.17   1606.68
 1547.55   1567.16
 1620.51   1618.85
 1330.46   1322.46
       em4        
 KB/s in  KB/s out
 1732.67   1742.37
