       em4        
 KB/s in  KB/s out
    0.18      0.00
    0.12      0.00
    0.25      0.05
    0.23      0.00
    0.23      0.00
    0.18      0.00
    0.54      0.45
    0.29      0.04
    0.18      0.00
    0.22      0.10
   40.89     32.67
   74.82     60.10
   52.26     42.38
   71.93     57.88
   75.58     60.18
   76.30     61.27
   76.04     61.05
   74.41     81.48
   73.52     59.85
   86.68     69.67
   78.37     82.69
   72.82     58.37
       em4        
 KB/s in  KB/s out
   74.32     59.00
   80.23     65.10
   93.09     74.03
   87.28     70.99
   77.96     80.71
   83.31     66.86
   85.63     69.49
   87.69     69.95
   78.58     63.90
   72.28     58.00
   85.40     86.59
   82.95     66.52
   79.06     64.32
   98.17     78.71
   80.49     64.07
    0.88      0.71
    6.04     23.20
    0.12      0.00
    0.45      0.00
    0.18      0.00
    0.18      0.00
  107.51    809.46
       em4        
 KB/s in  KB/s out
  112.95    763.29
   96.76    735.86
  144.65   1102.56
  104.63    740.68
  138.32   1098.09
  117.62    837.27
  103.75    806.26
  108.89    812.37
   72.02    518.66
  135.43   1029.23
  107.38    742.93
  104.38    759.26
  130.68   1026.97
  133.57    963.04
   83.23    591.07
   63.26    512.60
   75.36    586.23
   93.38    622.44
   86.77    662.85
  140.99   1099.12
  112.30    815.62
   79.61    590.44
       em4        
 KB/s in  KB/s out
  112.64    881.36
  108.50    765.56
  100.55    737.07
   85.13    663.01
  118.25    884.88
  133.94   1031.77
  140.50   1101.16
   92.00    623.18
  122.83    955.71
  117.26    883.16
  103.96    808.03
  152.27   1175.37
  131.18    962.05
  107.49    768.12
   70.21    585.26
   92.06    665.99
  110.68    880.76
  152.99   1109.43
   77.62    589.59
  131.62    986.18
  119.85    884.61
  145.17   1171.38
       em4        
 KB/s in  KB/s out
   95.52    669.67
  111.09    881.73
  120.82    885.22
  107.93    837.78
  113.55    816.32
  127.18    957.52
  126.54    956.66
  135.08   1030.27
  112.05    880.61
  101.59    769.25
  116.94    884.07
  123.97    888.67
  135.66   1031.17
  128.96    958.58
  169.75   1322.73
   92.99    698.39
   50.60    369.79
  116.43    883.13
  136.07   1031.34
  119.63    885.72
  108.53    877.46
  131.46    992.33
       em4        
 KB/s in  KB/s out
  123.24    887.51
   88.56    663.52
   69.76    517.55
   99.24    737.01
  114.96    884.09
  132.41   1003.58
  107.09    811.27
   52.71    437.08
  146.05   1105.33
   93.97    668.48
  110.30    879.33
  138.13   1003.35
   91.55    664.85
  131.23   1026.69
  156.90   1178.78
  133.34   1028.79
  100.94    739.41
  138.39   1071.36
  130.26    959.57
  100.84    804.68
   76.36    522.07
  126.35    957.20
       em4        
 KB/s in  KB/s out
   60.46    443.64
  115.35    855.62
  115.59    882.98
   98.90    737.13
   88.60    663.89
  146.47   1105.58
   60.22    444.17
   72.62    558.75
  158.01   1179.17
  120.83    952.46
  142.01   1037.38
   90.77    665.78
   95.39    734.97
  177.24   1326.48
  110.88    857.00
  144.82   1103.98
  136.31   1031.07
  118.14    884.82
  108.27    811.68
  127.15    958.06
  167.61   1298.65
  154.40   1178.32
       em4        
 KB/s in  KB/s out
  116.00    883.11
  138.56   1097.81
  144.23   1036.72
  152.37   1176.61
  142.36   1081.85
  110.16    879.85
   85.44    595.23
  116.23    884.32
  101.73    739.53
  141.56   1102.38
  141.29   1058.67
  129.50    983.35
  137.95   1030.77
  140.35    970.65
  180.60    553.38
  147.23    397.61
  218.61   1041.94
  162.28   1165.87
   95.82    736.00
  130.40   1027.19
  122.93    887.18
  130.72   1027.87
       em4        
 KB/s in  KB/s out
  115.53    816.32
  120.64   1005.89
  127.97    889.84
  112.10    879.30
  113.28    816.03
   99.99    737.22
  110.42    880.20
  102.82    740.60
  161.49   1235.63
  108.47    811.70
  108.45    811.44
  129.34   1024.89
  147.73   1107.42
  133.96    961.87
  172.08   1367.31
  126.27    901.50
   91.47    733.49
   54.88    371.89
   87.54    663.06
   93.19    732.31
   78.52    523.23
  144.00   1159.24
       em4        
 KB/s in  KB/s out
  137.28   1032.65
  121.52    886.02
   69.82    517.15
  138.71   1030.42
  126.53   1024.39
  175.26   1351.62
  157.14   1145.51
   71.69    517.82
  137.97   1100.01
  115.17    882.46
  112.98    815.97
  121.76    955.35
  118.71    877.44
  126.36    958.09
  101.35    739.57
  105.07    809.38
  105.99    810.11
  127.98    959.31
  148.41   1170.52
   82.33    591.19
  144.50   1104.64
   90.22    665.35
       em4        
 KB/s in  KB/s out
  162.28   1249.65
  128.59    959.30
   88.84    664.32
  123.40    950.99
  128.20    958.16
  117.92    884.37
  106.38    809.94
  107.90    810.53
  116.77    883.82
  132.17   1038.97
  128.74    958.04
  130.35    960.62
  108.05    811.13
  146.03   1172.59
  106.59    743.07
   98.39    803.60
  131.46    961.34
  132.09   1027.16
  163.60   1251.43
  124.09    890.08
  117.25    884.18
  101.74    806.09
       em4        
 KB/s in  KB/s out
  152.36   1111.14
  131.52   1028.35
  180.83   1396.27
  114.13    815.22
   80.16    591.78
  132.48   1029.96
  143.27   1103.61
  126.72    958.71
  155.87   1179.08
  121.17    885.52
   93.41    735.67
  120.17    952.45
  143.77   1037.10
  145.87   1103.61
  109.98    897.47
  117.55    884.88
  114.83    816.28
  108.10    810.14
  167.71   1320.20
  133.59    961.59
   98.33    777.43
  114.40    848.98
       em4        
 KB/s in  KB/s out
   79.42    591.25
  156.35   1178.05
  115.65    882.35
  150.27   1108.23
  118.39    883.05
  140.64   1110.98
  128.69    959.11
  123.57    956.41
  128.13    958.68
  154.66   1178.12
  143.40   1103.72
  143.84   1102.80
  174.13   1335.36
  138.40   1033.31
  122.17    953.96
  104.13    743.04
  150.75   1175.36
  197.10   1470.31
   82.74    592.18
   94.18    746.91
  126.39    957.59
   97.05    736.64
       em4        
 KB/s in  KB/s out
  129.59    960.17
  136.51   1031.94
  154.28   1244.10
  143.03   1075.96
  141.34   1090.39
    1.92      1.09
    0.57      0.00
    0.23      0.00
    0.18      0.00
   27.47     27.21
  145.11    146.56
   85.72    101.71
  145.04    151.60
  155.75    164.80
  124.47    125.02
  114.77    120.12
  152.88    173.80
  146.37    155.09
  146.03    148.43
  147.17    160.02
  158.10    164.40
  142.11    162.29
       em4        
 KB/s in  KB/s out
  138.66    171.64
  103.77    108.42
  152.81    155.39
  156.16    158.95
  146.50    150.42
  170.87    203.16
  142.25    140.83
  119.59    117.89
  138.74    140.21
  127.07    131.98
  157.70    158.95
  160.03    200.36
  117.54    115.73
  135.88    149.46
  145.63    147.64
  154.00    158.54
  146.45    155.64
  102.55    129.97
   46.17     45.71
   79.69     82.65
  155.75    163.69
  132.16    139.60
       em4        
 KB/s in  KB/s out
  124.47    129.56
  180.02    216.31
  131.21    138.56
  139.84    147.62
  136.01    139.27
  162.06    161.83
  164.18    167.86
  147.68    184.00
  160.10    164.22
  165.25    166.25
  110.88    115.15
  139.44    149.10
  148.58    151.33
   48.13     79.15
  130.89    145.82
   67.89     65.97
  128.31    130.49
  151.92    157.51
  125.77    130.29
  147.01    180.14
  197.39    199.30
  235.19    229.83
       em4        
 KB/s in  KB/s out
  271.42    267.53
  226.70    220.98
  277.36    283.63
  277.48    302.93
  196.71    198.39
    1.09      0.74
  125.74    137.21
  139.89    143.28
  130.48    136.75
  107.65    140.77
  131.71    134.17
  139.76    151.94
  139.33    144.78
  177.42    178.90
  136.89    150.82
  137.26    176.52
  140.42    138.67
  135.84    142.73
  147.21    151.19
  129.16    136.05
  180.68    191.48
  103.30    139.64
       em4        
 KB/s in  KB/s out
   91.76     94.45
  119.33    122.76
  154.90    164.82
  122.46    124.22
  129.81    134.46
  158.15    192.58
  130.10    145.57
  158.48    165.43
  118.03    119.14
  109.51    116.40
  158.00    168.69
  150.30    157.92
  165.83    210.76
  153.82    162.43
  143.79    148.38
  170.28    182.37
  176.74    182.49
  142.22    149.34
  166.36    207.06
  114.92    119.75
  148.45    159.36
  151.58    157.21
       em4        
 KB/s in  KB/s out
  168.18    179.12
  159.36    166.48
  118.27    162.73
  152.19    167.74
  157.35    174.45
  115.14    122.27
  139.80    143.65
  147.17    152.78
  152.53    196.87
  165.41    172.04
  133.52    134.73
  149.93    150.52
  166.29    182.39
  150.53    159.34
  131.92    167.93
  156.27    182.47
   77.72     82.71
  131.35    134.44
  135.99    139.81
  114.82    125.66
    0.25      0.14
    6.17     51.07
       em4        
 KB/s in  KB/s out
  224.02    224.61
  555.82    560.02
  560.69    562.87
  534.76    541.31
  570.42    585.85
  537.45    584.86
  427.90    429.60
  545.44    556.71
  578.55    589.48
  579.26    590.87
  513.45    549.16
  568.44    593.57
  516.60    522.68
  556.80    572.40
  589.53    616.92
  454.36    454.28
  590.19    629.81
  283.32    296.11
  422.99    456.98
  459.53    453.37
  524.41    532.42
  549.49    555.33
       em4        
 KB/s in  KB/s out
  497.42    520.45
  323.64    329.02
  366.77    382.37
  403.99    424.49
  513.00    523.22
  481.67    477.03
  543.45    585.16
  587.84    581.05
  545.51    557.98
  551.12    558.59
  515.05    540.35
  601.60    603.85
  587.31    623.95
  468.84    480.32
  588.58    596.64
  546.55    551.01
  611.69    613.99
  574.38    579.19
  591.30    615.32
  560.21    572.91
  528.56    527.63
  562.45    590.13
       em4        
 KB/s in  KB/s out
  601.78    609.53
  509.36    533.88
  451.64    486.45
  438.18    450.70
  361.26    364.55
  484.36    495.49
  457.05    474.90
  375.06    400.68
  312.20    365.33
  547.50    541.22
  390.93    401.85
  549.04    582.44
  518.13    524.11
  569.85    572.21
  529.55    582.57
  319.01    328.29
  334.88    329.26
  591.07    590.94
  578.97    593.17
  549.97    561.65
  683.14    730.78
  634.59    638.48
       em4        
 KB/s in  KB/s out
  585.85    590.61
  519.15    525.66
  581.49    596.93
  528.71    537.54
  515.49    569.01
  591.71    605.41
  545.26    550.78
  616.02    621.26
  573.88    579.26
  375.76    393.18
  363.00    362.87
  366.34    413.98
  375.96    390.71
  356.18    362.03
  561.43    548.16
  537.27    572.46
  463.36    465.95
  389.11    434.68
  604.79    616.40
  437.87    445.32
  303.14    315.30
  529.60    535.73
       em4        
 KB/s in  KB/s out
  645.66    655.10
  439.33    480.34
  330.72    328.04
  542.99    538.12
  550.41    556.78
  603.59    623.23
  581.12    593.55
  591.59    647.97
  635.91    630.58
  615.52    617.89
  626.55    629.89
  546.52    561.53
  618.60    632.23
  622.98    667.78
  617.96    625.20
  562.68    586.84
  623.34    635.01
  428.92    433.91
  473.35    479.42
  284.17    312.45
  431.13    442.91
  320.43    318.28
       em4        
 KB/s in  KB/s out
  591.83    597.43
  594.53    590.39
  423.47    429.53
  274.19    280.59
  446.95    493.21
  584.00    600.00
  625.18    634.32
  547.66    552.66
  510.84    519.65
  654.54    659.81
  315.72    346.80
  118.27    119.71
  113.92    104.36
  115.57    106.26
   27.65     25.54
    0.57      0.00
    0.23      0.00
    7.39     54.00
  964.83    964.69
 1735.58   1740.24
 1682.39   1677.17
 1794.73   1778.52
       em4        
 KB/s in  KB/s out
 1718.91   1724.76
 1637.84   1680.34
 1552.22   1549.82
 1652.57   1665.24
 1437.55   1455.00
 1500.28   1502.25
 1599.57   1635.52
 1513.95   1499.92
 1306.18   1347.79
 1538.62   1530.07
 1409.18   1421.80
 1691.87   1695.83
 1471.71   1546.26
 1508.18   1511.09
 1593.29   1603.97
 1563.10   1564.18
 1454.65   1451.06
 1445.84   1444.16
 1640.36   1681.78
 1683.65   1657.17
 1591.97   1582.92
 1516.67   1508.37
       em4        
 KB/s in  KB/s out
 1681.94   1670.95
 1674.07   1677.65
 1683.90   1686.31
 1734.31   1738.06
 1662.95   1670.24
 1656.91   1626.52
 1669.74   1657.02
 1672.86   1656.14
 1637.57   1648.63
 1660.53   1632.48
 1647.35   1616.98
 1566.11   1589.28
 1479.24   1470.96
 1603.40   1573.40
 1472.66   1509.89
 1228.94   1241.16
  928.15    917.89
  949.76    944.60
 1553.26   1543.72
 1216.50   1227.41
 1378.12   1391.24
 1538.55   1528.15
       em4        
 KB/s in  KB/s out
 1627.06   1610.66
 1443.70   1435.56
 1691.98   1705.46
 1555.80   1537.34
 1605.11   1638.72
 1555.90   1540.86
 1434.49   1435.57
 1587.49   1568.65
 1641.79   1635.88
 1687.69   1682.15
 1771.68   1783.67
 1709.29   1701.46
 1782.24   1754.83
 1708.47   1693.43
 1741.95   1738.77
 1683.06   1692.53
 1715.77   1728.81
 1699.60   1710.80
 1779.85   1757.10
 1664.41   1663.86
 1624.28   1613.19
 1592.92   1561.53
       em4        
 KB/s in  KB/s out
 1540.47   1544.00
 1484.87   1466.93
 1503.87   1488.77
 1483.32   1466.83
 1649.34   1627.97
 1310.63   1290.16
 1583.19   1602.74
 1623.67   1581.30
 1730.91   1696.45
 1777.81   1748.68
 1501.73   1507.34
 1606.57   1575.34
 1669.29   1662.26
 1520.82   1540.03
 1646.30   1620.18
 1667.35   1636.71
 1578.28   1570.54
 1733.92   1739.67
 1720.68   1691.59
 1728.55   1744.56
 1722.74   1715.93
 1769.03   1762.86
       em4        
 KB/s in  KB/s out
 1742.10   1732.64
 1721.47   1711.28
 1666.11   1648.32
 1635.76   1624.57
 1762.66   1764.52
 1701.07   1678.62
 1600.09   1564.98
 1731.65   1702.22
 1368.18   1351.31
 1341.16   1323.41
 1417.01   1402.37
 1504.52   1514.84
 1705.51   1683.42
 1596.81   1567.83
 1542.96   1519.88
 1574.54   1538.84
 1654.13   1643.48
 1749.52   1723.25
 1532.53   1554.03
 1610.06   1584.82
 1535.02   1527.57
 1629.12   1604.19
       em4        
 KB/s in  KB/s out
 1698.10   1650.50
 1597.36   1574.23
 1666.76   1660.07
 1697.73   1704.42
 1762.13   1737.07
 1736.88   1719.69
  596.16    581.53
    0.51      0.00
    0.30      0.06
 1492.96   1453.19
 2148.79   2112.06
 2127.62   2082.50
 2178.41   2131.37
 2225.28   2159.17
 2197.57   2150.88
 2141.15   2121.77
 2140.53   2083.09
 1982.67   1986.00
 2110.55   2074.84
 2142.23   2081.79
 2173.57   2163.06
 2160.79   2109.54
       em4        
 KB/s in  KB/s out
 2083.24   2037.96
 2068.79   2000.00
 2174.11   2100.40
 2127.53   2089.38
 2185.66   2139.66
 2059.77   2008.71
 2121.85   2123.01
 2073.74   1997.49
 2040.51   1989.37
 2162.42   2125.60
 2157.98   2106.36
 2118.06   2070.72
 2151.33   2098.95
 2177.06   2122.40
 2107.71   2056.08
 2116.71   2055.39
 2187.39   2139.92
 2114.91   2059.47
 2210.87   2155.03
 2133.99   2087.62
 2095.36   2058.74
 2157.38   2098.08
       em4        
 KB/s in  KB/s out
 2138.96   2071.33
 2132.54   2098.05
 2138.28   2075.73
 1957.76   1900.01
 1923.12   1882.80
 2129.07   2093.55
 2047.47   2000.62
 2074.03   2057.47
 1999.44   1943.23
 2080.71   2028.05
 2066.09   1992.99
 2093.85   2058.41
 2071.83   2037.65
 2136.43   2098.51
 2064.26   2035.41
 2014.94   1929.09
 2131.29   2094.93
 2046.27   2016.82
 2086.46   2025.47
 2129.71   2083.30
 2096.14   2058.78
 2094.94   2034.82
       em4        
 KB/s in  KB/s out
 2077.63   2022.92
 2120.80   2084.77
 1993.16   1941.30
 2114.86   2083.87
 2008.46   1945.31
 2051.50   2002.73
 2089.01   2034.11
 2171.29   2093.14
 2159.42   2095.48
 2169.89   2135.11
 2031.18   1979.58
 2076.59   2031.65
 2092.43   2044.64
 1980.61   1983.11
 2084.83   2045.19
 2015.12   1956.28
 2122.61   2091.52
 2056.77   2002.27
 2088.86   2012.93
 2081.94   2038.29
