Linux 3.16.0-51-generic (dss-compute-1) 	10/27/2015 	_x86_64_	(32 CPU)

09:24:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:24:05 PM  all   35.72    0.00    6.64    0.03    0.00    2.17    0.00    0.00    0.00   55.43
09:24:06 PM  all   17.15    0.00    3.24    0.00    0.00    0.74    0.00    0.00    0.00   78.87
09:24:07 PM  all   14.87    0.00    3.32    0.00    0.00    0.74    0.00    0.00    0.00   81.07
09:24:08 PM  all   19.77    0.00    4.03    0.00    0.00    0.78    0.00    0.00    0.00   75.42
09:24:09 PM  all   18.00    0.00    3.59    0.00    0.00    0.78    0.00    0.00    0.00   77.63
09:24:10 PM  all   19.28    0.00    4.40    0.00    0.00    1.07    0.00    0.00    0.00   75.26
09:24:11 PM  all   17.14    0.00    3.31    0.00    0.00    0.71    0.00    0.00    0.00   78.83
09:24:12 PM  all    5.69    0.00    1.26    0.00    0.00    0.09    0.00    0.00    0.00   92.96
09:24:13 PM  all    5.23    0.00    1.01    0.00    0.00    0.22    0.00    0.00    0.00   93.54
09:24:14 PM  all   11.17    0.00    2.22    0.00    0.00    0.54    0.00    0.00    0.00   86.06
09:24:15 PM  all   12.42    0.00    2.67    0.00    0.00    0.45    0.00    0.00    0.00   84.46
09:24:16 PM  all   22.17    0.00    4.02    0.00    0.00    0.91    0.00    0.00    0.00   72.90
09:24:17 PM  all   29.08    0.00    5.16    0.00    0.03    1.14    0.00    0.00    0.00   64.58
09:24:18 PM  all   18.05    0.00    3.44    0.00    0.00    0.62    0.00    0.00    0.00   77.90
09:24:19 PM  all   22.29    0.00    4.60    0.00    0.00    0.98    0.00    0.00    0.00   72.13
09:24:20 PM  all   12.25    0.00    2.60    0.00    0.00    0.38    0.00    0.00    0.00   84.77
09:24:21 PM  all   15.99    0.00    3.05    0.00    0.00    0.55    0.00    0.00    0.00   80.41
09:24:22 PM  all   34.79    0.00    7.27    0.00    0.00    1.72    0.00    0.00    0.00   56.23
09:24:23 PM  all   14.06    0.00    2.74    0.00    0.00    0.48    0.00    0.00    0.00   82.72
09:24:24 PM  all   19.41    0.00    3.68    0.00    0.00    0.85    0.00    0.00    0.00   76.06
09:24:25 PM  all   24.33    0.00    4.94    0.00    0.00    1.08    0.00    0.00    0.00   69.65
09:24:26 PM  all   22.70    0.00    4.04    0.00    0.00    1.01    0.00    0.00    0.00   72.26
09:24:27 PM  all   18.73    0.00    3.67    0.00    0.00    0.62    0.00    0.00    0.00   76.98
09:24:28 PM  all    8.78    0.00    1.37    0.00    0.03    0.45    0.00    0.00    0.00   89.38
09:24:29 PM  all    1.60    0.00    0.47    0.00    0.00    0.06    0.00    0.00    0.00   97.87
09:24:30 PM  all    4.79    0.00    1.13    0.00    0.00    0.16    0.00    0.00    0.00   93.92
09:24:31 PM  all    2.58    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   96.76
09:24:32 PM  all    4.22    0.00    0.73    0.00    0.00    0.16    0.00    0.00    0.00   94.89
09:24:33 PM  all    1.28    0.00    0.38    0.00    0.00    0.00    0.00    0.00    0.00   98.34
09:24:34 PM  all    6.63    0.00    1.17    0.00    0.00    0.22    0.00    0.00    0.00   91.98
09:24:35 PM  all   15.84    0.00    3.64    0.00    0.00    0.51    0.00    0.00    0.00   80.01
09:24:36 PM  all   15.19    0.00    2.81    0.00    0.03    0.61    0.00    0.00    0.00   81.36
09:24:37 PM  all   26.91    0.00    6.00    0.00    0.00    1.28    0.00    0.00    0.00   65.81
09:24:38 PM  all   24.32    0.00    4.98    0.00    0.00    1.11    0.00    0.00    0.00   69.59
09:24:39 PM  all   31.06    0.00    6.15    0.00    0.00    1.46    0.00    0.00    0.00   61.33
09:24:40 PM  all   22.28    0.00    4.86    0.00    0.00    0.82    0.00    0.00    0.00   72.04
09:24:41 PM  all    6.26    0.00    1.36    0.00    0.00    0.22    0.00    0.00    0.00   92.16
09:24:42 PM  all    6.01    0.00    1.36    0.00    0.00    0.22    0.00    0.00    0.00   92.41
09:24:43 PM  all   18.70    0.00    3.81    0.00    0.00    0.74    0.00    0.00    0.00   76.74
09:24:44 PM  all   21.56    0.00    4.48    0.00    0.00    0.71    0.00    0.00    0.00   73.25
09:24:45 PM  all   21.90    0.00    4.73    0.00    0.00    0.88    0.00    0.00    0.00   72.49
09:24:46 PM  all   19.77    0.00    4.05    0.00    0.00    0.48    0.00    0.00    0.00   75.70
09:24:47 PM  all   10.12    0.00    2.07    0.00    0.00    0.41    0.00    0.00    0.00   87.39
09:24:48 PM  all   16.69    0.00    3.83    0.00    0.00    0.55    0.00    0.00    0.00   78.93
09:24:49 PM  all   14.15    0.00    2.84    0.00    0.00    0.54    0.00    0.00    0.00   82.47
09:24:50 PM  all    4.45    0.00    0.85    0.00    0.00    0.19    0.00    0.00    0.00   94.51
09:24:51 PM  all    4.75    0.00    1.10    0.00    0.00    0.16    0.00    0.00    0.00   93.99
