       em4        
 KB/s in  KB/s out
10382.78  1.13e+06
 6290.26  681013.9
 6329.29  675854.7
 7515.76  819761.6
 7396.51  869135.6
 6312.73  709268.5
 4307.70  526231.5
 1575.86  207169.2
 1614.48  194297.4
 2861.52  404321.0
 3323.52  404671.1
 5784.42  726088.3
 6892.23  900787.7
 5760.24  700377.2
 7240.22  812202.7
 4972.47  609502.8
 6107.46  728175.9
 8040.07  1.01e+06
 4887.86  579504.0
 5891.39  686370.5
 6891.99  773091.3
 7052.42  747571.3
       em4        
 KB/s in  KB/s out
 4708.64  587266.1
 2677.66  304077.5
  438.70  50318.75
 1524.92  178770.5
 1081.62  137560.7
 1244.33  161700.6
  256.20  32131.50
 1593.40  241324.9
 4740.07  629382.5
 4693.39  630400.6
 8758.36  998091.9
 8336.39  999798.1
 8927.11  977737.4
 6411.95  747300.2
 1878.22  222522.4
 1748.41  207173.0
 5985.67  701542.1
 5934.63  676068.3
 5948.79  793876.4
 5706.76  711363.9
 2618.72  351766.6
 4855.32  572010.3
       em4        
 KB/s in  KB/s out
 4456.75  568872.4
 1091.03  156287.9
 1276.69  176617.6
