Linux 3.16.0-51-generic (dss-compute-1) 	10/27/2015 	_x86_64_	(32 CPU)

07:48:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:48:12 PM  all    7.75    0.00    1.98    0.00    0.00    0.35    0.00    0.00    0.00   89.93
07:48:13 PM  all    7.92    0.00    1.91    0.00    0.00    0.44    0.00    0.00    0.00   89.73
07:48:14 PM  all    7.48    0.00    1.88    0.00    0.00    0.41    0.00    0.00    0.00   90.24
07:48:15 PM  all    7.66    0.00    1.63    0.00    0.00    0.35    0.00    0.00    0.00   90.37
07:48:16 PM  all    6.12    0.00    1.63    0.00    0.00    0.47    0.00    0.00    0.00   91.78
07:48:17 PM  all    7.56    0.00    1.69    0.00    0.00    0.47    0.00    0.00    0.00   90.28
07:48:18 PM  all    6.27    0.00    1.42    0.00    0.00    0.38    0.00    0.00    0.00   91.93
07:48:19 PM  all    6.18    0.00    1.45    0.00    0.03    0.47    0.00    0.00    0.00   91.86
07:48:20 PM  all    6.51    0.00    1.45    0.00    0.00    0.28    0.00    0.00    0.00   91.76
07:48:21 PM  all    6.30    0.00    1.63    0.00    0.00    0.38    0.00    0.00    0.00   91.70
07:48:22 PM  all    7.01    0.00    1.69    0.00    0.00    0.25    0.00    0.00    0.00   91.05
07:48:23 PM  all    5.31    0.00    1.33    0.00    0.00    0.22    0.00    0.00    0.00   93.14
07:48:24 PM  all    5.85    0.00    1.51    0.00    0.00    0.38    0.00    0.00    0.00   92.26
07:48:25 PM  all    6.55    0.00    1.57    0.00    0.00    0.31    0.00    0.00    0.00   91.56
07:48:26 PM  all    6.96    0.00    1.69    0.00    0.00    0.28    0.00    0.00    0.00   91.07
07:48:27 PM  all    6.53    0.00    1.85    0.00    0.00    0.31    0.00    0.00    0.00   91.30
07:48:28 PM  all    6.94    0.00    1.63    0.00    0.00    0.38    0.00    0.00    0.00   91.05
07:48:29 PM  all    6.46    0.00    1.83    0.00    0.00    0.35    0.00    0.00    0.00   91.37
07:48:30 PM  all    6.44    0.00    1.79    0.00    0.00    0.41    0.00    0.00    0.00   91.36
07:48:31 PM  all    6.48    0.00    1.79    0.00    0.03    0.22    0.00    0.00    0.00   91.48
07:48:32 PM  all    7.09    0.00    1.72    0.00    0.00    0.41    0.00    0.00    0.00   90.78
07:48:33 PM  all    5.98    0.00    1.45    0.00    0.00    0.35    0.00    0.00    0.00   92.23
07:48:34 PM  all    5.69    0.00    1.45    0.00    0.00    0.35    0.00    0.00    0.00   92.52
07:48:35 PM  all    5.99    0.00    1.69    0.00    0.00    0.41    0.00    0.00    0.00   91.91
07:48:36 PM  all    6.62    0.00    1.44    0.00    0.00    0.22    0.00    0.00    0.00   91.71
07:48:37 PM  all    6.52    0.00    1.61    0.00    0.00    0.22    0.00    0.00    0.00   91.65
07:48:38 PM  all    6.43    0.00    1.76    0.00    0.00    0.25    0.00    0.00    0.00   91.57
07:48:39 PM  all    6.35    0.00    1.72    0.00    0.00    0.34    0.00    0.00    0.00   91.58
07:48:40 PM  all    6.22    0.00    1.63    0.00    0.00    0.25    0.00    0.00    0.00   91.90
07:48:41 PM  all    6.76    0.00    2.01    2.08    0.00    0.31    0.00    0.00    0.00   88.83
07:48:42 PM  all    6.18    0.00    1.76    0.00    0.00    0.50    0.00    0.00    0.00   91.56
07:48:43 PM  all    5.86    0.00    1.51    0.00    0.00    0.38    0.00    0.00    0.00   92.25
07:48:44 PM  all    5.98    0.00    1.42    0.00    0.00    0.25    0.00    0.00    0.00   92.36
07:48:45 PM  all    6.25    0.00    1.66    0.00    0.00    0.31    0.00    0.00    0.00   91.78
07:48:46 PM  all    5.92    0.00    1.57    0.00    0.00    0.38    0.00    0.00    0.00   92.13
07:48:47 PM  all    5.12    0.00    1.51    0.00    0.00    0.38    0.00    0.00    0.00   92.99
07:48:48 PM  all    4.89    0.00    1.19    0.00    0.00    0.31    0.00    0.00    0.00   93.60
07:48:49 PM  all    5.82    0.00    1.61    0.00    0.00    0.32    0.00    0.00    0.00   92.25
07:48:50 PM  all    5.32    0.00    1.35    0.00    0.00    0.22    0.00    0.00    0.00   93.11
07:48:51 PM  all    6.26    0.00    1.85    0.00    0.00    0.28    0.00    0.00    0.00   91.61
07:48:52 PM  all    5.52    0.00    1.17    0.00    0.03    0.44    0.00    0.00    0.00   92.83
07:48:53 PM  all    5.56    0.00    1.60    0.00    0.00    0.31    0.00    0.00    0.00   92.53
07:48:54 PM  all    5.45    0.00    1.36    0.00    0.00    0.25    0.00    0.00    0.00   92.94
07:48:55 PM  all    5.84    0.00    1.47    0.00    0.00    0.31    0.00    0.00    0.00   92.38
07:48:56 PM  all    6.08    0.00    1.57    0.00    0.00    0.25    0.00    0.00    0.00   92.10
07:48:57 PM  all    6.41    0.00    1.42    0.00    0.00    0.25    0.00    0.00    0.00   91.92
07:48:58 PM  all    6.62    0.00    1.58    0.00    0.00    0.38    0.00    0.00    0.00   91.43
07:48:59 PM  all    6.37    0.00    1.58    0.00    0.00    0.38    0.00    0.00    0.00   91.68
07:49:00 PM  all    6.77    0.00    1.38    0.00    0.00    0.28    0.00    0.00    0.00   91.57
07:49:01 PM  all    6.01    0.00    1.75    0.00    0.00    0.22    0.00    0.00    0.00   92.02
07:49:02 PM  all    5.22    0.00    1.45    0.00    0.00    0.38    0.00    0.00    0.00   92.96
07:49:03 PM  all    5.86    0.00    1.61    0.00    0.00    0.44    0.00    0.00    0.00   92.09
07:49:04 PM  all    5.91    0.00    1.48    0.00    0.00    0.38    0.00    0.00    0.00   92.24
07:49:05 PM  all    5.33    0.00    1.36    0.00    0.00    0.22    0.00    0.00    0.00   93.09
07:49:06 PM  all    5.51    0.00    1.54    0.00    0.00    0.25    0.00    0.00    0.00   92.69
07:49:07 PM  all    6.20    0.00    1.64    0.00    0.03    0.28    0.00    0.00    0.00   91.85
