       em4        
 KB/s in  KB/s out
 2929.10   4029.97
 2913.41   3937.57
 2748.19   3679.30
 2822.70   3901.98
 2428.11   3534.76
 2703.21   3836.58
 2480.93   3360.68
 2516.89   3581.40
 2457.29   3481.57
 2397.68   3222.51
 2498.14   3415.65
 2166.15   3186.23
 2313.07   3311.00
 2431.36   3445.70
 2435.58   3343.48
 2533.24   3470.26
 2548.47   3456.36
 2557.41   3543.03
 2516.23   3526.97
 2480.80   3563.62
 2602.44   3092.19
 2245.87   3004.51
       em4        
 KB/s in  KB/s out
 2144.62   2954.44
 2309.45   2923.36
 2396.11   2386.20
 2539.82   2396.52
 2351.67   2237.75
 2331.18   2216.50
 2343.39   2230.95
 2446.28   2318.71
 2448.24   2318.59
 2313.95   2188.49
 2269.22   2144.47
 2346.20   2232.97
 2298.38   2182.37
 2018.18   1933.22
 1855.13   1768.49
 2387.81   2244.97
 2025.39   1912.06
 2304.00   2182.45
 2195.22   2113.85
 2149.17   2021.11
 2152.19   2054.05
 2185.38   2079.63
       em4        
 KB/s in  KB/s out
 2339.40   2204.05
 2445.55   2328.77
 2578.38   2424.83
 2485.96   2377.26
 2439.59   2297.61
 2232.19   2133.94
 2060.89   1937.57
 2404.98   2282.37
 2232.08   2120.89
 2067.98   1961.53
 2162.25   2073.08
 2427.29   2304.46
 2338.70   2215.49
 2159.30   2041.73
 2468.63   2350.07
 2409.22   2286.34
 2373.35   2235.59
 2336.94   2208.69
 2288.57   2183.87
 2333.07   2221.09
 2263.47   2131.85
 1986.63   1886.69
       em4        
 KB/s in  KB/s out
 2173.37   2069.66
 2238.44   2137.10
 2183.30   2060.60
 2278.26   2145.37
 2349.28   2248.06
 2328.54   2202.95
 2340.60   2232.78
 2156.17   2025.89
 2464.15   2350.32
 2409.53   2293.39
 2147.55   2057.61
 2423.88   2273.15
 2385.26   2270.58
 2329.44   2202.39
 2203.46   2096.56
 2289.60   2179.02
 2311.36   2207.76
 2202.81   2067.34
 2168.00   2069.04
 2305.48   2189.16
 2310.16   2191.45
 2309.36   2193.30
       em4        
 KB/s in  KB/s out
 2451.22   2312.17
 2337.17   2211.52
 2228.43   2127.95
 2098.73   1995.64
 2188.42   2076.76
 2286.13   2168.94
 2359.13   2236.27
 2363.81   2249.11
 2193.32   2081.66
 2238.86   2124.09
 2349.84   2228.48
 2271.27   2149.31
 2251.28   2142.24
 1943.89   1843.68
 2310.26   2180.17
 2262.98   2164.54
 2370.26   2203.81
 2481.19   2376.79
 2322.89   2187.33
 2290.11   2171.76
 2278.68   2175.18
 2305.25   2178.16
       em4        
 KB/s in  KB/s out
 2348.60   2249.43
 2346.07   2201.59
 2151.17   2069.46
 2179.00   2076.72
 2197.00   2077.98
 2243.47   2123.88
 2205.35   2113.30
 2091.04   1967.45
 2316.11   2189.74
 2231.70   2118.62
 2286.40   2162.77
 2132.17   2032.13
 2162.41   2063.65
 2182.02   2045.09
 1970.91   1890.57
 2091.00   1972.62
 1930.59   1836.63
 2070.54   1978.90
 2093.51   1990.90
 2250.26   2117.45
 2058.06   1960.14
 2187.11   2100.21
       em4        
 KB/s in  KB/s out
 1801.55   1711.96
 1825.41   1734.55
 2227.63   2112.81
 2243.96   2115.24
 2271.36   2158.87
 2083.63   1976.64
 2275.06   2157.33
 2217.20   2110.46
 2249.82   2108.40
 2173.30   2075.85
 2318.59   2209.28
 2224.67   2114.82
 2177.48   2054.87
 2025.64   1935.80
 2101.88   2015.14
 2342.69   2211.33
 2208.59   2097.45
 2169.15   2060.78
 2049.34   1941.50
 1771.32   1695.25
 2055.22   1944.66
 2101.57   2002.20
       em4        
 KB/s in  KB/s out
 1961.72   1870.05
 2030.40   1931.07
 2111.72   2011.69
 2147.62   2051.18
 2349.33   2224.86
 2360.07   2235.27
 2203.21   2090.11
 2044.96   1966.03
 2258.35   2135.52
 2292.31   2176.47
 2038.72   1940.07
 2087.05   1992.78
 2106.95   2011.90
 2154.58   2044.61
 2156.93   2049.39
 2378.70   2270.63
 2221.77   2125.17
 2176.15   2057.81
 2044.69   1945.46
 1909.46   1836.15
 1961.86   1882.23
 2099.35   2002.26
       em4        
 KB/s in  KB/s out
 1775.24   1677.99
 1858.97   1756.41
 2046.41   1947.07
 2110.70   2016.55
 2150.34   2044.00
 2018.24   1917.59
 2070.49   1984.30
 2137.64   2056.47
 2005.76   1913.70
 1848.96   1760.60
 1840.51   1739.62
 1910.35   1839.46
 1741.74   1648.40
 1901.26   1826.88
 1999.07   1897.70
 2081.62   1978.98
 2148.46   2059.45
 2149.80   2056.04
 2144.68   2049.04
 1923.53   1819.06
 1889.83   1822.69
 1800.47   1709.17
       em4        
 KB/s in  KB/s out
 1938.90   1861.10
 1873.07   1789.59
 1848.45   1755.35
 1774.68   1682.61
 2027.58   1955.09
 2097.98   2006.80
 1982.09   1897.16
 2012.03   1911.57
 1998.37   1906.17
 1792.50   1699.65
 1849.98   1777.49
 1937.17   1851.46
 2017.32   1928.20
 1782.82   1718.40
 1867.72   1775.47
 1855.79   1762.49
 2001.79   1916.21
 1823.08   1740.41
 1878.12   1803.80
 1871.30   1804.36
 1915.74   1808.69
 2079.28   1982.38
       em4        
 KB/s in  KB/s out
 1952.14   1852.81
 1984.65   1904.48
 1841.37   1766.83
 1728.52   1650.28
 1841.43   1747.55
 1710.02   1643.37
 1785.62   1717.21
 1741.48   1648.49
 1818.47   1744.39
 1766.85   1680.15
 1807.16   1717.08
 1916.23   1836.19
 1888.08   1807.70
 1540.16   1478.58
 1637.95   1575.14
 1757.74   1700.75
 1744.75   1667.62
 1847.57   1777.13
 1798.70   1713.54
 1675.10   1600.99
 1709.68   1641.16
 1519.90   1462.27
       em4        
 KB/s in  KB/s out
 1882.68   1790.88
 1742.61   1656.28
 1638.32   1571.40
 1614.79   1545.56
 1568.67   1513.89
 1683.80   1614.05
 1717.90   1656.49
 1880.04   1794.82
 1468.25   1403.51
 1441.74   1386.33
 1529.48   1460.20
 1702.71   1638.37
 1500.51   1434.25
 1806.77   1732.13
 1557.73   1493.95
 1683.69   1618.58
 1529.96   1465.31
 1574.18   1508.49
 1505.08   1437.65
 1783.01   1712.21
 1539.63   1488.35
 1741.93   1672.01
       em4        
 KB/s in  KB/s out
 1771.36   1701.58
 1621.37   1552.41
 1571.37   1510.09
 1639.73   1574.93
 1674.59   1614.80
 1708.42   1631.72
 1758.26   1689.27
 1810.03   1730.74
 1772.11   1691.03
 1509.28   1442.15
 1677.86   1615.44
 1447.10   1392.92
 1440.59   1397.97
 1416.20   1358.61
 1606.29   1523.51
 1657.54   1588.33
 1728.97   1663.22
 1512.93   1449.96
 1388.52   1341.81
 1361.00   1308.63
 1576.75   1530.81
 1476.64   1420.59
       em4        
 KB/s in  KB/s out
 1711.84   1644.31
  942.90    924.90
   63.36     87.85
   59.12     85.99
   63.12     95.07
   55.84     82.51
   21.11     18.08
   16.85      3.68
    5.40      1.24
    3.80     11.51
 2257.91   2102.53
 3006.67   2695.27
 2388.69   2268.74
 2052.70   1984.21
 2076.81   1994.53
 1889.59   1830.99
 1878.46   1811.34
 1886.04   1834.43
 1951.80   1873.08
 1856.96   1797.61
 1779.24   1702.37
 1830.55   1783.79
       em4        
 KB/s in  KB/s out
 1722.95   1665.97
 1789.50   1742.03
 1817.41   1731.23
 2039.54   1963.83
 1715.58   1633.26
 1727.85   1666.92
 1750.07   1683.06
 1779.05   1712.35
 1597.33   1558.47
 1703.18   1639.64
 1651.87   1608.38
 1471.31   1431.05
 1360.41   1322.46
 1666.17   1600.91
 1197.85   1156.91
 1456.16   1409.06
 1602.51   1545.81
 1585.92   1537.91
 1788.53   1723.65
 1513.74   1467.69
 1635.50   1575.61
 1934.77   1856.63
       em4        
 KB/s in  KB/s out
 1553.18   1492.06
 1567.46   1522.96
 1571.73   1520.56
 1595.16   1535.26
 1727.49   1669.03
 1416.75   1357.40
 1589.58   1548.86
 1747.71   1674.28
 1755.81   1698.51
 1792.07   1717.15
 1844.75   1779.58
 1556.84   1521.19
 1583.54   1540.76
 1588.30   1529.02
 1403.10   1362.34
 1642.30   1575.45
 1678.45   1636.95
 1403.12   1363.11
 1706.26   1632.19
 1238.12   1196.60
 1316.68   1269.66
 1400.42   1356.64
       em4        
 KB/s in  KB/s out
 1271.24   1228.46
 1471.87   1430.00
 1737.68   1662.72
 1740.26   1693.48
 1714.75   1657.75
 1172.51   1145.05
 1428.88   1407.73
 1703.65   1641.35
 1439.11   1398.68
 1527.66   1462.35
 1396.99   1349.52
 1707.87   1659.44
 1256.53   1233.54
 1511.57   1465.50
 1705.49   1641.69
 1486.96   1438.31
 1441.71   1402.19
 1437.22   1386.72
 1741.52   1687.78
 1692.62   1623.19
 1504.33   1460.31
 1496.82   1446.56
       em4        
 KB/s in  KB/s out
 1822.29   1762.10
 1788.17   1719.51
 1664.64   1606.04
 1495.67   1467.82
 1717.77   1657.95
 1650.67   1598.73
 1596.66   1538.52
 1640.42   1573.40
 1474.26   1422.42
 1496.69   1454.78
 1557.87   1508.86
 1573.67   1523.44
 1712.32   1664.97
 1752.20   1685.75
 1532.09   1494.13
 1686.79   1637.98
 1731.60   1669.93
 1534.46   1479.74
 1710.93   1633.33
 1400.85   1356.51
 1344.44   1299.12
 1442.94   1399.51
       em4        
 KB/s in  KB/s out
 1538.52   1496.01
 1507.56   1470.18
 1557.10   1502.28
 1357.88   1324.33
 1901.31   1839.81
 1738.58   1683.24
 1517.72   1456.98
 1476.01   1432.49
 1731.57   1679.69
 1527.55   1483.08
 1292.99   1237.78
 1654.54   1612.90
 1526.88   1471.19
 1279.17   1258.08
 1536.15   1503.71
 1625.98   1581.61
 1329.60   1290.06
 1700.47   1651.70
 1757.89   1702.06
 1661.37   1600.72
 1571.34   1544.28
 1596.93   1543.57
       em4        
 KB/s in  KB/s out
 1547.25   1493.13
 1523.02   1468.39
 1746.57   1706.77
 1570.88   1508.38
 1559.96   1520.66
 1484.84   1445.85
 1407.61   1365.51
 1541.71   1501.12
 1614.14   1583.38
 1400.73   1358.17
 1630.44   1573.05
 1555.50   1519.01
 1601.91   1559.30
 1295.91   1242.58
 1692.01   1630.50
 1559.04   1503.54
 1255.90   1219.02
 1466.24   1444.85
 1771.10   1703.37
 1479.95   1441.28
 1354.21   1318.10
 1380.93   1357.70
       em4        
 KB/s in  KB/s out
 1529.37   1494.90
 1519.21   1463.91
 1589.26   1543.82
 1656.43   1607.51
 1639.12   1604.85
 1705.82   1651.15
 1775.64   1715.54
 1156.74   1113.49
 1533.22   1501.86
 1678.59   1626.91
 1158.74   1119.49
 1331.66   1304.06
 1430.69   1386.54
 1135.18   1105.57
 1595.70   1561.29
 1505.72   1466.07
 1430.16   1397.02
 1203.90   1169.79
 1537.94   1489.04
 1745.18   1677.80
 1225.07   1195.16
 1108.29   1097.50
       em4        
 KB/s in  KB/s out
 1482.20   1435.49
 1712.11   1661.22
 1419.15   1369.77
 1329.20   1280.90
 1486.20   1461.96
 1524.50   1490.75
 1362.16   1327.59
 1420.68   1390.42
 1641.40   1593.71
 1590.04   1547.32
 1590.97   1537.05
 1660.48   1604.69
 1594.57   1549.86
 1552.38   1522.42
 1581.87   1545.17
 1641.62   1588.13
 1339.86   1296.51
 1315.01   1296.15
 1372.13   1343.70
 1110.25   1102.40
 1319.23   1277.53
 1573.39   1548.69
       em4        
 KB/s in  KB/s out
 1722.42   1677.29
 1626.65   1572.16
 1432.31   1404.29
 1679.41   1642.80
 1394.80   1364.47
 1585.32   1537.16
 1470.57   1441.25
 1247.56   1217.73
 1350.95   1306.59
 1527.92   1481.51
 1473.02   1425.63
 1452.81   1434.14
 1421.46   1372.68
 1358.98   1334.69
 1606.41   1546.47
 1449.82   1429.27
 1381.86   1335.60
 1117.19   1107.80
 1538.86   1509.68
 1554.31   1518.42
 1639.15   1597.48
 1665.55   1620.75
       em4        
 KB/s in  KB/s out
 1542.62   1491.32
 1603.77   1554.46
 1778.20   1741.80
 1392.68   1341.87
 1291.41   1261.10
 1231.26   1214.47
 1097.59   1082.40
 1309.95   1279.26
  859.55    856.49
 1457.17   1410.29
 1465.14   1448.53
 1353.03   1314.21
 1695.25   1658.16
 1382.97   1340.29
 1459.13   1425.64
 1281.82   1246.67
 1393.28   1354.50
 1287.93   1339.45
 1295.55   1259.46
 1426.34   1380.27
 1222.67   1193.28
 1360.39   1330.95
       em4        
 KB/s in  KB/s out
 1351.39   1337.52
 1385.02   1358.77
 1480.60   1455.05
 1186.39   1166.48
 1579.41   1539.67
 1365.00   1328.48
 1547.98   1512.33
 1384.65   1439.78
 1481.78   1446.33
 1578.78   1521.66
 1638.96   1601.82
 1388.47   1360.07
 1352.10   1331.83
 1405.37   1370.22
 1522.75   1540.93
 1537.14   1505.07
 1502.49   1464.96
 1296.97   1256.23
 1384.06   1352.59
 1180.89   1174.18
 1039.78   1017.52
 1276.98   1336.33
       em4        
 KB/s in  KB/s out
 1128.62   1093.05
 1233.11   1211.09
 1076.16   1060.01
 1490.15   1453.97
 1416.12   1393.35
 1242.97   1228.42
 1570.38   1507.14
 1431.18   1463.26
 1427.75   1387.10
 1361.64   1330.17
 1570.04   1509.59
 1153.38   1144.92
 1296.97   1253.31
 1322.39   1288.42
 1740.96   1778.03
 1573.11   1535.19
 1308.42   1303.03
 1352.45   1302.43
 1064.83   1044.22
 1599.26   1564.58
 1502.49   1453.97
 1545.78   1570.52
       em4        
 KB/s in  KB/s out
 1540.61   1525.77
 1375.92   1335.05
 1415.37   1405.91
 1580.70   1540.75
 1343.47   1326.26
 1322.05   1274.96
 1248.31   1203.03
 1529.66   1560.17
 1245.29   1228.85
 1524.87   1475.20
 1415.43   1392.22
 1444.55   1435.63
 1407.45   1375.81
 1349.19   1329.68
 1340.36   1406.24
 1055.69   1023.01
 1359.76   1319.08
 1407.99   1372.20
 1510.13   1464.68
 1434.83   1404.06
 1663.67   1620.30
 1417.40   1482.79
       em4        
 KB/s in  KB/s out
 1579.78   1568.64
 1189.24   1169.62
  228.66    270.45
  244.79    326.53
  122.22    189.69
   64.78     83.87
   51.80    158.09
   17.49      6.33
   14.03      3.22
    0.12      0.00
    0.12      0.00
    0.18      0.06
    0.18      0.00
    7.39     94.22
    0.12      0.00
    0.45      0.00
 1770.04   1872.99
 2892.96   2564.28
 2606.45   2323.85
 2816.58   2481.42
 1998.24   1956.38
 1815.51   1825.70
       em4        
 KB/s in  KB/s out
 1695.05   1673.79
 1456.26   1428.58
 1681.94   1618.94
 1407.09   1383.79
